nmdc_biosample_id,sample_name_nmdc,sample_code,site,compartment,env_medium
nmdc:bsm-11-vnkf4228,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL1_35_33 rhizosphere",BESC-13-CL1_35_33,Clatskanie,rhizosphere,soil
nmdc:bsm-11-k7jqh647,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL2_39_29 rhizosphere",BESC-13-CL2_39_29,Clatskanie,rhizosphere,soil
nmdc:bsm-11-k3zdem68,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL3_85_26 rhizosphere",BESC-13-CL3_85_26,Clatskanie,rhizosphere,soil
nmdc:bsm-11-ehqk1b45,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL1_28_16 rhizosphere",BESC-133-CL1_28_16,Clatskanie,rhizosphere,soil
nmdc:bsm-11-1fa0hs25,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL2_62_7 rhizosphere",BESC-133-CL2_62_7,Clatskanie,rhizosphere,soil
nmdc:bsm-11-zpf4n944,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL3_93_10 rhizosphere",BESC-133-CL3_93_10,Clatskanie,rhizosphere,soil
nmdc:bsm-11-kgkcxn39,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-198-CL2_38_5 rhizosphere",BESC-198-CL2_38_5,Clatskanie,rhizosphere,soil
nmdc:bsm-11-825geg82,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-198-CL3_81_33 rhizosphere",BESC-198-CL3_81_33,Clatskanie,rhizosphere,soil
nmdc:bsm-11-b3d5yg81,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-234-CL1_24_28 rhizosphere",BESC-234-CL1_24_28,Clatskanie,rhizosphere,soil
nmdc:bsm-11-aztxt406,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-234-CL2_65_22 rhizosphere",BESC-234-CL2_65_22,Clatskanie,rhizosphere,soil
nmdc:bsm-11-yxxvqg27,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-258-CL1_34_5 rhizosphere",BESC-258-CL1_34_5,Clatskanie,rhizosphere,soil
nmdc:bsm-11-8ah8pz02,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-258-CL2_67_23 rhizosphere",BESC-258-CL2_67_23,Clatskanie,rhizosphere,soil
nmdc:bsm-11-18btad96,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-285-CL1_33_12 rhizosphere",BESC-285-CL1_33_12,Clatskanie,rhizosphere,soil
nmdc:bsm-11-2a37n046,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-285-CL2_56_7 rhizosphere",BESC-285-CL2_56_7,Clatskanie,rhizosphere,soil
nmdc:bsm-11-5snc2s56,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-307-CL1_26_33 rhizosphere",BESC-307-CL1_26_33,Clatskanie,rhizosphere,soil
