gold_project_id,nmdc_omics_id,nmdc_biosample_id,sample_name_nmdc,sample_code,site,compartment
Gp0566632,nmdc:omprc-11-m3381c62,nmdc:bsm-11-5nhz3402,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL1_35_33 soil",BESC-13-CL1_35_33,Clatskanie,soil
Gp0566633,nmdc:omprc-11-64awt166,nmdc:bsm-11-b4k9w367,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL2_39_29 soil",BESC-13-CL2_39_29,Clatskanie,soil
Gp0566634,nmdc:omprc-11-tymac932,nmdc:bsm-11-m53pa616,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL3_85_26 soil",BESC-13-CL3_85_26,Clatskanie,soil
Gp0566635,nmdc:omprc-11-3pjcdv38,nmdc:bsm-11-w2q32794,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co1_30_3 soil",BESC-13-Co1_30_3,Corvallis,soil
Gp0566636,nmdc:omprc-11-v9aeqv58,nmdc:bsm-11-ybvfha65,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co2_41_23 soil",BESC-13-Co2_41_23,Corvallis,soil
Gp0566637,nmdc:omprc-11-czb4f349,nmdc:bsm-11-ndp7xj19,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co3_21_57 soil",BESC-13-Co3_21_57,Corvallis,soil
Gp0566638,nmdc:omprc-11-swgveb95,nmdc:bsm-11-swme4v31,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL1_28_16 soil",BESC-133-CL1_28_16,Clatskanie,soil
Gp0566639,nmdc:omprc-11-zfaqef95,nmdc:bsm-11-83t8kn59,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL2_62_7 soil",BESC-133-CL2_62_7,Clatskanie,soil
Gp0566640,nmdc:omprc-11-2eh5g273,nmdc:bsm-11-arpk9p10,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL3_93_10 soil",BESC-133-CL3_93_10,Clatskanie,soil
Gp0566641,nmdc:omprc-11-r9ggjt38,nmdc:bsm-11-f2sf9h97,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co1_27_3 soil",BESC-133-Co1_27_3,Corvallis,soil
