filename	ATTRIBUTE_sampletype	CONTROL	CASE	ATTRIBUTE_media
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_ISTD-pt1x_ISTDmix-BioS-pt1x_1_Rg70to1050-CE102040-root-S1_Run1050.mzML	istdmix-bios-pt1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_ISTD-pt1x_ISTDmix-BioS-pt1x_1_Rg70to1050-CE102040-rhizo-S1_Run688.mzML	istdmix-bios-pt1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_ISTD-pt1x_ISTDmix-BioS-pt1x_1_Rg70to1050-CE102040-leaf-S1_Run329.mzML	istdmix-bios-pt1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_ISTD-pt01x_ISTDmix-BioS-pt01x_1_Rg70to1050-CE102040-root-S1_Run1047.mzML	istdmix-bios-pt01x	exctrl-rm	exctrl-rzm	exctrl-lm
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_ISTD-pt01x_ISTDmix-BioS-pt01x_1_Rg70to1050-CE102040-rhizo-S1_Run685.mzML	istdmix-bios-pt01x	exctrl-rm	exctrl-rzm	exctrl-lm
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_ISTD-pt01x_ISTDmix-BioS-pt01x_1_Rg70to1050-CE102040-leaf-S1_Run326.mzML	istdmix-bios-pt01x	exctrl-rm	exctrl-rzm	exctrl-lm
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_ISTD-pt001x_ISTDmix-BioS-pt001x_1_Rg70to1050-CE102040-root-S1_Run1044.mzML	istdmix-bios-pt001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_ISTD-pt001x_ISTDmix-BioS-pt001x_1_Rg70to1050-CE102040-rhizo-S1_Run682.mzML	istdmix-bios-pt001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_ISTD-pt001x_ISTDmix-BioS-pt001x_1_Rg70to1050-CE102040-leaf-S1_Run323.mzML	istdmix-bios-pt001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_ISTD-pt0001x_ISTDmix-BioS-pt0001x_1_Rg70to1050-CE102040-root-S1_Run1041.mzML	istdmix-bios-pt0001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_ISTD-pt0001x_ISTDmix-BioS-pt0001x_1_Rg70to1050-CE102040-rhizo-S1_Run679.mzML	istdmix-bios-pt0001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_ISTD-pt0001x_ISTDmix-BioS-pt0001x_1_Rg70to1050-CE102040-leaf-S1_Run320.mzML	istdmix-bios-pt0001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg70to1050-CE102040-root-S1_Run1053.mzML	istdmix-bios-1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg70to1050-CE102040-rhizo-S1_Run691.mzML	istdmix-bios-1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg70to1050-CE102040-leaf-S1_Run332.mzML	istdmix-bios-1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_ISTD-10x_ISTDmix-BioS-10x_1_Rg70to1050-CE102040-root-S1_Run1056.mzML	istdmix-bios-10x	exctrl-rm	exctrl-rzm	exctrl-lm
