filename	ATTRIBUTE_sampletype	CONTROL	CASE	ATTRIBUTE_media
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_83RM_BESC-905-Clat-RM_1_Rg80to1200-CE102040-root-S1_Run809.mzML	besc-905-clat-rm	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_16RM_BESC-234-Clat-RM_2_Rg80to1200-CE102040-root-S1_Run862.mzML	besc-234-clat-rm	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt1x_ISTDmix-BioS-pt1x_1_Rg80to1200-CE102040-root-S1_Run1066.mzML	istdmix-bios-pt1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt1x_ISTDmix-BioS-pt1x_1_Rg80to1200-CE102040-rhizo-S1_Run699.mzML	istdmix-bios-pt1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt1x_ISTDmix-BioS-pt1x_1_Rg80to1200-CE102040-leaf-S1_Run335.mzML	istdmix-bios-pt1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt01x_ISTDmix-BioS-pt01x_1_Rg80to1200-CE102040-root-S1_Run1063.mzML	istdmix-bios-pt01x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt01x_ISTDmix-BioS-pt01x_1_Rg80to1200-CE102040-rhizo-S1_Run696.mzML	istdmix-bios-pt01x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt01x_ISTDmix-BioS-pt01x_1_Rg80to1200-CE102040-leaf-S1_Run332.mzML	istdmix-bios-pt01x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt001x_ISTDmix-BioS-pt001x_1_Rg80to1200-CE102040-root-S1_Run1060.mzML	istdmix-bios-pt001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt001x_ISTDmix-BioS-pt001x_1_Rg80to1200-CE102040-rhizo-S1_Run693.mzML	istdmix-bios-pt001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt001x_ISTDmix-BioS-pt001x_1_Rg80to1200-CE102040-leaf-S1_Run329.mzML	istdmix-bios-pt001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt0001x_ISTDmix-BioS-pt0001x_1_Rg80to1200-CE102040-root-S1_Run1057.mzML	istdmix-bios-pt0001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt0001x_ISTDmix-BioS-pt0001x_1_Rg80to1200-CE102040-rhizo-S1_Run690.mzML	istdmix-bios-pt0001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt0001x_ISTDmix-BioS-pt0001x_1_Rg80to1200-CE102040-leaf-S1_Run326.mzML	istdmix-bios-pt0001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg80to1200-CE102040-root-S1_Run1069.mzML	istdmix-bios-1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg80to1200-CE102040-rhizo-S1_Run702.mzML	istdmix-bios-1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg80to1200-CE102040-leaf-S1_Run338.mzML	istdmix-bios-1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-10x_ISTDmix-BioS-10x_1_Rg80to1200-CE102040-root-S1_Run1072.mzML	istdmix-bios-10x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-10x_ISTDmix-BioS-10x_1_Rg80to1200-CE102040-rhizo-S1_Run705.mzML	istdmix-bios-10x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-10x_ISTDmix-BioS-10x_1_Rg80to1200-CE102040-leaf-S1_Run341.mzML	istdmix-bios-10x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ESTDmix_ESTDmix-1ugmL_1_Rg80to1200-CE102040-root-S1_Run1054.mzML	estdmix-1ugml	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ESTDmix_ESTDmix-1ugmL_1_Rg80to1200-CE102040-rhizo-S1_Run687.mzML	estdmix-1ugml	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ESTDmix_ESTDmix-1ugmL_1_Rg80to1200-CE102040-leaf-S1_Run323.mzML	estdmix-1ugml	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK9_ExCtrl-RM_3_Rg80to1200-CE205060-root-S1_Run986.mzML	exctrl-rm	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK8_ExCtrl-RM_2_Rg80to1200-CE102040-root-S1_Run838.mzML	exctrl-rm	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK7_ExCtrl-RM_1_Rg80to1200-CE102040-root-S1_Run711.mzML	exctrl-rm	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK6_ExCtrl-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run684.mzML	exctrl-rzm	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK5_ExCtrl-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run454.mzML	exctrl-rzm	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK4_ExCtrl-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run347.mzML	exctrl-rzm	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK3_ExCtrl-LM_3_Rg80to1200-CE205060-leaf-S1_Run258.mzML	exctrl-lm	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK2_ExCtrl-LM_2_Rg80to1200-CE102040-leaf-S1_Run202.mzML	exctrl-lm	exctrl-rm	exctrl-rzm	exctrl-lm
