filename	ATTRIBUTE_sampletype	CONTROL	CASE	ATTRIBUTE_media
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_5RM_BESC-13-Corv-RM_2_Rg80to1200-CE102040-root-S1_Run935.mzML	besc-13-corv-rm	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-pt1x_ISTDmix-BioS-pt1x_1_Rg80to1200-CE102040-root-S1_Run1065.mzML	istdmix-bios-pt1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-pt1x_ISTDmix-BioS-pt1x_1_Rg80to1200-CE102040-rhizo-S1_Run698.mzML	istdmix-bios-pt1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-pt1x_ISTDmix-BioS-pt1x_1_Rg80to1200-CE102040-leaf-S1_Run334.mzML	istdmix-bios-pt1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-pt01x_ISTDmix-BioS-pt01x_1_Rg80to1200-CE102040-root-S1_Run1062.mzML	istdmix-bios-pt01x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-pt01x_ISTDmix-BioS-pt01x_1_Rg80to1200-CE102040-rhizo-S1_Run695.mzML	istdmix-bios-pt01x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-pt01x_ISTDmix-BioS-pt01x_1_Rg80to1200-CE102040-leaf-S1_Run331.mzML	istdmix-bios-pt01x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-pt001x_ISTDmix-BioS-pt001x_1_Rg80to1200-CE102040-root-S1_Run1059.mzML	istdmix-bios-pt001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-pt001x_ISTDmix-BioS-pt001x_1_Rg80to1200-CE102040-rhizo-S1_Run692.mzML	istdmix-bios-pt001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-pt001x_ISTDmix-BioS-pt001x_1_Rg80to1200-CE102040-leaf-S1_Run328.mzML	istdmix-bios-pt001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-pt0001x_ISTDmix-BioS-pt0001x_1_Rg80to1200-CE102040-root-S1_Run1056.mzML	istdmix-bios-pt0001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-pt0001x_ISTDmix-BioS-pt0001x_1_Rg80to1200-CE102040-rhizo-S1_Run689.mzML	istdmix-bios-pt0001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-pt0001x_ISTDmix-BioS-pt0001x_1_Rg80to1200-CE102040-leaf-S1_Run325.mzML	istdmix-bios-pt0001x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg80to1200-CE102040-root-S1_Run1068.mzML	istdmix-bios-1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg80to1200-CE102040-rhizo-S1_Run701.mzML	istdmix-bios-1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg80to1200-CE102040-leaf-S1_Run337.mzML	istdmix-bios-1x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-10x_ISTDmix-BioS-10x_1_Rg80to1200-CE102040-root-S1_Run1071.mzML	istdmix-bios-10x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-10x_ISTDmix-BioS-10x_1_Rg80to1200-CE102040-rhizo-S1_Run704.mzML	istdmix-bios-10x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-10x_ISTDmix-BioS-10x_1_Rg80to1200-CE102040-leaf-S1_Run340.mzML	istdmix-bios-10x	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ESTDmix_ESTDmix-1ugmL_1_Rg80to1200-CE102040-root-S1_Run1053.mzML	estdmix-1ugml	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ESTDmix_ESTDmix-1ugmL_1_Rg80to1200-CE102040-rhizo-S1_Run686.mzML	estdmix-1ugml	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ESTDmix_ESTDmix-1ugmL_1_Rg80to1200-CE102040-leaf-S1_Run322.mzML	estdmix-1ugml	exctrl-rm	exctrl-rzm	exctrl-lm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_BLK9_ExCtrl-RM_3_Rg80to1200-CE205060-root-S1_Run985.mzML	exctrl-rm	exctrl-rm	exctrl-rzm	exctrl-lm
