filename,ATTRIBUTE_sampletype,CONTROL,CASE,ATTRIBUTE_media,source_metadata_file,method,polarity,basename,compartment,is_qc,is_istd,is_exctrl,is_biological,run_id,sample_label,sample_label_norm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_9RZM_BESC-133-Clat-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run590.mzML,besc-133-clat-rzm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_9RZM_BESC-133-Clat-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run590.mzML,rhizosphere,False,False,False,True,590,BESC-133-Clat-RZM_3,BESC-133-CLAT-RZM_3
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_99RZM_GW-9591-Corv-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run365.mzML,gw-9591-corv-rzm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_99RZM_GW-9591-Corv-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run365.mzML,rhizosphere,False,False,False,True,365,GW-9591-Corv-RZM_1,GW-9591-CORV-RZM_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_98RZM_GW-9591-Clat-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run655.mzML,gw-9591-clat-rzm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_98RZM_GW-9591-Clat-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run655.mzML,rhizosphere,False,False,False,True,655,GW-9591-Clat-RZM_3,GW-9591-CLAT-RZM_3
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_97RZM_GW-9591-Clat-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run575.mzML,gw-9591-clat-rzm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_97RZM_GW-9591-Clat-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run575.mzML,rhizosphere,False,False,False,True,575,GW-9591-Clat-RZM_2,GW-9591-CLAT-RZM_2
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_96RZM_GW-9591-Clat-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run439.mzML,gw-9591-clat-rzm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_96RZM_GW-9591-Clat-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run439.mzML,rhizosphere,False,False,False,True,439,GW-9591-Clat-RZM_1,GW-9591-CLAT-RZM_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_95RZM_GW-7986-Corv-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run616.mzML,gw-7986-corv-rzm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_95RZM_GW-7986-Corv-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run616.mzML,rhizosphere,False,False,False,True,616,GW-7986-Corv-RZM_3,GW-7986-CORV-RZM_3
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_94RZM_GW-7986-Corv-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run528.mzML,gw-7986-corv-rzm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_94RZM_GW-7986-Corv-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run528.mzML,rhizosphere,False,False,False,True,528,GW-7986-Corv-RZM_2,GW-7986-CORV-RZM_2
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_93RZM_GW-7986-Corv-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run433.mzML,gw-7986-corv-rzm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_93RZM_GW-7986-Corv-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run433.mzML,rhizosphere,False,False,False,True,433,GW-7986-Corv-RZM_1,GW-7986-CORV-RZM_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_92RZM_GW-4579-Corv-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run602.mzML,gw-4579-corv-rzm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_92RZM_GW-4579-Corv-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run602.mzML,rhizosphere,False,False,False,True,602,GW-4579-Corv-RZM_3,GW-4579-CORV-RZM_3
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_91RZM_GW-4579-Corv-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run581.mzML,gw-4579-corv-rzm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_91RZM_GW-4579-Corv-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run581.mzML,rhizosphere,False,False,False,True,581,GW-4579-Corv-RZM_2,GW-4579-CORV-RZM_2
