dgms_id,ms_name,procsm_id,biosample_id
nmdc:dgms-12-z261mw55,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_100LM_GW-9591-Corv-LM_2_Rg70to1050-CE102040-leaf-S1_Run169,nmdc:procsm-11-nj8xyt48,nmdc:bsm-11-s6r1q327
nmdc:dgms-12-hwfc1a85,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_100RM_GW-9591-Corv-RM_2_Rg70to1050-CE102040-root-S1_Run823,nmdc:procsm-11-p8pw0p67,nmdc:bsm-11-5ak8ja54
nmdc:dgms-12-8np5az63,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_100RZM_GW-9591-Corv-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run509,nmdc:procsm-11-q1tza296,nmdc:bsm-11-4f4btc22
nmdc:dgms-12-bh2gkp43,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_101LM_GW-9591-Corv-LM_3_Rg70to1050-CE205060-leaf-S1_Run299,nmdc:procsm-11-fmph3690,nmdc:bsm-11-tpatza67
nmdc:dgms-12-gr5jna17,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_101RM_GW-9591-Corv-RM_3_Rg70to1050-CE205060-root-S1_Run996,nmdc:procsm-11-098rcv97,nmdc:bsm-11-3636w778
nmdc:dgms-12-tjfjep03,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_101RZM_GW-9591-Corv-RZM_3_Rg70to1050-CE205060-rhizo-S1_Run664,nmdc:procsm-11-jnbawt13,nmdc:bsm-11-0xqxvc88
nmdc:dgms-12-kvg77q73,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_102LM_SKWA-24-3-Clat-LM_2_Rg70to1050-CE102040-leaf-S1_Run147,nmdc:procsm-11-2pc0t873,nmdc:bsm-11-sv771k17
nmdc:dgms-12-q11aek64,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_102RM_SKWA-24-3-Clat-RM_2_Rg70to1050-CE102040-root-S1_Run902,nmdc:procsm-11-16y9jp13,nmdc:bsm-11-x0sc5x81
nmdc:dgms-12-1fz3wg32,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_102RZM_SKWA-24-3-Clat-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run455,nmdc:procsm-11-fk6fqb58,nmdc:bsm-11-aan31e03
nmdc:dgms-12-a84zbg21,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_103LM_SKWA-24-3-Corv-LM_1_Rg70to1050-CE102040-leaf-S1_Run87,nmdc:procsm-11-ykh0zt31,nmdc:bsm-11-f8tzvk82
