biosample_id,metabolomics_run_count,dgms_ids,methods,polarities
nan,4,nan,C18;HILICZ,negative;positive
nmdc:bsm-11-011z7z70,4,nmdc:dgms-12-5gypda13;nmdc:dgms-12-efm4kq03;nmdc:dgms-12-qa51dx90;nmdc:dgms-12-vcw8ma56,C18;HILICZ,negative;positive
nmdc:bsm-11-05dve909,4,nmdc:dgms-12-fr4kcc71;nmdc:dgms-12-q4eayd67;nmdc:dgms-12-vm6fe330;nmdc:dgms-12-yvenm270,C18;HILICZ,negative;positive
nmdc:bsm-11-0xqxvc88,4,nmdc:dgms-12-4rbck881;nmdc:dgms-12-kjkf1522;nmdc:dgms-12-tjfjep03;nmdc:dgms-12-xs6kk482,C18;HILICZ,negative;positive
nmdc:bsm-11-18btad96,4,nmdc:dgms-12-c5w4rs20;nmdc:dgms-12-pnjhy331;nmdc:dgms-12-sr5g9b89;nmdc:dgms-12-z3fjtw06,C18;HILICZ,negative;positive
nmdc:bsm-11-1a9d1633,4,nmdc:dgms-12-2c79wt25;nmdc:dgms-12-6z5w5v84;nmdc:dgms-12-a2pdzk51;nmdc:dgms-12-yvd9ht42,C18;HILICZ,negative;positive
nmdc:bsm-11-1fa0hs25,4,nmdc:dgms-12-263ydk13;nmdc:dgms-12-dmkfrh34;nmdc:dgms-12-z2bq3j72;nmdc:dgms-12-zwy83398,C18;HILICZ,negative;positive
nmdc:bsm-11-1r59n445,4,nmdc:dgms-12-f0txcp41;nmdc:dgms-12-jgypkm67;nmdc:dgms-12-kzzpr989;nmdc:dgms-12-m3zsay36,C18;HILICZ,negative;positive
nmdc:bsm-11-2a37n046,4,nmdc:dgms-12-bhsqzw48;nmdc:dgms-12-can4ty24;nmdc:dgms-12-m5v3nr79;nmdc:dgms-12-ta2qk258,C18;HILICZ,negative;positive
nmdc:bsm-11-2g6d7w97,4,nmdc:dgms-12-n3qgr396;nmdc:dgms-12-nn1d5m67;nmdc:dgms-12-x7dsez17;nmdc:dgms-12-y1zhmy80,C18;HILICZ,negative;positive
nmdc:bsm-11-3zh6yy26,4,nmdc:dgms-12-7bzf9y75;nmdc:dgms-12-8s32rv59;nmdc:dgms-12-gg0mrs10;nmdc:dgms-12-pv6ezq90,C18;HILICZ,negative;positive
nmdc:bsm-11-45z1kv27,4,nmdc:dgms-12-40rnb064;nmdc:dgms-12-8acz7d22;nmdc:dgms-12-gz179t39;nmdc:dgms-12-wdn7jw63,C18;HILICZ,negative;positive
nmdc:bsm-11-4ep6tc76,4,nmdc:dgms-12-327a8c71;nmdc:dgms-12-9wssqp09;nmdc:dgms-12-aqkdnq71;nmdc:dgms-12-y57jj675,C18;HILICZ,negative;positive
nmdc:bsm-11-4f4btc22,4,nmdc:dgms-12-8np5az63;nmdc:dgms-12-bw64gk71;nmdc:dgms-12-rb3wyb32;nmdc:dgms-12-x4xk1532,C18;HILICZ,negative;positive
nmdc:bsm-11-4htstp40,4,nmdc:dgms-12-6x8r8e02;nmdc:dgms-12-8xhkk393;nmdc:dgms-12-bmc8cx51;nmdc:dgms-12-wjs4ey83,C18;HILICZ,negative;positive
nmdc:bsm-11-4pc4k424,4,nmdc:dgms-12-4d3pr875;nmdc:dgms-12-ms8cjb84;nmdc:dgms-12-n1c1r813;nmdc:dgms-12-w9bhkv16,C18;HILICZ,negative;positive
nmdc:bsm-11-4yy9a239,4,nmdc:dgms-12-7v3h2z75;nmdc:dgms-12-fbjgc419;nmdc:dgms-12-hrydbw82;nmdc:dgms-12-wx5h3t95,C18;HILICZ,negative;positive
nmdc:bsm-11-57ejpn32,4,nmdc:dgms-12-a4nd1958;nmdc:dgms-12-j7pvyr53;nmdc:dgms-12-pwrrza45;nmdc:dgms-12-s8mtae44,C18;HILICZ,negative;positive
nmdc:bsm-11-5snc2s56,4,nmdc:dgms-12-2ex44683;nmdc:dgms-12-2va5ap74;nmdc:dgms-12-bs4et404;nmdc:dgms-12-zwwepk56,C18;HILICZ,negative;positive
nmdc:bsm-11-67dmq694,4,nmdc:dgms-12-284jgp29;nmdc:dgms-12-gcexgj72;nmdc:dgms-12-z1bbtn11;nmdc:dgms-12-zz9whr83,C18;HILICZ,negative;positive
nmdc:bsm-11-6ntzv433,4,nmdc:dgms-12-1hpd0x54;nmdc:dgms-12-1tybq661;nmdc:dgms-12-5nz6j955;nmdc:dgms-12-ckta7492,C18;HILICZ,negative;positive
nmdc:bsm-11-6pr72x09,4,nmdc:dgms-12-01ssjv33;nmdc:dgms-12-1yn28y98;nmdc:dgms-12-d49jr802;nmdc:dgms-12-ngxzqk35,C18;HILICZ,negative;positive
