Field Sample ID,LBC (mg/kg CaCO3/pH dry weight),LBCeq (mg/kg CaCO3/pH dry weight),pH,Ca (Mehlich 1 mg/kg dry weight),K (Mehlich 1 mg/kg dry weight),Mg (Mehlich 1 mg/kg dry weight),Mn (Mehlich 1 mg/kg dry weight),P (Mehlich 1 mg/kg dry weight),Zn (Mehlich 1 mg/kg dry weight),NH4-N (mg/kg dry weight),NO2-N (mg/kg dry weight),NO3-N (mg/kg dry weight),C (%),N (%)
BESC-258-Cl2_67_23,1366,3961.4,5.3,2551.59,168.066,545.537,35.7655,21.3277,7.9568,16.277,<0.20,12.6325,6.579,0.501
GW-9591-Co2_62_24,377,1093.3,6.48,1764.86,222.738,312.3,14.6228,121.937,3.4332,2.1955,<0.20,0.836,1.192,0.25
BESC-904-Cl3_91_3,1015,2943.5,5.68,2481.96,319.684,524.971,50.9719,34.5595,9.8175,8.5,<0.20,20.4215,4.1,0.303
BESC-234-Cl1_24_28,1044,3027.6,5.82,3105.88,227.611,488.095,69.8454,26.0077,13.4053,8.712,<0.20,29.8005,4.394,0.324
BESC-905-Cl1_32_20,1048,3039.2,5,2032.06,268.098,305.976,43.5453,25.3928,4.2006,10.427,<0.20,10.251,5.093,0.417
BESC-845-Cl1_31_22,1066,3091.4,5.39,2552.6,257.938,434.396,51.9587,36.505,7.2942,8.4845,<0.20,15,4.252,0.34
BESC-234-Cl2_65_22,1090,3161,5.41,2774.35,168.2,578.148,48.0908,29.2294,13.1545,14.5245,<0.19,20.401,8.492,0.598
BESC-198-Cl3_81_33,1090,3161,5.48,2831.11,420.875,472.697,60.8382,46.236,9.8456,9.483,<0.20,14.482,4.698,0.363
BESC-847-Cl3_83_27,1100,3190,5.34,2522.96,293.434,435.812,48.1777,40.5021,8.3322,8.3875,<0.20,19.8355,3.886,0.319
BESC-13-Cl2_39_29,1113,3227.7,5.52,2480.86,395.775,514.993,56.7257,30.343,9.496,10.46,<0.20,25.197,3.886,0.302
BESC-13-Cl1_35_33,1138,3300.2,5.58,2561.92,314.649,505.921,64.4016,33.1477,10.2429,8.3295,<0.20,27.324,4.836,0.337
BESC-845-Cl3_80_19,1144,3317.6,5.47,2644.35,205.043,568.66,67.1221,47.1765,8.4669,8.6505,<0.20,11.5955,3.941,0.329
BESC-13-Cl3_85_26,1147,3326.3,5.34,2413.19,220.011,410.271,42.7143,22.1269,5.7071,7.472,<0.20,15.6745,3.496,0.311
BESC-448-Cl3_88_32,1154,3346.6,5.46,2435.35,328.053,444.03,35.7355,36.8657,8.0582,9.211,<0.20,18.875,5.621,0.439
BESC-845-Cl2_37_16,1159,3361.1,5.2,2469.26,132.153,419.359,53.867,16.7191,7.7856,15.8165,<0.20,12.808,6.143,0.481
BESC-13-Cl2_39_29,1173,3401.7,5.49,2692.19,480.125,572.539,58.5205,38.6091,11.2205,9.7815,<0.20,25.337,4.123,0.341
GW-11047-Cl2_41_30,1180,3422,5.05,2125.17,280.278,347.818,48.6819,25.564,5.4467,7.2955,<0.20,17.694,3.046,0.281
GW-4579-Cl3_72_14,1188,3445.2,5.48,2247.43,344.304,537.364,32.625,32.5387,6.7106,10.6855,<0.20,10.6955,5.812,0.446
BESC-351-Cl3_84_27,1194,3462.6,5.48,2431.98,203.463,453.022,47.7638,28.5338,8.435,8.988,<0.20,10.5655,4.546,0.344
BESC-351-Cl2_54_28,1228,3561.2,5.14,1841.93,113.561,331.5,34.8639,21.9252,5.2868,9.5715,<0.20,12.874,6.1,0.47
GW-9591-Cl1_34_16,1239,3593.1,4.85,1480.06,114.646,219.335,24.6956,12.9143,2.3316,12.972,<0.20,9.3675,4.762,0.369
BESC-133-Cl1_28_16,1252,3630.8,5.07,2219.35,441.338,379.527,34.6609,30.5648,5.5536,10.599,<0.20,27.6905,5.444,0.419
BESC-866-Co1_10_5,1286,3729.4,4.98,2213.11,169.452,456.562,38.0788,28.5028,9.0923,14.3565,<0.20,15.816,7.678,0.577
SKWA-24-3-Cl2_69_25,1315,3813.5,5.13,2288.44,272.768,450.128,39.2999,22.3361,9.2886,10.138,<0.20,33.2955,6.611,0.491
BESC-360-Cl3_72_12,1316,3816.4,5.09,1886.08,60.3044,364.595,40.0784,7.862,4.2092,13.7945,<0.20,11.0665,7.228,0.521
SKWD-24-1-Cl2_58_25,1326,3845.4,5.04,1894.76,308.116,396.634,37.8744,26.1369,6.697,9.8355,<0.20,13.174,5.831,0.448
BESC-833-Cl2_42_16,1326,3845.4,5.33,2603.97,122.144,438.159,40.7316,20.8722,8.1703,14.851,<0.20,9.161,7.023,0.455
BESC-833-Cl3_77_6,1333,3865.7,5.16,2497.39,187.743,474.784,38.6439,31.98,8.1467,12.048,<0.20,20.1785,6.268,0.446
BESC-845-Cl2_37_16,1338,3880.2,5.19,2467.81,124.273,401.356,51.7949,24.2556,7.5442,10.7855,<0.20,13.0305,5.995,0.468
BESC-133-Cl2_62_7,1347,3906.3,5.21,2459.23,223.981,476.143,37.9868,29.3876,13.3917,17.49,<0.20,28.0405,10.626,0.752
BESC-833-Cl2_42_16,1356,3932.4,5.35,2406.67,121.629,392.849,36.8924,27.2118,7.3694,18.656,<0.20,9.271,7.76,0.544
BESC-331-Cl2_55_18,1364,3955.6,4.96,2093.64,69.5327,374.933,37.4526,20.7205,6.1641,14.06,<0.20,13.3625,7.839,0.565
GW-4579-Cl2_50_20,1364,3955.6,5.11,2038.63,105.809,387.456,39.464,23.2147,6.2449,13.491,<0.20,23.581,7.647,0.578
GW-9591-Cl3_98_5,1395,4045.5,4.83,1660.1,161.602,307.229,23.6988,20.5744,3.1,11.8795,<0.20,9.4465,3.989,0.326
BESC-307-Cl2_57_8,1402,4065.8,5.14,2080.8,115.882,364.457,24.2913,30.2225,7.6471,9.5985,<0.20,14.7365,7.064,0.492
BESC-360-Cl2_44_14,1407,4080.3,5.05,2293.48,143.954,379.192,30.2824,20.4676,5.1832,11.2045,<0.20,12.703,5.674,0.48
