Field Sample ID,Replicate 1 Mass Water / Mass Dry Soil %,Replicate 2 Mass Water / Mass Dry Soil %,Replicate 3 Mass Water / Mass Dry Soil %
BESC-307-Co1_31_6,4.393305439,4.60251046,5.473684211
BESC-331-Co1_12_7,6.396588486,6.369426752,6.609808102
BESC-351-Co1_10_3,48.80952381,49.4011976,48.95522388
BESC-360-Co1_23_6,7.52688172,7.725321888,8.658008658
BESC-388-Co1_32_7,8.932461874,9.150326797,10.13215859
BESC-388-Co1_32_7,8.676789588,8.893709328,9.150326797
BESC-833-Co1_6_4,5.708245243,7.741935484,6.623931624
BESC-847-Co1_12_9,7.974137931,9.190371991,6.382978723
BESC-866-Co1_10_5,5.263157895,4.592901879,5.25210084
BESC-904-Co1_5_9,6.396588486,7.75862069,7.543103448
GW-4579-Co1_14_4,12.64108352,11.60714286,11.35857461
GW-4579-Co1_14_4,11.85682327,11.11111111,11.38392857
GW-9591-Co1_16_8,9.649122807,9.429824561,9.89010989
SKWA-24-3-Co1_3_5,31.66226913,32.89124668,32.71276596
SKWD-24-1-Co1_7_5,6.609808102,6.157112527,6.131078224
BESC-845-Co1_24_3,4.175365345,5.473684211,4.158004158
BESC-133-Co1_27_3,36.14130435,35.96730245,34.95934959
BESC-133-Co1_27_3,38.39779006,37.91208791,36.41304348
BESC-234-Co1_23_3,4.592901879,5.042016807,4.166666667
BESC-13-Co1_30_3,10.61946903,12.10762332,11.85682327
BESC-307-Co2_62_14,5.020920502,4.158004158,4.583333333
BESC-331-Co2_50_17,7.296137339,7.066381156,6.623931624
BESC-351-Co2_42_17,8.207343413,8.008658009,8.441558442
BESC-351-Co2_42_17,8.225108225,7.280513919,8.225108225
BESC-360-Co2_62_25,7.510729614,6.595744681,6.609808102
BESC-388-Co2_54_7,3.512396694,3.080082136,3.305785124
BESC-833-Co2_47_23,7.051282051,8.423326134,8.441558442
BESC-847-Co2_69_13,3.742203742,4.375,4.175365345
BESC-866-Co2_58_19,6.852248394,7.280513919,7.066381156
BESC-866-Co2_58_19,7.52688172,7.280513919,7.051282051
BESC-904-Co2_51_17,7.036247335,8.008658009,7.77537797
GW-4579-Co2_44_8,6.837606838,8.008658009,6.808510638
GW-9591-Co2_62_24,4.158004158,4.175365345,4.811715481
SKWA-24-3-Co2_41_10,4.831932773,4.175365345,3.519668737
SKWD-24-1-Co2_54_22,3.742203742,3.519668737,3.734439834
SKWD-24-1-Co2_54_22,4.384133612,4.166666667,4.583333333
BESC-845-Co2_60_28,3.505154639,3.319502075,2.880658436
BESC-133-Co2_50_25,3.726708075,4.384133612,4.166666667
BESC-234-Co2_52_27,5.031446541,5.263157895,5.485232068
BESC-13-Co2_41_23,4.402515723,4.60251046,5.031446541
BESC-307-Co3_27_41,11.63310962,11.35857461,11.35857461
BESC-307-Co3_27_41,38.50415512,8.225108225,8.71459695
BESC-331-Co3_15_40,8.71459695,11.60714286,10.15452539
BESC-351-Co3_11_46,10.81677704,10.37527594,10.59602649
BESC-360-Co3_13_34,7.991360691,9.170305677,7.051282051
BESC-388-Co3_8_57,12.58426966,12.38738739,13.37868481
BESC-833-Co3_31_37,8.459869848,8.207343413,7.974137931
BESC-833-Co3_31_37,8.893709328,8.932461874,24.87562189
BESC-847-Co3_9_34,10.86474501,10.39823009,10.13215859
BESC-866-Co3_27_48,11.30820399,10.37527594,11.35857461
BESC-904-Co3_16_51,10.35242291,10.13215859,10.35242291
GW-4579-Co3_14_51,13.8952164,14.38356164,14.38356164
GW-9591-Co3_35_48,8.71459695,8.932461874,9.649122807
GW-9591-Co3_35_48,8.913043478,9.150326797,8.932461874
SKWA-24-3-Co3_23_35,9.89010989,9.67032967,8.676789588
SKWD-24-1-Co3_24_32,4.821802935,3.519668737,2.886597938
BESC-845-Co3_28_42,10.84070796,9.628008753,9.150326797
BESC-133-Co3_19_46,10.86474501,12.38738739,11.33333333
BESC-234-Co3_21_62,12.64108352,12.61261261,12.08053691
BESC-234-Co3_21_62,12.55605381,11.11111111,12.38738739
BESC-13-Co3_21_57,12.13483146,11.35857461,12.08053691
