Field Sample ID,Technical Replicate,Rate (mg NO3-N/kilogram dry weight soil/day)
BESC-13-Cl1_35_33,1,7.343264502
BESC-13-Cl1_35_33,2,9.128203043
BESC-13-Cl2_39_29,1,6.655079484
BESC-13-Cl2_39_29,2,6.722172352
BESC-13-Cl3_85_26,1,2.720013484
BESC-13-Cl3_85_26,2,2.873077083
BESC-13-Co1_30_3,1,1.092153933
BESC-13-Co1_30_3,2,1.137317378
BESC-13-Co2_41_23,2,0.58950566
BESC-13-Co2_41_23,1,0.806575623
BESC-13-Co3_21_57,2,2.062614259
BESC-13-Co3_21_57,1,2.385840246
BESC-133-Cl1_28_16,2,6.183014905
BESC-133-Cl1_28_16,1,7.675071689
BESC-133-Cl2_62_7,1,15.06487556
BESC-133-Cl2_62_7,2,16.06080331
BESC-133-Cl3_93_10,1,5.329051052
BESC-133-Cl3_93_10,2,7.287292845
BESC-133-Co1_27_3,1,0.521684292
BESC-133-Co1_27_3,2,0.59439971
BESC-133-Co2_50_25,2,0.304519346
BESC-133-Co2_50_25,1,0.332767568
BESC-133-Co3_19_46,2,1.550507064
BESC-133-Co3_19_46,1,1.565289151
BESC-198-Cl2_38_5,1,8.320768679
BESC-198-Cl2_38_5,2,10.15806922
BESC-198-Cl3_81_33,2,4.679987061
BESC-198-Cl3_81_33,1,5.171941178
BESC-234-Cl1_24_28,1,5.618056079
BESC-234-Cl1_24_28,2,7.034929404
BESC-234-Cl2_65_22,1,8.727053723
BESC-234-Cl2_65_22,2,9.296168882
BESC-234-Co1_23_3,2,1.019605873
BESC-234-Co1_23_3,1,1.058112262
BESC-234-Co2_52_27,1,0.291314039
BESC-234-Co2_52_27,2,0.318365832
BESC-234-Co3_21_62,1,2.176778025
BESC-234-Co3_21_62,2,2.442799568
BESC-258-Cl1_34_5,1,11.28655462
BESC-258-Cl1_34_5,2,12.67093391
BESC-258-Cl2_67_23,1,4.898899526
BESC-258-Cl2_67_23,2,5.995644169
BESC-285-Cl1_33_12,2,5.328337288
BESC-285-Cl1_33_12,1,6.420436519
BESC-285-Cl2_56_7,1,8.812693016
BESC-285-Cl2_56_7,2,10.00700091
BESC-307-Cl1_26_33,1,3.798491481
BESC-307-Cl1_26_33,2,4.353867862
BESC-307-Cl2_57_8,2,5.897884736
BESC-307-Cl2_57_8,1,6.144472235
BESC-307-Co1_31_6,2,0.655436266
BESC-307-Co1_31_6,1,0.71411016
BESC-307-Co2_62_14,2,0.146260619
BESC-307-Co2_62_14,1,0.365611284
BESC-307-Co3_27_41,2,1.431534059
BESC-307-Co3_27_41,1,1.960230212
BESC-331-Cl2_55_18,2,6.222055235
BESC-331-Cl2_55_18,1,6.407684563
BESC-331-Co1_12_7,1,0.960902502
BESC-331-Co1_12_7,2,1.062832618
BESC-331-Co2_50_17,2,0.870610775
BESC-331-Co2_50_17,1,0.90632164
BESC-331-Co3_15_40,1,1.331435719
BESC-331-Co3_15_40,2,1.34788287
BESC-351-Cl1_27_10,2,4.174026383
BESC-351-Cl1_27_10,1,4.661235844
BESC-351-Cl2_54_28,2,8.573275303
BESC-351-Cl2_54_28,1,11.14870517
BESC-351-Cl3_84_27,2,3.740373809
BESC-351-Cl3_84_27,1,4.175441012
BESC-351-Co1_10_3,1,2.073208348
BESC-351-Co1_10_3,2,2.230215511
BESC-351-Co2_42_17,2,1.026333202
BESC-351-Co2_42_17,1,1.153612386
BESC-351-Co3_11_46,2,1.367414176
BESC-351-Co3_11_46,1,1.461012544
BESC-360-Cl2_44_14,1,4.045757983
BESC-360-Cl2_44_14,2,4.895142403
BESC-360-Cl3_72_12,2,4.742789854
BESC-360-Cl3_72_12,1,5.305050183
BESC-360-Co1_23_6,2,1.057595162
BESC-360-Co1_23_6,1,1.083632954
BESC-360-Co2_62_25,2,0.300526475
BESC-360-Co2_62_25,1,0.320737033
BESC-360-Co3_13_34,1,1.053849813
BESC-360-Co3_13_34,2,1.591897194
