Field Sample ID,Soil Sand Content %,Soil Clay Content %,Soil Silt Content %
SKWD-24-1-Cl2_58_25,50.7174666,17.12023751,32.16229589
SKWD-24-1-Co1_7_5,13.065077,53.84997516,33.08494784
BESC-133-Co3_19_46,12.46319921,42.93424926,44.60255152
SKWA-24-3-Co1_3_5,13.90480937,49.51407924,36.58111139
SKWA-24-3-Co2_41_10,24.77876106,55.11307768,20.10816126
SKWA-24-3-Co3_23_35,14.90196078,55.24509804,29.85294118
GW-4579-Co2_44_8,18.08219178,53.72353674,28.19427148
SKWA-24-3-Cl2_69_25,28.22778596,21.45311733,50.31909671
GW-4579-Cl3_72_14,33.01540719,7.410124725,59.57446809
GW-7986-Co3_31_39,17.76798825,56.97503671,25.25697504
GW-7986-Co2_68_28,8.073303616,73.79891035,18.12778603
GW-9591-Co1_16_8,15.34689875,51.99803873,32.65506252
GW-9591-Cl1_34_16,29.35420744,8.610567515,62.03522505
GW-9591-Co3_35_48,20.09450385,37.17980602,42.72569013
GW-9591-Cl2_56_12,29.49852507,11.84857424,58.65290069
GW-9591-Co2_62_24,9.327710246,71.27263706,19.39965269
GW-9591-Cl3_98_5,30.87944664,5.23715415,63.88339921
BESC-351-Co2_42_17,21.20612951,47.89915966,30.89471083
BESC-351-Cl2_54_28,36.59085229,5.92351912,57.48562859
BESC-351-Cl3_84_27,28.89771599,6.554121152,64.54816286
BESC-360-Co3_13_34,18.82762047,47.19324391,33.97913562
BESC-360-Co1_23_6,17.55952381,42.31150794,40.12896825
BESC-360-Cl2_44_14,31.28712871,9.306930693,59.40594059
BESC-360-Co2_62_25,13.69661267,74.03043692,12.27295042
BESC-360-Cl3_72_12,31.15602662,12.15183633,56.69213705
BESC-388-Cl1_25_34,26.11042945,10.08588957,63.80368098
BESC-133-Co1_27_3,16.00195743,44.84952288,39.1485197
BESC-388-Co1_32_7,23.20709395,14.40824489,62.38466116
BESC-388-Cl2_50_4,29.09896603,24.12604628,46.77498769
BESC-866-Co1_10_5,37.54029259,11.62906025,50.83064716
BESC-904-Co3_16_51,18.76702154,34.19163159,47.04134687
BESC-904-Co1_5_9,17.90382244,46.78175092,35.31442663
BESC-904-Co2_51_17,15.16209476,68.17955112,16.65835411
BESC-904-Cl2_57_20,33.03156349,13.13922192,53.82921458
BESC-904-Cl3_91_3,28.22778596,7.95287187,63.81934217
BESC-133-Cl1_28_16,25.20507084,11.40939597,63.38553318
BESC-905-Cl1_32_20,30.7503075,12.66912669,56.58056581
GW-11047-Cl1_23_5,31.04818679,11.82314953,57.12866369
GW-11047-Cl2_41_30,48.47129008,10.51454139,41.01416853
BESC-133-Co2_50_25,14.88736533,66.30754163,18.80509305
GW-4579-Co1_14_4,15.61097257,52.41895262,31.97007481
BESC-133-Cl2_62_7,34.84475111,13.40561853,51.74963036
GW-4579-Cl2_50_20,34.18803419,12.42979243,53.38217338
SKWD-24-1-Co2_54_22,10.58122206,67.51117735,21.9076006
BESC-133-Cl3_93_10,27.80134764,3.568754679,68.62989768
BESC-13-Co3_21_57,18.6561654,32.1191238,49.2247108
BESC-13-Co1_30_3,16.42536196,41.93709436,41.63754368
BESC-13-Cl1_35_33,27.75286497,4.982561036,67.26457399
BESC-13-Cl2_39_29,28.54340363,7.699852869,63.7567435
BESC-13-Co2_41_23,15.98240469,59.57966764,24.43792766
BESC-13-Cl3_85_26,28.57142857,12.51840943,58.910162
BESC-13-Cl3_85_26,33.90504599,15.13795675,50.95699727
BESC-198-Cl3_81_33,27.62211753,11.62906025,60.74882222
BESC-234-Co3_21_62,18.70967742,35.38461538,45.9057072
BESC-234-Co1_23_3,20.07453416,41.41614907,38.50931677
BESC-234-Cl1_24_28,24.00398406,12.5,63.49601594
BESC-234-Co2_52_27,8.745059289,77.66798419,13.58695652
BESC-234-Cl2_65_22,28.81188119,17.97029703,53.21782178
BESC-258-Cl1_34_5,23.91466137,25.2294716,50.85586703
BESC-258-Cl2_67_23,33.71230845,13.14878893,53.13890262
BESC-285-Cl1_33_12,29.07092907,14.73526474,56.19380619
BESC-285-Cl2_56_7,29.09272682,14.67133217,56.23594101
BESC-307-Cl1_26_33,26.29107981,6.992834198,66.71608599
BESC-307-Co1_31_6,14.80029405,50.89438863,34.30531732
BESC-307-Cl2_57_8,27.67014406,21.41082961,50.91902633
BESC-307-Co2_62_14,16.36001989,72.45151666,11.18846345
BESC-331-Co1_12_7,15.61486655,38.68795211,45.69718134
BESC-331-Co3_15_40,15.07936508,36.55753968,48.36309524
BESC-331-Co2_50_17,21.27553563,57.54857997,21.1758844
BESC-331-Cl2_55_18,22.80439122,19.81037924,57.38522954
BESC-351-Co1_10_3,20.58823529,46.2113659,33.2003988
BESC-351-Co3_11_46,18.61036091,42.10655536,39.28308372
