biosample_id,old_basename,new_basename
nmdc_bsm-11-011z7z70,nmdc_wfrbt-11-503hbq97.1_kraken2_report_bracken_species.tsv,nmdc_wfrbt-11-503hbq97.1_bracken_species.tsv
nmdc_bsm-11-05dve909,nmdc_wfrbt-11-59g21798.1_kraken2_report_bracken_species.tsv,nmdc_wfrbt-11-59g21798.1_bracken_species.tsv
nmdc_bsm-11-0xqxvc88,nmdc_wfrbt-11-19cghv68.1_kraken2_report_bracken_species.tsv,nmdc_wfrbt-11-19cghv68.1_bracken_species.tsv
nmdc_bsm-11-18btad96,nmdc_wfrbt-11-sbdeqz63.1_kraken2_report_bracken_species.tsv,nmdc_wfrbt-11-sbdeqz63.1_bracken_species.tsv
nmdc_bsm-11-1a9d1633,nmdc_wfrbt-11-tft5r311.1_kraken2_report_bracken_species.tsv,nmdc_wfrbt-11-tft5r311.1_bracken_species.tsv
nmdc_bsm-11-1fa0hs25,nmdc_wfrbt-11-kbvrz719.1_kraken2_report_bracken_species.tsv,nmdc_wfrbt-11-kbvrz719.1_bracken_species.tsv
nmdc_bsm-11-1r59n445,nmdc_wfrbt-11-6dsz4t34.1_kraken2_report_bracken_species.tsv,nmdc_wfrbt-11-6dsz4t34.1_bracken_species.tsv
nmdc_bsm-11-2a37n046,nmdc_wfrbt-11-c1x2tc26.1_kraken2_report_bracken_species.tsv,nmdc_wfrbt-11-c1x2tc26.1_bracken_species.tsv
nmdc_bsm-11-2g6d7w97,nmdc_wfrbt-11-g3b71q17.1_kraken2_report_bracken_species.tsv,nmdc_wfrbt-11-g3b71q17.1_bracken_species.tsv
nmdc_bsm-11-3zh6yy26,nmdc_wfrbt-11-vfgwej61.1_kraken2_report_bracken_species.tsv,nmdc_wfrbt-11-vfgwej61.1_bracken_species.tsv
nmdc_bsm-11-45z1kv27,nmdc_wfrbt-11-ya71wc15.1_kraken2_report_bracken_species.tsv,nmdc_wfrbt-11-ya71wc15.1_bracken_species.tsv
nmdc_bsm-11-4ep6tc76,nmdc_wfrbt-11-zwc7ns16.1_kraken2_report_bracken_species.tsv,nmdc_wfrbt-11-zwc7ns16.1_bracken_species.tsv
nmdc_bsm-11-4f4btc22,nmdc_wfrbt-11-t9wyj351.1_kraken2_report_bracken_species.tsv,nmdc_wfrbt-11-t9wyj351.1_bracken_species.tsv
