host_id,nmdc_biosample_id,metagenome_accession,metabolomics_id,soil_pH,soil_NH4,soil_NO3,soil_total_C,soil_total_N,keep_for_analysis,notes,gold_project_id,metabolomics_present,metabolomics_run_count,cohort_status,Field Sample ID,chem__LBC (mg/kg CaCO3/pH dry weight),chem__LBCeq (mg/kg CaCO3/pH dry weight),chem__pH,chem__Ca (Mehlich 1 mg/kg dry weight),chem__K (Mehlich 1 mg/kg dry weight),chem__Mg (Mehlich 1 mg/kg dry weight),chem__Mn (Mehlich 1 mg/kg dry weight),chem__P (Mehlich 1 mg/kg dry weight),chem__Zn (Mehlich 1 mg/kg dry weight),chem__NH4-N (mg/kg dry weight),chem__NO2-N (mg/kg dry weight),chem__NO3-N (mg/kg dry weight),chem__C (%),chem__N (%),denit__Technical Replicate,denit__Rate (microgN/kilogram dry weight soil/day),moist__Replicate 1 Mass Water / Mass Dry Soil %,moist__Replicate 2 Mass Water / Mass Dry Soil %,moist__Replicate 3 Mass Water / Mass Dry Soil %,nitrif__Technical Replicate,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),psize__Soil Sand Content %,psize__Soil Clay Content %,psize__Soil Silt Content %,soil_match
BESC-833-Co3_31_37,nmdc:bsm-11-pejvvs20,SRX21791942,nmdc:dgms-12-5sagyq12;nmdc:dgms-12-kxj3f773;nmdc:dgms-12-94q9f752;nmdc:dgms-12-hbmdpb32,6.84,2.923,1.6305,1.34,0.105,yes,from_supp_table1,Gp0566814,yes,4,ready,BESC-833-Co3_31_37,497.0,1441.3,6.84,2359.17,201.387,442.326,23.1047,102.779,1.95,2.923,<0.19,1.6305,1.34,0.105,1.0,5.449192045,8.459869848,8.207343413,7.974137931,1.0,0.994256852,25.66609631,54.77878269,19.555121,yes
BESC-833-Co2_47_23,nmdc:bsm-11-bd18tk15,SRX21792390,nmdc:dgms-12-f4gqdd41;nmdc:dgms-12-wcvxy623;nmdc:dgms-12-7n4ksg78;nmdc:dgms-12-fp8kqp13,6.76,2.544,1.133,1.944,0.346,yes,from_supp_table1,Gp0566813,yes,4,ready,BESC-833-Co2_47_23,526.0,1525.4,6.76,2421.86,307.14,404.477,23.0194,111.231,4.4079,2.544,<0.20,1.133,1.944,0.346,1.0,7.48438395,7.051282051,8.423326134,8.441558442,2.0,0.974449348,13.55849241,60.74400392,25.69750367,yes
BESC-833-Co1_6_4,nmdc:bsm-11-j8ezj858,SRX21792392,nmdc:dgms-12-2b8brz45;nmdc:dgms-12-67512b85;nmdc:dgms-12-1r7x3e66;nmdc:dgms-12-a72vey55,6.63,2.4445,1.919,1.175,0.232,yes,from_supp_table1,Gp0566812,yes,4,ready,BESC-833-Co1_6_4,480.0,1392.0,6.63,2217.89,153.687,439.551,20.3547,116.39,1.8725,2.4445,<0.20,1.919,1.175,0.232,1.0,1.387080075,5.708245243,7.741935484,6.623931624,1.0,0.562458287,12.61171797,49.7020854,37.68619662,yes
BESC-258-CL1_34_5,nmdc:bsm-11-yxxvqg27,SRX21792395,nmdc:dgms-12-n3mc8z94;nmdc:dgms-12-anfcgn54;nmdc:dgms-12-qrdq3954;nmdc:dgms-12-0kcrrm69,5.12,25.639,25.9235,9.345,0.688,yes,from_supp_table1,Gp0566775,yes,4,ready,BESC-258-CL1_34_5,1566.0,4541.4,5.12,1510.0,217.438,235.425,21.7039,22.0106,6.1502,25.639,<0.20,25.9235,9.345,0.688,1.0,725.6165982,48.95522388,35.40540541,33.33333333,1.0,11.28655462,23.91466137,25.2294716,50.85586703,yes
BESC-234-Co1_23_3,nmdc:bsm-11-v0hqhp22,SRX21792401,nmdc:dgms-12-p2c5rk96;nmdc:dgms-12-h9f1ar42;nmdc:dgms-12-5972kx49;nmdc:dgms-12-e8w47b03,6.85,3.014,0.2345,2.358,0.34,yes,from_supp_table1,Gp0566772,yes,4,ready,BESC-234-Co1_23_3,594.0,1722.6,6.85,2498.43,219.265,485.077,28.6011,115.112,4.1569,3.014,<0.20,0.2345,2.358,0.34,1.0,16.75111296,4.592901879,5.042016807,4.166666667,2.0,1.019605873,20.07453416,41.41614907,38.50931677,yes
BESC-331-CL2_55_18,nmdc:bsm-11-2g6d7w97,SRX21792405,nmdc:dgms-12-y1zhmy80;nmdc:dgms-12-n3qgr396;nmdc:dgms-12-nn1d5m67;nmdc:dgms-12-x7dsez17,4.96,14.06,13.3625,7.839,0.565,yes,from_supp_table1,Gp0566784,yes,4,ready,BESC-331-CL2_55_18,1364.0,3955.6,4.96,2093.64,69.5327,374.933,37.4526,20.7205,6.1641,14.06,<0.20,13.3625,7.839,0.565,1.0,387.539706,34.31635389,38.99721448,36.78474114,2.0,6.222055235,22.80439122,19.81037924,57.38522954,yes
BESC-331-Co1_12_7,nmdc:bsm-11-ga8cav80,SRX21792406,nmdc:dgms-12-g656fm18;nmdc:dgms-12-jzzcaq95;nmdc:dgms-12-eb683j28;nmdc:dgms-12-p70fqq53,6.62,3.5105,0.746,1.852,0.397,yes,from_supp_table1,Gp0566785,yes,4,ready,BESC-331-Co1_12_7,559.0,1621.1,6.62,2432.99,208.872,447.272,22.3931,108.677,2.4071,3.5105,<0.21,0.746,1.852,0.397,1.0,11.10213701,6.396588486,6.369426752,6.609808102,1.0,0.960902502,15.61486655,38.68795211,45.69718134,yes
BESC-13-Co2_41_23,nmdc:bsm-11-nz6f9964,SRX21792412,nmdc:dgms-12-fy0r9619;nmdc:dgms-12-kxkx7k42;nmdc:dgms-12-xejjfe86;nmdc:dgms-12-vaqapr40,6.71,4.1705,<0.20,2.607,0.166,yes,from_supp_table1,Gp0566760,yes,4,ready,BESC-13-Co2_41_23,597.0,1731.3,6.71,2453.12,313.501,435.482,24.2299,103.111,5.016,4.1705,<0.20,<0.20,2.607,0.166,1.0,29.32789634,4.402515723,4.60251046,5.031446541,2.0,0.58950566,15.98240469,59.57966764,24.43792766,yes
BESC-331-Co2_50_17,nmdc:bsm-11-wpsg6186,SRX21792776,nmdc:dgms-12-54sr1v57;nmdc:dgms-12-dxx6ms96;nmdc:dgms-12-9086km56;nmdc:dgms-12-891gwk36,6.92,2.0665,1.1235,1.342,0.335,yes,from_supp_table1,Gp0566786,yes,4,ready,BESC-331-Co2_50_17,448.0,1299.2,6.92,2152.42,449.091,418.21,17.8597,120.393,3.3915,2.0665,<0.21,1.1235,1.342,0.335,1.0,2.765034585,7.296137339,7.066381156,6.623931624,2.0,0.870610775,21.27553563,57.54857997,21.1758844,yes
BESC-331-Co3_15_40,nmdc:bsm-11-azfn2405,SRX21792778,nmdc:dgms-12-0et7je92;nmdc:dgms-12-xt3h1511;nmdc:dgms-12-m00hpt27;nmdc:dgms-12-cqrvqh45,6.95,2.6825,<0.20,1.964,0.131,yes,from_supp_table1,Gp0566787,yes,4,ready,BESC-331-Co3_15_40,617.0,1789.3,6.95,2511.03,315.919,502.777,26.6171,75.0163,4.0774,2.6825,<0.20,<0.20,1.964,0.131,1.0,33.38285657,8.71459695,11.60714286,10.15452539,1.0,1.331435719,15.07936508,36.55753968,48.36309524,yes
BESC-307-Co1_31_6,nmdc:bsm-11-6ntzv433,SRX21792780,nmdc:dgms-12-1tybq661;nmdc:dgms-12-ckta7492;nmdc:dgms-12-1hpd0x54;nmdc:dgms-12-5nz6j955,6.68,2.8415,0.6115,1.458,0.378,yes,from_supp_table1,Gp0566781,yes,4,ready,BESC-307-Co1_31_6,543.0,1574.7,6.68,2232.42,220.794,458.483,20.2892,111.376,2.3346,2.8415,<0.20,0.6115,1.458,0.378,1.0,0.845794251,4.393305439,4.60251046,5.473684211,2.0,0.655436266,14.80029405,50.89438863,34.30531732,yes
BESC-13-CL1_35_33,nmdc:bsm-11-vnkf4228,SRX21792795,nmdc:dgms-12-2n32jw86;nmdc:dgms-12-zdmtm042;nmdc:dgms-12-0s71b942;nmdc:dgms-12-qcsqes08,5.58,8.3295,27.324,4.836,0.337,yes,from_supp_table1,Gp0566756,yes,4,ready,BESC-13-CL1_35_33,1138.0,3300.2,5.58,2561.92,314.649,505.921,64.4016,33.1477,10.2429,8.3295,<0.20,27.324,4.836,0.337,1.0,105.3583863,41.92634561,46.49122807,39.27576602,1.0,7.343264502,27.75286497,4.982561036,67.26457399,yes
BESC-13-CL2_39_29,nmdc:bsm-11-k7jqh647,SRX21792799,nmdc:dgms-12-84kvtv66;nmdc:dgms-12-f6g8am83;nmdc:dgms-12-vy40vg12;nmdc:dgms-12-hdpjyj57,5.52,10.46,25.197,3.886,0.302,yes,from_supp_table1,Gp0566757,yes,4,ready,BESC-13-CL2_39_29,1113.0,3227.7,5.52,2480.86,395.775,514.993,56.7257,30.343,9.496,10.46,<0.20,25.197,3.886,0.302,1.0,87.46480971,25.6281407,18.52731591,20.67307692,1.0,6.655079484,28.54340363,7.699852869,63.7567435,yes
GW-9591-Co2_62_24,nmdc:bsm-11-4f4btc22,SRX21790337,nmdc:dgms-12-8np5az63;nmdc:dgms-12-x4xk1532;nmdc:dgms-12-bw64gk71;nmdc:dgms-12-rb3wyb32,6.48,2.1955,0.836,1.192,0.25,yes,from_supp_table1,Gp0566854,yes,4,ready,GW-9591-Co2_62_24,377.0,1093.3,6.48,1764.86,222.738,312.3,14.6228,121.937,3.4332,2.1955,<0.20,0.836,1.192,0.25,1.0,3.990596584,4.158004158,4.175365345,4.811715481,1.0,0.342967221,9.327710246,71.27263706,19.39965269,yes
SKWD-24-1-Co1_7_5,nmdc:bsm-11-hx8qxc63,SRX21790338,nmdc:dgms-12-wzwzx786;nmdc:dgms-12-zjsc9d15;nmdc:dgms-12-vv9cxd52;nmdc:dgms-12-74wq0x95,6.72,2.9575,0.983,1.431,0.298,yes,from_supp_table1,Gp0566861,yes,4,ready,SKWD-24-1-Co1_7_5,514.0,1490.6,6.72,2206.82,173.027,448.931,20.7862,115.044,2.4845,2.9575,<0.21,0.983,1.431,0.298,1.0,31.59997732,6.609808102,6.157112527,6.131078224,1.0,0.600959479,13.065077,53.84997516,33.08494784,yes
GW-7986-Co3_31_39,nmdc:bsm-11-jqwsb466,SRX21790339,nmdc:dgms-12-6qjgec18;nmdc:dgms-12-fm6wv590;nmdc:dgms-12-5yzgtf09;nmdc:dgms-12-dz2e6277,,,,,,yes,from_supp_table1,Gp0566849,yes,4,ready,GW-7986-Co3_31_39,,,,,,,,,,,,,,,,,,,,,,17.76798825,56.97503671,25.25697504,yes
