biosample_id,assay,n_annotated_features
nmdc_bsm-11-011z7z70,C18_negative,762
nmdc_bsm-11-011z7z70,C18_positive,1871
nmdc_bsm-11-011z7z70,HILICZ_negative,1743
nmdc_bsm-11-011z7z70,HILICZ_positive,569
nmdc_bsm-11-05dve909,C18_negative,1876
nmdc_bsm-11-05dve909,C18_positive,3088
nmdc_bsm-11-05dve909,HILICZ_negative,1035
nmdc_bsm-11-05dve909,HILICZ_positive,784
nmdc_bsm-11-0xqxvc88,C18_negative,875
nmdc_bsm-11-0xqxvc88,C18_positive,1916
nmdc_bsm-11-0xqxvc88,HILICZ_negative,1472
nmdc_bsm-11-0xqxvc88,HILICZ_positive,769
nmdc_bsm-11-18btad96,C18_negative,1501
nmdc_bsm-11-18btad96,C18_positive,2593
nmdc_bsm-11-18btad96,HILICZ_negative,1106
nmdc_bsm-11-18btad96,HILICZ_positive,620
nmdc_bsm-11-1a9d1633,C18_negative,628
nmdc_bsm-11-1a9d1633,C18_positive,1556
nmdc_bsm-11-1a9d1633,HILICZ_negative,1388
nmdc_bsm-11-1a9d1633,HILICZ_positive,718
nmdc_bsm-11-1fa0hs25,C18_negative,2394
nmdc_bsm-11-1fa0hs25,C18_positive,3167
nmdc_bsm-11-1fa0hs25,HILICZ_negative,787
nmdc_bsm-11-1fa0hs25,HILICZ_positive,693
nmdc_bsm-11-1r59n445,C18_negative,1072
nmdc_bsm-11-1r59n445,C18_positive,1880
nmdc_bsm-11-1r59n445,HILICZ_negative,1522
nmdc_bsm-11-1r59n445,HILICZ_positive,544
nmdc_bsm-11-2a37n046,C18_negative,1485
nmdc_bsm-11-2a37n046,C18_positive,3031
nmdc_bsm-11-2a37n046,HILICZ_negative,1108
nmdc_bsm-11-2a37n046,HILICZ_positive,653
nmdc_bsm-11-2g6d7w97,C18_negative,1169
nmdc_bsm-11-2g6d7w97,C18_positive,2386
nmdc_bsm-11-2g6d7w97,HILICZ_negative,2042
nmdc_bsm-11-2g6d7w97,HILICZ_positive,671
nmdc_bsm-11-3zh6yy26,C18_negative,1967
nmdc_bsm-11-3zh6yy26,C18_positive,2945
nmdc_bsm-11-3zh6yy26,HILICZ_negative,1139
nmdc_bsm-11-3zh6yy26,HILICZ_positive,739
nmdc_bsm-11-45z1kv27,C18_negative,1965
nmdc_bsm-11-45z1kv27,C18_positive,3150
nmdc_bsm-11-45z1kv27,HILICZ_negative,1669
nmdc_bsm-11-45z1kv27,HILICZ_positive,1516
nmdc_bsm-11-4ep6tc76,C18_negative,2158
nmdc_bsm-11-4ep6tc76,C18_positive,2509
nmdc_bsm-11-4ep6tc76,HILICZ_negative,965
nmdc_bsm-11-4ep6tc76,HILICZ_positive,519
nmdc_bsm-11-4f4btc22,C18_negative,880
nmdc_bsm-11-4f4btc22,C18_positive,2693
nmdc_bsm-11-4f4btc22,HILICZ_negative,50
nmdc_bsm-11-4f4btc22,HILICZ_positive,132
nmdc_bsm-11-4htstp40,C18_negative,1046
nmdc_bsm-11-4htstp40,C18_positive,2270
nmdc_bsm-11-4htstp40,HILICZ_negative,798
nmdc_bsm-11-4htstp40,HILICZ_positive,683
nmdc_bsm-11-4pc4k424,C18_negative,1450
nmdc_bsm-11-4pc4k424,C18_positive,2642
nmdc_bsm-11-4pc4k424,HILICZ_negative,1485
nmdc_bsm-11-4pc4k424,HILICZ_positive,727
nmdc_bsm-11-4yy9a239,C18_negative,1445
nmdc_bsm-11-4yy9a239,C18_positive,2746
nmdc_bsm-11-4yy9a239,HILICZ_negative,1329
nmdc_bsm-11-4yy9a239,HILICZ_positive,907
nmdc_bsm-11-57ejpn32,C18_negative,2625
nmdc_bsm-11-57ejpn32,C18_positive,3266
nmdc_bsm-11-57ejpn32,HILICZ_negative,982
nmdc_bsm-11-57ejpn32,HILICZ_positive,653
nmdc_bsm-11-5snc2s56,C18_negative,1497
nmdc_bsm-11-5snc2s56,C18_positive,2051
nmdc_bsm-11-5snc2s56,HILICZ_negative,910
nmdc_bsm-11-5snc2s56,HILICZ_positive,448
nmdc_bsm-11-67dmq694,C18_negative,1078
nmdc_bsm-11-67dmq694,C18_positive,1937
nmdc_bsm-11-67dmq694,HILICZ_negative,1552
nmdc_bsm-11-67dmq694,HILICZ_positive,824
nmdc_bsm-11-6ntzv433,C18_negative,1543
nmdc_bsm-11-6ntzv433,C18_positive,2295
nmdc_bsm-11-6ntzv433,HILICZ_negative,1141
nmdc_bsm-11-6ntzv433,HILICZ_positive,574
nmdc_bsm-11-6pr72x09,C18_negative,1148
nmdc_bsm-11-6pr72x09,C18_positive,2767
nmdc_bsm-11-6pr72x09,HILICZ_negative,1481
