metabolite_key,assay,name,inchikey,kegg,chebi,n_samples_present,Confidence Score,Entropy Similarity,Spectra with Annotation (n)
C18_negative|NAME:,C18_negative,nan,nan,nan,,105,0.9999325948692162,,
C18_positive|NAME:,C18_positive,nan,nan,nan,,105,0.9999154811257012,,
HILICZ_positive|NAME:,HILICZ_positive,nan,nan,nan,,105,0.9999060117071696,,
HILICZ_positive|IK:ACHDMUPTZYZIGR-CUHSZNQNSA-N,HILICZ_positive,9-OxoOTrE,ACHDMUPTZYZIGR-CUHSZNQNSA-N,nan,142251.0,25,0.9998100901792852,0.55357456,1.0
C18_negative|IK:FQWZGEBZILOCET-BJGSYIFTSA-N,C18_negative,Z-Gmca,FQWZGEBZILOCET-BJGSYIFTSA-N,nan,,32,0.9998075069060016,0.466011,1.0
C18_positive|IK:YHGNXQAFNHCBTK-OWOJBTEDSA-N,C18_positive,3-Hexenedioic acid,YHGNXQAFNHCBTK-OWOJBTEDSA-N,nan,86952.0,103,0.9997762026408776,0.3628869,1.0
C18_positive|IK:XEAQIWGXBXCYFX-UHFFFAOYSA-N,C18_positive,"4-Methoxy-2-(2-phenylethenyl)-2,3-dihydropyran-6-one",XEAQIWGXBXCYFX-UHFFFAOYSA-N,nan,,78,0.9997608981491902,0.61589086,2.0
C18_negative|IK:GEYBMYRBIABFTA-UHFFFAOYSA-N,C18_negative,2-Azaniumyl-3-(4-methoxyphenyl)propanoate,GEYBMYRBIABFTA-UHFFFAOYSA-N,nan,,99,0.9997136500112512,0.3399,1.0
C18_positive|IK:VCONERRCKOKCHE-UHFFFAOYSA-N,C18_positive,"1-(2,3-Dihydroxy-4-methoxyphenyl)ethanone",VCONERRCKOKCHE-UHFFFAOYSA-N,nan,,5,0.9996733283458998,0.71657205,1.0
HILICZ_positive|IK:CAYMSCGTKZIVTN-UHFFFAOYSA-N,HILICZ_positive,"6-Hydroxy-4-(4-hydroxy-3-methoxyphenyl)-7-methoxy-3a,4,9,9a-tetrahydronaphtho[2,3-c]furan-1(3H)-one",CAYMSCGTKZIVTN-UHFFFAOYSA-N,nan,,8,0.999665483880468,0.34669313,2.0
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,C18_negative,"5,7-Dihydroxy-2-(3-hydroxy-4-methoxy-phenyl)-chroman-4-one",AIONOLUJZLIMTK-UHFFFAOYSA-N,nan,,56,0.9996604089593212,0.4962624,1.0
C18_negative|IK:OCNYGKNIVPVPPX-UHFFFAOYSA-N,C18_negative,"Methyl 3,4-dihydroxycinnamate",OCNYGKNIVPVPPX-UHFFFAOYSA-N,nan,,33,0.9996355322095866,0.3527353,1.0
C18_positive|IK:CTMNHOOSFSITGN-UHFFFAOYSA-N,C18_positive,"3-(2-Methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one",CTMNHOOSFSITGN-UHFFFAOYSA-N,nan,,5,0.9995479951484542,0.48173857,1.0
HILICZ_positive|IK:RGHMISIYKIHAJW-UHFFFAOYSA-N,HILICZ_positive,"3,4-Dihydroxymandelic acid",RGHMISIYKIHAJW-UHFFFAOYSA-N,C05580,27637.0,104,0.9995449022867984,0.50437206,1.0
HILICZ_negative|NAME:,HILICZ_negative,nan,nan,nan,,105,0.9995388083250616,,
C18_positive|IK:DKZBBWMURDFHNE-NSCUHMNNSA-N,C18_positive,4-Hydroxy-3-methoxycinnamaldehyde,DKZBBWMURDFHNE-NSCUHMNNSA-N,C02666,16547.0,39,0.9995096303198334,0.72983533,1.0
C18_positive|IK:JIVGSHFYXPRRSZ-UHFFFAOYSA-N,C18_positive,"2,3-Dimethoxybenzaldehyde",JIVGSHFYXPRRSZ-UHFFFAOYSA-N,nan,,34,0.9994952570199568,0.4755445,2.0
C18_positive|IK:YQILNNCHDIUIAD-UHFFFAOYSA-N,C18_positive,8-Hydroxy-3-(2-hydroxypropyl)-6-methoxy-2h-1-benzopyran-2-one,YQILNNCHDIUIAD-UHFFFAOYSA-N,nan,,43,0.9994930395421188,0.32894716,2.0
HILICZ_positive|IK:GSEJCLTVZPLZKY-UHFFFAOYSA-N,HILICZ_positive,Triethanolamine,GSEJCLTVZPLZKY-UHFFFAOYSA-N,C06771,28621.0,29,0.9994629375418363,0.6004695,2.0
C18_negative|IK:RTIXKCRFFJGDFG-UHFFFAOYSA-N,C18_negative,Chrysin,RTIXKCRFFJGDFG-UHFFFAOYSA-N,C10028,75095.0,40,0.9994514146112246,0.72938156,1.0
C18_negative|IK:GYXGAEAOIFNGAE-UHFFFAOYSA-N,C18_negative,Isopropylidene-succinic acid,GYXGAEAOIFNGAE-UHFFFAOYSA-N,nan,,84,0.9994170431941924,0.38403282,2.0
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,C18_positive,"2,6-Dimethoxybenzoic Acid",MBIZFBDREVRUHY-UHFFFAOYSA-N,nan,,52,0.9993876272789148,0.62204194,1.0
C18_positive|IK:DJOJDHGQRNZXQQ-AWEZNQCLSA-N,C18_positive,Sakuranetin,DJOJDHGQRNZXQQ-AWEZNQCLSA-N,nan,,40,0.9993613247189068,0.6837524,1.0
C18_negative|IK:FUQGIYDZGLORRC-UHFFFAOYSA-N,C18_negative,CID 240469,FUQGIYDZGLORRC-UHFFFAOYSA-N,nan,,64,0.9993140698602024,0.46517533,1.0
C18_negative|IK:YGSDEFSMJLZEOE-UHFFFAOYSA-N,C18_negative,Salicylic Acid,YGSDEFSMJLZEOE-UHFFFAOYSA-N,C00805,16914.0,25,0.999313313669822,0.7392537,6.0
C18_negative|IK:BDJRBEYXGGNYIS-UHFFFAOYSA-N,C18_negative,Azelaic Acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,C08261,48131.0,88,0.99930934185521,0.6596136,1.0
C18_positive|IK:VDVJGIYXDVPQLP-UHFFFAOYSA-N,C18_positive,Piperonylic Acid,VDVJGIYXDVPQLP-UHFFFAOYSA-N,nan,107644.0,77,0.9992680524144316,0.633658,6.0
C18_negative|IK:ILEDWLMCKZNDJK-UHFFFAOYSA-N,C18_negative,Esculetin,ILEDWLMCKZNDJK-UHFFFAOYSA-N,C09263,490095.0,10,0.9992292018364513,0.5031835,1.0
C18_positive|IK:KSEBMYQBYZTDHS-UHFFFAOYSA-N,C18_positive,(E)-3-(4-hydroxy-3-methoxyphenyl)acrylic acid,KSEBMYQBYZTDHS-UHFFFAOYSA-N,nan,,61,0.9991864282803288,0.83213514,1.0
C18_negative|IK:ODLVGCCGMXGMGZ-UHFFFAOYSA-N,C18_negative,CID 3065428,ODLVGCCGMXGMGZ-UHFFFAOYSA-N,nan,,10,0.9991768032577788,0.40189204,1.0
C18_positive|IK:COBPKKZHLDDMTB-UHFFFAOYSA-N,C18_positive,Triethylene glycol monobutyl ether,COBPKKZHLDDMTB-UHFFFAOYSA-N,nan,,20,0.999171574263254,0.56499213,1.0
C18_negative|IK:FTVWIRXFELQLPI-UHFFFAOYSA-N,C18_negative,"5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",FTVWIRXFELQLPI-UHFFFAOYSA-N,nan,,76,0.99916433004607,0.8710641,2.0
C18_positive|IK:UIAFKZKHHVMJGS-UHFFFAOYSA-N,C18_positive,Beta-Resorcylic Acid,UIAFKZKHHVMJGS-UHFFFAOYSA-N,nan,248101.0,16,0.99915658393111,0.7737986,3.0
C18_positive|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N,C18_positive,Acacetin,DANYIYRPLHHOCZ-UHFFFAOYSA-N,C01470,15335.0,73,0.9991528410421612,0.69328344,3.0
C18_negative|IK:DYHOLQACRGJEHX-UHFFFAOYSA-N,C18_negative,Farrerol,DYHOLQACRGJEHX-UHFFFAOYSA-N,nan,,47,0.9991061518162324,0.42360446,1.0
C18_negative|IK:RGHNJXZEOKUKBD-MGCNEYSASA-N,C18_negative,Galactonic acid,RGHNJXZEOKUKBD-MGCNEYSASA-N,C00880,16534.0,7,0.9990806432499963,0.8128966,1.0
C18_positive|IK:PVLHOJXLNBFHDX-UHFFFAOYSA-N,C18_positive,"4,4,8,10,14-pentamethyl-17-(2,6,6-trimethyloxan-2-yl)-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,12-diol",PVLHOJXLNBFHDX-UHFFFAOYSA-N,nan,,7,0.9990652478241088,0.83402145,2.0
C18_negative|IK:WEKCEGQSIIQPAQ-IRBNZIFYSA-N,C18_negative,Acanthoside B,WEKCEGQSIIQPAQ-IRBNZIFYSA-N,nan,,9,0.9990634925768628,0.46575618,1.0
C18_negative|IK:HMUJXQRRKBLVOO-AWEZNQCLSA-N,C18_negative,Isosakuranetin,HMUJXQRRKBLVOO-AWEZNQCLSA-N,C05334,27552.0,8,0.999050049020415,0.634169,1.0
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,C18_negative,"beta-D-Glucopyranoside, 2-(hydroxymethyl)phenyl",NGFMICBWJRZIBI-UHFFFAOYSA-N,nan,,105,0.9990315580086422,0.51504374,1.0
C18_positive|IK:ROJOJPXRGHLGTC-UHFFFAOYSA-N,C18_positive,"1-(2-Hydroxy-4,6-dimethoxyphenyl)-2-(4-methoxyphenyl)ethanone",ROJOJPXRGHLGTC-UHFFFAOYSA-N,nan,,70,0.9990312558907644,0.4182814,1.0
HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,HILICZ_positive,Maltol,XPCTZQVDEJYUGT-UHFFFAOYSA-N,C11918,69438.0,40,0.9990147560500868,0.42864376,1.0
C18_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,C18_negative,3-Methyl-2-oxovaleric acid,JVQYSWDUAOAHFM-UHFFFAOYSA-N,C06008,35932.0,24,0.9990009784334296,0.3597104,2.0
C18_positive|IK:XGILAAMKEQUXLS-UHFFFAOYSA-N,C18_positive,Indole-3-lactic acid,XGILAAMKEQUXLS-UHFFFAOYSA-N,C02043,24813.0,34,0.9990004266182444,0.77387863,1.0
C18_positive|IK:JVUYBLROBHJEJN-NEPJUHHUSA-N,C18_positive,"(7R,8R)-7,8-dihydroxy-3,5,7-trimethyl-8H-isochromen-6-one",JVUYBLROBHJEJN-NEPJUHHUSA-N,nan,,6,0.9989951661946204,0.4040144,1.0
C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,C18_positive,Gastrodin,PUQSUZTXKPLAPR-UJPOAAIJSA-N,nan,,47,0.998992896382232,0.3646744,1.0
C18_negative|IK:ODHCTXKNWHHXJC-UHFFFAOYSA-N,C18_negative,Pyrrolidone carboxylic acid,ODHCTXKNWHHXJC-UHFFFAOYSA-N,nan,,43,0.9989883079117652,0.40689456,1.0
C18_positive|IK:CWOFGGNDZOPNFG-UHFFFAOYSA-N,C18_positive,9-Epiblumenol B,CWOFGGNDZOPNFG-UHFFFAOYSA-N,nan,,16,0.9989587767543662,0.4312591,2.0
HILICZ_positive|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,HILICZ_positive,Sucrose,CZMRCDWAGMRECN-UGDNZRGBSA-N,C00089,17992.0,104,0.9989477942009368,0.37602532,1.0
C18_negative|IK:IJFXRHURBJZNAO-UHFFFAOYSA-N,C18_negative,3-Hydroxybenzoic acid,IJFXRHURBJZNAO-UHFFFAOYSA-N,C00587,30764.0,37,0.998941955309221,0.75795656,5.0
C18_negative|IK:QAIPRVGONGVQAS-DUXPYHPUSA-N,C18_negative,Caffeic Acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,C01197,16433.0,8,0.998902400879094,0.7429806,1.0
C18_negative|IK:YHGNXQAFNHCBTK-OWOJBTEDSA-N,C18_negative,3-Hexenedioic acid,YHGNXQAFNHCBTK-OWOJBTEDSA-N,nan,86952.0,12,0.998876411808408,0.38950008,1.0
C18_positive|IK:LGRFSURHDFAFJT-UHFFFAOYSA-N,C18_positive,Phthalic anhydride,LGRFSURHDFAFJT-UHFFFAOYSA-N,nan,,102,0.9988516982037278,0.69356924,1.0
C18_positive|IK:RTIXKCRFFJGDFG-UHFFFAOYSA-N,C18_positive,Chrysin,RTIXKCRFFJGDFG-UHFFFAOYSA-N,C10028,75095.0,24,0.9988495760354996,0.51896644,1.0
C18_positive|IK:QWQGMMRHTWIOGH-UHFFFAOYSA-N,C18_positive,"2',4',6'-Trihydroxydihydrochalcone",QWQGMMRHTWIOGH-UHFFFAOYSA-N,nan,,21,0.9988049915425994,0.66515666,2.0
HILICZ_positive|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,HILICZ_positive,4-Hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C00633,17597.0,96,0.9987847964670676,0.54444885,3.0
C18_positive|IK:CGZNTHDUAFIKOH-BMVMOQKNSA-N,C18_positive,"NCGC00384762-01_C19H28O10_beta-D-Glucopyranoside, 2-phenylethyl 2-O-beta-D-xylopyranosyl-",CGZNTHDUAFIKOH-BMVMOQKNSA-N,nan,,16,0.9987682581270648,0.58169186,1.0
C18_negative|IK:KMQUGCQVIDIVLT-CKNMYDPISA-N,C18_negative,Populoside,KMQUGCQVIDIVLT-CKNMYDPISA-N,nan,,60,0.9987525206095692,0.54455316,1.0
C18_positive|IK:LUZSWWYKKLTDHU-ZJHFMPGASA-N,C18_positive,9-OxoODE,LUZSWWYKKLTDHU-ZJHFMPGASA-N,C14766,72842.0,29,0.9987325698622956,0.54335344,1.0
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,C18_negative,Phenylacetic Acid,WLJVXDMOQOGPHL-UHFFFAOYSA-N,C07086,30745.0,47,0.9987318073592636,0.46499157,1.0
C18_negative|IK:MBNGWHIJMBWFHU-UHFFFAOYSA-N,C18_negative,Diosmetin,MBNGWHIJMBWFHU-UHFFFAOYSA-N,C10038,4630.0,4,0.9987262655111884,0.7128642,2.0
C18_negative|IK:PFTAWBLQPZVEMU-UKRRQHHQSA-N,C18_negative,Epicatechin,PFTAWBLQPZVEMU-UKRRQHHQSA-N,C09727,90.0,22,0.9987185502606633,0.8436332,2.0
C18_negative|IK:WUADCCWRTIWANL-UHFFFAOYSA-N,C18_negative,Biochanin A,WUADCCWRTIWANL-UHFFFAOYSA-N,C00814,17574.0,22,0.998710362496339,0.7158296,2.0
C18_positive|IK:FTVWIRXFELQLPI-UHFFFAOYSA-N,C18_positive,"5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",FTVWIRXFELQLPI-UHFFFAOYSA-N,nan,,53,0.9986959850321038,0.8482939,1.0
C18_positive|IK:KZNIFHPLKGYRTM-UHFFFAOYSA-N,C18_positive,Apigenin,KZNIFHPLKGYRTM-UHFFFAOYSA-N,C01477,18388.0,11,0.9986949441117146,0.6706472,1.0
C18_positive|IK:ZQPPMHVWECSIRJ-UHFFFAOYSA-N,C18_positive,9-Octadecenoic acid,ZQPPMHVWECSIRJ-UHFFFAOYSA-N,nan,,34,0.9986906713561532,0.83539766,2.0
C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N,C18_negative,Acacetin,DANYIYRPLHHOCZ-UHFFFAOYSA-N,C01470,15335.0,42,0.9986884276646018,0.76005006,2.0
