feature,dtype,n_missing,pct_missing,n_non_missing,n_unique,most_common_ratio,n_zero,pct_zero,n_nonzero,pct_nonzero,mean,median,variance,flag_missing_gt_40pct,flag_zero_gt_95pct,flag_near_constant,flag_low_variance
chem__LBC (mg/kg CaCO3/pH dry weight),float64,5,4.761904761904762,100,95,0.047619047619047616,0,0.0,100,95.23809523809524,934.23,845.0,172329.79505050505,False,False,False,False
chem__LBCeq (mg/kg CaCO3/pH dry weight),float64,5,4.761904761904762,100,95,0.047619047619047616,0,0.0,100,95.23809523809524,2709.2669999999994,2450.5,1449293.5763747478,False,False,False,False
chem__pH,float64,5,4.761904761904762,100,73,0.047619047619047616,0,0.0,100,95.23809523809524,5.952100000000001,6.154999999999999,0.5899157474747474,False,False,False,False
chem__Ca (Mehlich 1 mg/kg dry weight),float64,5,4.761904761904762,100,100,0.047619047619047616,0,0.0,100,95.23809523809524,2246.4533000000006,2280.855,123927.7018748586,False,False,False,False
chem__K (Mehlich 1 mg/kg dry weight),float64,5,4.761904761904762,100,100,0.047619047619047616,0,0.0,100,95.23809523809524,220.474649,205.5365,8778.670957299697,False,False,False,False
chem__Mg (Mehlich 1 mg/kg dry weight),float64,5,4.761904761904762,100,101,0.047619047619047616,0,0.0,100,95.23809523809524,421.43114,435.5185,6257.534650222627,False,False,False,False
chem__Mn (Mehlich 1 mg/kg dry weight),float64,5,4.761904761904762,100,101,0.047619047619047616,0,0.0,100,95.23809523809524,31.851088000000004,29.30955,159.64607617682427,False,False,False,False
chem__P (Mehlich 1 mg/kg dry weight),float64,5,4.761904761904762,100,101,0.047619047619047616,0,0.0,100,95.23809523809524,62.017262,51.0567,1614.3421294401576,False,False,False,False
chem__Zn (Mehlich 1 mg/kg dry weight),float64,5,4.761904761904762,100,101,0.047619047619047616,0,0.0,100,95.23809523809524,5.284443999999999,4.83165,7.98429251420606,False,False,False,False
chem__NH4-N (mg/kg dry weight),float64,5,4.761904761904762,100,101,0.047619047619047616,1,0.9523809523809523,99,94.28571428571429,8.19576,7.276999999999999,34.42019327515151,False,False,False,False
chem__NO2-N (mg/kg dry weight),float64,5,4.761904761904762,100,11,0.780952380952381,0,0.0,100,95.23809523809524,0.18280000000000002,0.1,0.4299669090909091,False,False,False,False
chem__NO3-N (mg/kg dry weight),float64,5,4.761904761904762,100,98,0.047619047619047616,0,0.0,100,95.23809523809524,9.483605,5.843,86.60123969340907,False,False,False,False
chem__C (%),float64,5,4.761904761904762,100,100,0.047619047619047616,0,0.0,100,95.23809523809524,3.97665,3.2215,6.464307946969696,False,False,False,False
chem__N (%),float64,5,4.761904761904762,100,92,0.047619047619047616,0,0.0,100,95.23809523809524,0.35045000000000004,0.332,0.025184250000000005,False,False,False,False
denit__Rate (microgN/kilogram dry weight soil/day),float64,12,11.428571428571429,93,94,0.11428571428571428,0,0.0,93,88.57142857142857,100.14872044012904,35.36854282,20827.001522406797,False,False,False,False
moist__Replicate 1 Mass Water / Mass Dry Soil %,float64,5,4.761904761904762,100,91,0.047619047619047616,0,0.0,100,95.23809523809524,20.08172452689,14.793918829999999,181.95573838869154,False,False,False,False
moist__Replicate 2 Mass Water / Mass Dry Soil %,float64,5,4.761904761904762,100,90,0.047619047619047616,0,0.0,100,95.23809523809524,19.791101432220003,15.60946271,174.5238093752844,False,False,False,False
moist__Replicate 3 Mass Water / Mass Dry Soil %,float64,5,4.761904761904762,100,89,0.047619047619047616,0,0.0,100,95.23809523809524,19.88397824977,16.046511629999998,173.19075597263958,False,False,False,False
nitrif__Technical Replicate,float64,5,4.761904761904762,100,3,0.5047619047619047,0,0.0,100,95.23809523809524,1.53,2.0,0.25161616161616157,False,False,False,False
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),float64,5,4.761904761904762,100,101,0.047619047619047616,0,0.0,100,95.23809523809524,3.4433314083899997,2.1856351405,10.86921723264473,False,False,False,False
psize__Soil Sand Content %,float64,2,1.9047619047619047,103,103,0.01904761904761905,0,0.0,103,98.0952380952381,23.504251688980585,23.13843078,76.53363930870346,False,False,False,False
psize__Soil Clay Content %,float64,2,1.9047619047619047,103,103,0.01904761904761905,0,0.0,103,98.0952380952381,32.97888441645632,33.5832084,497.1882885743749,False,False,False,False
psize__Soil Silt Content %,float64,2,1.9047619047619047,103,104,0.01904761904761905,0,0.0,103,98.0952380952381,43.516863893660194,45.9057072,262.66633906528483,False,False,False,False
Acaryochloris marina,float64,0,0.0,105,2,0.5142857142857142,51,48.57142857142857,54,51.42857142857143,0.0005142857142857143,0.001,2.5219780219780217e-07,False,False,False,False
Acetobacter aceti,float64,0,0.0,105,12,0.1619047619047619,0,0.0,105,100.0,0.004961904761904746,0.005,6.5562271062270394e-06,False,False,False,False
Acetobacter ascendens,float64,0,0.0,105,3,0.6571428571428571,28,26.666666666666668,77,73.33333333333333,0.0008095238095238097,0.001,3.095238095238095e-07,False,False,False,False
Acetobacter ghanensis,float64,0,0.0,105,5,0.42857142857142855,4,3.8095238095238093,101,96.19047619047619,0.001647619047619048,0.002,6.342490842490842e-07,False,False,False,False
Acetobacter oryzifermentans,float64,0,0.0,105,2,0.5047619047619047,52,49.523809523809526,53,50.476190476190474,0.0005047619047619048,0.001,2.523809523809524e-07,False,False,False,False
Acetobacter pasteurianus,float64,0,0.0,105,10,0.21904761904761905,0,0.0,105,100.0,0.0035523809523809492,0.003,3.922710622710597e-06,False,False,False,False
Acetobacter persici,float64,0,0.0,105,6,0.3238095238095238,1,0.9523809523809523,104,99.04761904761905,0.0021333333333333334,0.002,1.0782051282051282e-06,False,False,False,False
Acetobacter pomorum,float64,0,0.0,105,3,0.5238095238095238,40,38.095238095238095,65,61.904761904761905,0.0007142857142857144,0.001,3.983516483516484e-07,False,False,False,False
Acetobacter senegalensis,float64,0,0.0,105,3,0.7142857142857143,21,20.0,84,80.0,0.000885714285714286,0.001,2.752747252747253e-07,False,False,False,False
Acetobacter tropicalis,float64,0,0.0,105,4,0.5238095238095238,27,25.714285714285715,78,74.28571428571429,0.0009714285714285718,0.001,5.087912087912087e-07,False,False,False,False
Acetobacterium sp. KB-1,float64,0,0.0,105,2,0.9333333333333333,98,93.33333333333333,7,6.666666666666667,6.666666666666667e-05,0.0,6.282051282051282e-08,False,False,False,False
Acetohalobium arabaticum,float64,0,0.0,105,2,0.9238095238095239,97,92.38095238095238,8,7.619047619047619,7.61904761904762e-05,0.0,7.106227106227104e-08,False,False,False,False
Acetomicrobium mobile,float64,0,0.0,105,2,0.6285714285714286,66,62.857142857142854,39,37.142857142857146,0.0003714285714285715,0.0,2.3571428571428572e-07,False,False,False,False
Achromobacter denitrificans,float64,0,0.0,105,31,0.0761904761904762,0,0.0,105,100.0,0.02805714285714285,0.027,7.176593406593403e-05,False,False,False,False
Achromobacter insolitus,float64,0,0.0,105,22,0.10476190476190476,0,0.0,105,100.0,0.01797142857142856,0.017,2.595109890109893e-05,False,False,False,False
Achromobacter ruhlandii,float64,0,0.0,105,3,0.7047619047619048,29,27.61904761904762,76,72.38095238095238,0.000742857142857143,0.001,2.3131868131868129e-07,False,False,False,False
Achromobacter sp. AONIH1,float64,0,0.0,105,24,0.11428571428571428,0,0.0,105,100.0,0.021104761904761907,0.02,3.538315018315018e-05,False,False,False,False
Achromobacter sp. B7,float64,0,0.0,105,21,0.19047619047619047,0,0.0,105,100.0,0.016123809523809502,0.015,2.420567765567774e-05,False,False,False,False
Achromobacter sp. MFA1 R4,float64,0,0.0,105,25,0.13333333333333333,0,0.0,105,100.0,0.019142857142857125,0.018,3.660439560439572e-05,False,False,False,False
Achromobacter spanius,float64,0,0.0,105,47,0.05714285714285714,0,0.0,105,100.0,0.0597047619047619,0.058,0.00030522930402930397,False,False,False,False
Achromobacter xylosoxidans,float64,0,0.0,105,54,0.06666666666666667,0,0.0,105,100.0,0.07359999999999997,0.071,0.0003900500000000002,False,False,False,False
Acidaminococcus fermentans,float64,0,0.0,105,3,0.5428571428571428,29,27.61904761904762,76,72.38095238095238,0.0009047619047619051,0.001,4.5238095238095237e-07,False,False,False,False
Acidaminococcus intestini,float64,0,0.0,105,3,0.6,41,39.04761904761905,64,60.95238095238095,0.0006190476190476191,0.001,2.573260073260073e-07,False,False,False,False
Acidiferrobacter sp. SPIII_3,float64,0,0.0,105,16,0.12380952380952381,0,0.0,105,100.0,0.0072380952380952275,0.0069999999999999,1.3913919413919381e-05,False,False,False,False
Acidihalobacter ferrooxidans,float64,0,0.0,105,16,0.12380952380952381,0,0.0,105,100.0,0.008266666666666657,0.008,1.4908974358974357e-05,False,False,False,False
Acidihalobacter prosperus,float64,0,0.0,105,28,0.0761904761904762,0,0.0,105,100.0,0.015447619047619036,0.016,5.161501831501841e-05,False,False,False,False
Acidimicrobium ferrooxidans,float64,0,0.0,105,32,0.0761904761904762,0,0.0,105,100.0,0.015095238095238082,0.015,7.685622710622715e-05,False,False,False,False
Acidiphilium cryptum,float64,0,0.0,105,29,0.09523809523809523,0,0.0,105,100.0,0.015057142857142838,0.0139999999999999,6.359285714285722e-05,False,False,False,False
Acidiphilium multivorum,float64,0,0.0,105,37,0.0761904761904762,0,0.0,105,100.0,0.01988571428571427,0.019,0.00013733296703296723,False,False,False,False
Acidipropionibacterium acidipropionici,float64,0,0.0,105,29,0.09523809523809523,0,0.0,105,100.0,0.013733333333333325,0.0139999999999999,5.88512820512821e-05,False,False,False,False
Acidipropionibacterium virtanenii,float64,0,0.0,105,21,0.10476190476190476,0,0.0,105,100.0,0.00938095238095237,0.009,2.9391941391941387e-05,False,False,False,False
Acidisphaera sp. G45-3,float64,0,0.0,105,49,0.05714285714285714,0,0.0,105,100.0,0.02768571428571428,0.026,0.00029979450549450567,False,False,False,False
Acidithiobacillus caldus,float64,0,0.0,105,9,0.21904761904761905,0,0.0,105,100.0,0.003742857142857137,0.004,3.904395604395568e-06,False,False,False,False
Acidithiobacillus ferrivorans,float64,0,0.0,105,7,0.2761904761904762,0,0.0,105,100.0,0.0031999999999999984,0.003,2.603846153846139e-06,False,False,False,False
Acidithiobacillus ferrooxidans,float64,0,0.0,105,6,0.26666666666666666,0,0.0,105,100.0,0.0027428571428571432,0.003,1.8082417582417582e-06,False,False,False,False
Acidobacteriaceae bacterium SBC82,float64,0,0.0,105,50,0.06666666666666667,0,0.0,105,100.0,0.02742857142857142,0.022,0.0003414010989010989,False,False,False,False
Acidobacterium capsulatum,float64,0,0.0,105,49,0.08571428571428572,0,0.0,105,100.0,0.02969523809523808,0.024,0.00039090622710622705,False,False,False,False
Acidothermus cellulolyticus,float64,0,0.0,105,28,0.09523809523809523,0,0.0,105,100.0,0.013171428571428565,0.012,7.058571428571429e-05,False,False,False,False
Acidovorax avenae,float64,0,0.0,105,43,0.0761904761904762,0,0.0,105,100.0,0.03763809523809523,0.0349999999999999,0.0002245408424908424,False,False,False,False
