target,n_missing,pct_missing,n_zero,pct_zero,n_nonzero,pct_nonzero,n_samples_present,mean,median,variance,metabolite_key,assay,name,inchikey,kegg,chebi,Confidence Score,Entropy Similarity,Spectra with Annotation (n),flag_present_lt_10_samples,flag_present_lt_20_samples,flag_zero_gt_95pct
C18_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,0,0.0,93,88.57142857142857,12,11.428571428571429,12,80342.14499558936,0.0,128391674490.1298,C18_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,C18_negative,Quinate,AAWZDTNXLSGCEK-LNVDRNJUSA-N,,,0.9953766376193522,0.31647518,2.0,False,True,False
C18_negative|IK:ABVDJKDAAWCYKH-PNJCVKMMSA-N,0,0.0,94,89.52380952380952,11,10.476190476190476,11,16482.401020143094,0.0,3843525073.6726017,C18_negative|IK:ABVDJKDAAWCYKH-PNJCVKMMSA-N,C18_negative,NCGC00380170-01_C19H26O11_5-{[4-(beta-D-Glucopyranosyloxy)benzyl]oxy}-3-hydroxy-3-methyl-5-oxopentanoic acid,ABVDJKDAAWCYKH-PNJCVKMMSA-N,,,0.8305246870834131,0.36255038,1.0,False,True,False
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0,0.0,49,46.666666666666664,56,53.333333333333336,56,93033.87940020488,34574.58758426178,53527751655.71406,C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,C18_negative,"5,7-Dihydroxy-2-(3-hydroxy-4-methoxy-phenyl)-chroman-4-one",AIONOLUJZLIMTK-UHFFFAOYSA-N,,,0.9996604089593212,0.4962624,1.0,False,False,False
C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,0,0.0,49,46.666666666666664,56,53.333333333333336,56,220329.107836941,24957.199336951817,305032080559.86566,C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,C18_negative,1-(4-Hydroxy-2-methylphenyl)-3-(4-methoxyphenyl)prop-2-en-1-one,AJFTWGKYXHISKT-UHFFFAOYSA-N,,,0.9955030744700684,0.34244564,1.0,False,False,False
C18_negative|IK:AKEUNCKRJATALU-UHFFFAOYSA-N,0,0.0,86,81.9047619047619,19,18.095238095238095,19,215828.58632320422,0.0,687629568983.6049,C18_negative|IK:AKEUNCKRJATALU-UHFFFAOYSA-N,C18_negative,"2,6-Dihydroxybenzoic Acid",AKEUNCKRJATALU-UHFFFAOYSA-N,,68465.0,0.9964134445357292,0.88718814,4.0,False,True,False
C18_negative|IK:AQCKKGIVKOHRLM-HBFAXEOFSA-N,0,0.0,98,93.33333333333333,7,6.666666666666667,7,91187.94650581772,0.0,242415784933.57812,C18_negative|IK:AQCKKGIVKOHRLM-HBFAXEOFSA-N,C18_negative,Cylindrol B,AQCKKGIVKOHRLM-HBFAXEOFSA-N,,,0.7138423083578629,0.3712706,1.0,True,True,False
C18_negative|IK:AYAUOXWJIWVPSO-UHFFFAOYSA-N,0,0.0,100,95.23809523809524,5,4.761904761904762,5,7969.712567560588,0.0,1505847038.3289447,C18_negative|IK:AYAUOXWJIWVPSO-UHFFFAOYSA-N,C18_negative,Myrtucommulone B,AYAUOXWJIWVPSO-UHFFFAOYSA-N,,,0.9428752245814418,0.32009456,1.0,True,True,True
C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,0,0.0,49,46.666666666666664,56,53.333333333333336,56,47477.81841793993,32485.658120767504,7606059773.873881,C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,C18_negative,"3-(4-Hydroxy-3-methoxyphenyl)-1-(2,4,6-trimethoxyphenyl)prop-2-en-1-one",BAHHZVVNFAOLAZ-UHFFFAOYSA-N,,,0.8478700964988637,0.31327868,1.0,False,False,False
C18_negative|IK:BDJRBEYXGGNYIS-UHFFFAOYSA-N,0,0.0,17,16.19047619047619,88,83.80952380952381,88,130705.21812068007,36135.47016228316,139320017938.55307,C18_negative|IK:BDJRBEYXGGNYIS-UHFFFAOYSA-N,C18_negative,Azelaic Acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,C08261,48131.0,0.99930934185521,0.6596136,1.0,False,False,False
C18_negative|IK:BITYXLXUCSKTJS-UHFFFAOYSA-N,0,0.0,100,95.23809523809524,5,4.761904761904762,5,63449.422880358376,0.0,107924711483.3224,C18_negative|IK:BITYXLXUCSKTJS-UHFFFAOYSA-N,C18_negative,2-Isopropylmalic acid,BITYXLXUCSKTJS-UHFFFAOYSA-N,,,0.983988671792529,0.7306946,1.0,True,True,True
