target,n_missing,pct_missing,n_zero,pct_zero,n_nonzero,pct_nonzero,n_samples_present,mean,median,variance,metabolite_key,assay,name,inchikey,kegg,chebi,Confidence Score,Entropy Similarity,Spectra with Annotation (n),flag_present_lt_10_samples,flag_present_lt_20_samples,flag_zero_gt_95pct
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0,0.0,49,46.666666666666664,56,53.333333333333336,56,93033.87940020488,34574.58758426178,53527751655.71406,C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,C18_negative,"5,7-Dihydroxy-2-(3-hydroxy-4-methoxy-phenyl)-chroman-4-one",AIONOLUJZLIMTK-UHFFFAOYSA-N,,,0.9996604089593212,0.4962624,1.0,False,False,False
C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,0,0.0,49,46.666666666666664,56,53.333333333333336,56,220329.107836941,24957.199336951817,305032080559.86566,C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,C18_negative,1-(4-Hydroxy-2-methylphenyl)-3-(4-methoxyphenyl)prop-2-en-1-one,AJFTWGKYXHISKT-UHFFFAOYSA-N,,,0.9955030744700684,0.34244564,1.0,False,False,False
C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,0,0.0,49,46.666666666666664,56,53.333333333333336,56,47477.81841793993,32485.658120767504,7606059773.873881,C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,C18_negative,"3-(4-Hydroxy-3-methoxyphenyl)-1-(2,4,6-trimethoxyphenyl)prop-2-en-1-one",BAHHZVVNFAOLAZ-UHFFFAOYSA-N,,,0.8478700964988637,0.31327868,1.0,False,False,False
C18_negative|IK:BDJRBEYXGGNYIS-UHFFFAOYSA-N,0,0.0,17,16.19047619047619,88,83.80952380952381,88,130705.21812068007,36135.47016228316,139320017938.55307,C18_negative|IK:BDJRBEYXGGNYIS-UHFFFAOYSA-N,C18_negative,Azelaic Acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,C08261,48131.0,0.99930934185521,0.6596136,1.0,False,False,False
C18_negative|IK:BJEPYKJPYRNKOW-UWTATZPHSA-N,0,0.0,83,79.04761904761905,22,20.952380952380953,22,257594.89678849588,0.0,477331123140.609,C18_negative|IK:BJEPYKJPYRNKOW-UWTATZPHSA-N,C18_negative,D-Malic acid,BJEPYKJPYRNKOW-UWTATZPHSA-N,C00497,30796.0,,0.92523104,3.0,False,False,False
C18_negative|IK:BJHIKXHVCXFQLS-PQLUHFTBSA-N,0,0.0,80,76.19047619047619,25,23.80952380952381,25,323521.09113221255,0.0,927662815994.0541,C18_negative|IK:BJHIKXHVCXFQLS-PQLUHFTBSA-N,C18_negative,Tagatose,BJHIKXHVCXFQLS-PQLUHFTBSA-N,C00795,47693.0,0.9980043350413418,0.8329047,4.0,False,False,False
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,0,0.0,45,42.857142857142854,60,57.142857142857146,60,245272.7223771456,30313.12657444738,229047847422.21896,C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,C18_negative,Arbutin,BJRNKVDFDLYUGJ-RMPHRYRLSA-N,C06186,18305.0,0.9964494154360836,0.3523782,1.0,False,False,False
C18_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,0,0.0,13,12.380952380952381,92,87.61904761904762,92,1130589.9738311057,462453.3473844986,2496191266396.158,C18_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,C18_negative,"2-(Hydroxymethyl)-6-(4-hydroxyphenoxy)oxane-3,4,5-triol",BJRNKVDFDLYUGJ-UHFFFAOYSA-N,,,0.9941239015185862,0.3850773,1.0,False,False,False
C18_negative|IK:BPSJMBKZSUTYNF-GXCUHXBUSA-N,0,0.0,60,57.142857142857146,45,42.857142857142854,45,145113.64798364814,0.0,91099395541.8562,C18_negative|IK:BPSJMBKZSUTYNF-GXCUHXBUSA-N,C18_negative,"NCGC00380365-01_C19H28O13_4-Hydroxy-3,5-dimethoxyphenyl 6-O-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)tetrahydro-2-furanyl]-beta-D-glucopyranoside",BPSJMBKZSUTYNF-GXCUHXBUSA-N,,,0.791572275927017,0.33677432,1.0,False,False,False
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,0,0.0,65,61.904761904761905,40,38.095238095238095,40,31182.100434899505,0.0,4115457905.81141,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,C18_negative,"2,3-Dihydro-5-hydroxy-7-methoxy-2-(4-methoxyphenyl)-4H-1-benzopyran-4-one",CKEXCBVNKRHAMX-UHFFFAOYSA-N,,,0.9383221421214804,0.5523074,1.0,False,False,False
C18_negative|IK:CSGSKMJWQQEEQK-NHCPJIJJSA-N,0,0.0,46,43.80952380952381,59,56.19047619047619,59,382271.3000033905,24252.2682414474,599440896183.6333,C18_negative|IK:CSGSKMJWQQEEQK-NHCPJIJJSA-N,C18_negative,"[(2R,3S,4S,5R,6R)-3,4,5-trihydroxy-6-(2-hydroxycyclohexyl)oxyoxan-2-yl]methyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",CSGSKMJWQQEEQK-NHCPJIJJSA-N,,,0.997553110058357,0.65411246,3.0,False,False,False
C18_negative|IK:CUCUKLJLRRAKFN-UHFFFAOYSA-N,0,0.0,82,78.0952380952381,23,21.904761904761905,23,40987.038516892106,0.0,12065224326.00296,C18_negative|IK:CUCUKLJLRRAKFN-UHFFFAOYSA-N,C18_negative,Usnic Acid,CUCUKLJLRRAKFN-UHFFFAOYSA-N,,,0.9913832155801082,0.8655424,1.0,False,False,False
C18_negative|IK:CWVRJTMFETXNAD-UHFFFAOYSA-N,0,0.0,75,71.42857142857143,30,28.571428571428573,30,90065.37289380156,0.0,50129203079.48366,C18_negative|IK:CWVRJTMFETXNAD-UHFFFAOYSA-N,C18_negative,"3-{[3-(3,4-Dihydroxyphenyl)prop-2-enoyl]oxy}-1,4,5-trihydroxycyclohexane-1-carboxylic acid",CWVRJTMFETXNAD-UHFFFAOYSA-N,,,0.9960546898980628,0.6847128,1.0,False,False,False
C18_negative|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N,0,0.0,4,3.8095238095238093,101,96.19047619047619,101,31672346.939673837,14211813.854977012,1309330243560952.8,C18_negative|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N,C18_negative,Salicortin,CZDNLUMNELLDDD-QZFWYPLZSA-N,,,0.9898972266438352,0.69677037,2.0,False,False,False
