biosample_id_norm,x_n_missing,x_pct_missing,y_n_nonzero,y_n_zero,y_pct_nonzero,host_id
nmdc_bsm-11-011z7z70,0,0.0,287,694,29.255861365953105,GW-4579-Co3_14_51
nmdc_bsm-11-05dve909,0,0.0,315,666,32.11009174311927,BESC-388-Co2_54_7
nmdc_bsm-11-0xqxvc88,0,0.0,291,690,29.66360856269113,GW-9591-Co3_35_48
nmdc_bsm-11-18btad96,0,0.0,245,736,24.97451580020387,BESC-285-CL1_33_12
nmdc_bsm-11-1a9d1633,0,0.0,208,773,21.202854230377167,SKWD-24-1-Co3_24_32
nmdc_bsm-11-1fa0hs25,0,0.0,241,740,24.566768603465853,BESC-133-CL2_62_7
nmdc_bsm-11-1r59n445,2,0.06443298969072164,262,719,26.70744138634047,BESC-470-CL2_38_23
nmdc_bsm-11-2a37n046,0,0.0,302,679,30.784913353720693,BESC-285-CL2_56_7
nmdc_bsm-11-2g6d7w97,0,0.0,367,614,37.410805300713555,BESC-331-CL2_55_18
nmdc_bsm-11-3zh6yy26,0,0.0,230,751,23.44546381243629,BESC-360-CL3_72_12
nmdc_bsm-11-45z1kv27,0,0.0,372,609,37.920489296636084,BESC-388-Co1_32_7
nmdc_bsm-11-4ep6tc76,0,0.0,162,819,16.51376146788991,BESC-388-CL3_88_3
nmdc_bsm-11-4f4btc22,0,0.0,211,770,21.50866462793068,GW-9591-Co2_62_24
nmdc_bsm-11-4htstp40,0,0.0,289,692,29.45973496432212,BESC-388-Co3_8_57
nmdc_bsm-11-4pc4k424,0,0.0,365,616,37.20693170234455,SKWA-24-3-Co2_41_10
nmdc_bsm-11-4yy9a239,0,0.0,384,597,39.14373088685015,BESC-360-Co2_62_25
nmdc_bsm-11-57ejpn32,0,0.0,226,755,23.037716615698265,GW-9591-CL2_56_12
nmdc_bsm-11-5snc2s56,2,0.06443298969072164,174,807,17.737003058103976,BESC-307-CL1_26_33
nmdc_bsm-11-67dmq694,0,0.0,397,584,40.46890927624872,BESC-847-Co2_69_13
nmdc_bsm-11-6ntzv433,0,0.0,212,769,21.61060142711519,BESC-307-Co1_31_6
nmdc_bsm-11-6pr72x09,0,0.0,360,621,36.69724770642202,GW-4579-Co2_44_8
nmdc_bsm-11-6y2dt532,0,0.0,279,702,28.440366972477065,GW-4579-CL2_50_20
nmdc_bsm-11-6zd5nb38,0,0.0,189,792,19.26605504587156,BESC-904-Co3_16_51
nmdc_bsm-11-7bbm7795,0,0.0,199,782,20.285423037716615,BESC-86-CL2_69_17
nmdc_bsm-11-7j0fnc87,0,0.0,209,772,21.30479102956167,BESC-866-CL2_50_11
nmdc_bsm-11-7n6p8d80,0,0.0,161,820,16.411824668705403,BESC-866-CL3_75_7
nmdc_bsm-11-7yjtg159,0,0.0,376,605,38.328236493374106,SKWA-24-3-Co3_23_35
nmdc_bsm-11-8ah8pz02,2,0.06443298969072164,290,691,29.561671763506624,BESC-258-CL2_67_23
nmdc_bsm-11-8eypa967,0,0.0,235,746,23.955147808358817,BESC-905-CL1_32_20
nmdc_bsm-11-8wd4pp40,0,0.0,166,815,16.92150866462793,BESC-866-Co1_10_5
nmdc_bsm-11-90vp2x95,21,0.6765463917525774,183,798,18.654434250764528,BESC-56-Co1_22_4
nmdc_bsm-11-97dgrv19,0,0.0,154,827,15.698267074413863,BESC-13-Co1_30_3
nmdc_bsm-11-9gmcv191,0,0.0,243,738,24.770642201834864,BESC-388-CL1_25_34
nmdc_bsm-11-aan31e03,0,0.0,226,755,23.037716615698265,SKWA-24-3-CL2_69_25
nmdc_bsm-11-ad739z23,0,0.0,376,605,38.328236493374106,BESC-133-Co2_50_25
nmdc_bsm-11-adwwk217,0,0.0,232,749,23.649337410805302,BESC-845-CL2_37_16
nmdc_bsm-11-adzwqg44,0,0.0,331,650,33.74108053007136,BESC-360-CL2_44_14
nmdc_bsm-11-af8ap759,0,0.0,198,783,20.18348623853211,SKWD-24-1-CL2_58_25
nmdc_bsm-11-ahpvvb55,0,0.0,250,731,25.4841997961264,GW-9591-CL1_34_16
nmdc_bsm-11-arjq1c41,0,0.0,367,614,37.410805300713555,BESC-307-Co2_62_14
nmdc_bsm-11-at9sda86,0,0.0,206,775,20.998980632008156,BESC-833-CL3_77_6
nmdc_bsm-11-azfn2405,0,0.0,350,631,35.67787971457696,BESC-331-Co3_15_40
nmdc_bsm-11-aztxt406,2,0.06443298969072164,214,767,21.8144750254842,BESC-234-CL2_65_22
