host_id,nmdc_biosample_id,biosample_id_norm,metagenome_accession,metabolomics_id,gold_project_id,cohort_status,soil_match,metagenomics_match
GW-4579-Co3_14_51,nmdc:bsm-11-011z7z70,nmdc_bsm-11-011z7z70,SRX21791459,nmdc:dgms-12-5gypda13;nmdc:dgms-12-vcw8ma56;nmdc:dgms-12-qa51dx90;nmdc:dgms-12-efm4kq03,Gp0566846,ready,yes,yes
BESC-388-Co2_54_7,nmdc:bsm-11-05dve909,nmdc_bsm-11-05dve909,SRX21791469,nmdc:dgms-12-vm6fe330;nmdc:dgms-12-yvenm270;nmdc:dgms-12-fr4kcc71;nmdc:dgms-12-q4eayd67,Gp0566802,ready,yes,yes
GW-9591-Co3_35_48,nmdc:bsm-11-0xqxvc88,nmdc_bsm-11-0xqxvc88,SRX21790356,nmdc:dgms-12-tjfjep03;nmdc:dgms-12-kjkf1522;nmdc:dgms-12-xs6kk482;nmdc:dgms-12-4rbck881,Gp0566855,ready,yes,yes
BESC-285-CL1_33_12,nmdc:bsm-11-18btad96,nmdc_bsm-11-18btad96,SRX21792777,nmdc:dgms-12-sr5g9b89;nmdc:dgms-12-c5w4rs20;nmdc:dgms-12-z3fjtw06;nmdc:dgms-12-pnjhy331,Gp0566777,ready,yes,yes
SKWD-24-1-Co3_24_32,nmdc:bsm-11-1a9d1633,nmdc_bsm-11-1a9d1633,SRX21790361,nmdc:dgms-12-2c79wt25;nmdc:dgms-12-6z5w5v84;nmdc:dgms-12-yvd9ht42;nmdc:dgms-12-a2pdzk51,Gp0566863,ready,yes,yes
BESC-133-CL2_62_7,nmdc:bsm-11-1fa0hs25,nmdc_bsm-11-1fa0hs25,SRX21791482,nmdc:dgms-12-z2bq3j72;nmdc:dgms-12-zwy83398;nmdc:dgms-12-263ydk13;nmdc:dgms-12-dmkfrh34,Gp0566763,ready,yes,yes
BESC-470-CL2_38_23,nmdc:bsm-11-1r59n445,nmdc_bsm-11-1r59n445,SRX21791445,nmdc:dgms-12-kzzpr989;nmdc:dgms-12-jgypkm67;nmdc:dgms-12-f0txcp41;nmdc:dgms-12-m3zsay36,Gp0566806,ready,yes,yes
BESC-285-CL2_56_7,nmdc:bsm-11-2a37n046,nmdc_bsm-11-2a37n046,SRX21792784,nmdc:dgms-12-ta2qk258;nmdc:dgms-12-bhsqzw48;nmdc:dgms-12-m5v3nr79;nmdc:dgms-12-can4ty24,Gp0566778,ready,yes,yes
BESC-331-CL2_55_18,nmdc:bsm-11-2g6d7w97,nmdc_bsm-11-2g6d7w97,SRX21792405,nmdc:dgms-12-y1zhmy80;nmdc:dgms-12-n3qgr396;nmdc:dgms-12-nn1d5m67;nmdc:dgms-12-x7dsez17,Gp0566784,ready,yes,yes
BESC-360-CL3_72_12,nmdc:bsm-11-3zh6yy26,nmdc_bsm-11-3zh6yy26,SRX21791462,nmdc:dgms-12-8s32rv59;nmdc:dgms-12-7bzf9y75;nmdc:dgms-12-gg0mrs10;nmdc:dgms-12-pv6ezq90,Gp0566795,ready,yes,yes
BESC-388-Co1_32_7,nmdc:bsm-11-45z1kv27,nmdc_bsm-11-45z1kv27,SRX21791447,nmdc:dgms-12-gz179t39;nmdc:dgms-12-40rnb064;nmdc:dgms-12-8acz7d22;nmdc:dgms-12-wdn7jw63,Gp0566801,ready,yes,yes
BESC-388-CL3_88_3,nmdc:bsm-11-4ep6tc76,nmdc_bsm-11-4ep6tc76,SRX21791472,nmdc:dgms-12-aqkdnq71;nmdc:dgms-12-327a8c71;nmdc:dgms-12-y57jj675;nmdc:dgms-12-9wssqp09,Gp0566800,ready,yes,yes
GW-9591-Co2_62_24,nmdc:bsm-11-4f4btc22,nmdc_bsm-11-4f4btc22,SRX21790337,nmdc:dgms-12-8np5az63;nmdc:dgms-12-x4xk1532;nmdc:dgms-12-bw64gk71;nmdc:dgms-12-rb3wyb32,Gp0566854,ready,yes,yes
BESC-388-Co3_8_57,nmdc:bsm-11-4htstp40,nmdc_bsm-11-4htstp40,SRX21791430,nmdc:dgms-12-bmc8cx51;nmdc:dgms-12-8xhkk393;nmdc:dgms-12-6x8r8e02;nmdc:dgms-12-wjs4ey83,Gp0566803,ready,yes,yes
SKWA-24-3-Co2_41_10,nmdc:bsm-11-4pc4k424,nmdc_bsm-11-4pc4k424,SRX21790365,nmdc:dgms-12-w9bhkv16;nmdc:dgms-12-ms8cjb84;nmdc:dgms-12-4d3pr875;nmdc:dgms-12-n1c1r813,Gp0566858,ready,yes,yes
BESC-360-Co2_62_25,nmdc:bsm-11-4yy9a239,nmdc_bsm-11-4yy9a239,SRX21791448,nmdc:dgms-12-fbjgc419;nmdc:dgms-12-7v3h2z75;nmdc:dgms-12-wx5h3t95;nmdc:dgms-12-hrydbw82,Gp0566796,ready,yes,yes
GW-9591-CL2_56_12,nmdc:bsm-11-57ejpn32,nmdc_bsm-11-57ejpn32,SRX21790360,nmdc:dgms-12-a4nd1958;nmdc:dgms-12-s8mtae44;nmdc:dgms-12-j7pvyr53;nmdc:dgms-12-pwrrza45,Gp0566851,ready,yes,yes
BESC-307-CL1_26_33,nmdc:bsm-11-5snc2s56,nmdc_bsm-11-5snc2s56,SRX21792409,nmdc:dgms-12-zwwepk56;nmdc:dgms-12-2ex44683;nmdc:dgms-12-bs4et404;nmdc:dgms-12-2va5ap74,Gp0566779,ready,yes,yes
BESC-847-Co2_69_13,nmdc:bsm-11-67dmq694,nmdc_bsm-11-67dmq694,SRX21791466,nmdc:dgms-12-gcexgj72;nmdc:dgms-12-z1bbtn11;nmdc:dgms-12-zz9whr83;nmdc:dgms-12-284jgp29,Gp0566825,ready,yes,yes
BESC-307-Co1_31_6,nmdc:bsm-11-6ntzv433,nmdc_bsm-11-6ntzv433,SRX21792780,nmdc:dgms-12-1tybq661;nmdc:dgms-12-ckta7492;nmdc:dgms-12-1hpd0x54;nmdc:dgms-12-5nz6j955,Gp0566781,ready,yes,yes
GW-4579-Co2_44_8,nmdc:bsm-11-6pr72x09,nmdc_bsm-11-6pr72x09,SRX21791432,nmdc:dgms-12-1yn28y98;nmdc:dgms-12-d49jr802;nmdc:dgms-12-01ssjv33;nmdc:dgms-12-ngxzqk35,Gp0566845,ready,yes,yes
GW-4579-CL2_50_20,nmdc:bsm-11-6y2dt532,nmdc_bsm-11-6y2dt532,SRX21791452,nmdc:dgms-12-20rn3432;nmdc:dgms-12-atck6f34;nmdc:dgms-12-b1hs1y29;nmdc:dgms-12-tgb21528,Gp0566843,ready,yes,yes
BESC-904-Co3_16_51,nmdc:bsm-11-6zd5nb38,nmdc_bsm-11-6zd5nb38,SRX21791463,nmdc:dgms-12-mdkt1n34;nmdc:dgms-12-8t0w9s23;nmdc:dgms-12-g91eme27;nmdc:dgms-12-fqhvcb80,Gp0566837,ready,yes,yes
