host_id,nmdc_biosample_id,metagenome_accession,metabolomics_id,soil_pH,soil_NH4,soil_NO3,soil_total_C,soil_total_N,keep_for_analysis,notes,gold_project_id,metabolomics_present,metabolomics_run_count,cohort_status,soil_match,metagenomics_match,biosample_id_norm
BESC-833-Co3_31_37,nmdc:bsm-11-pejvvs20,SRX21791942,nmdc:dgms-12-5sagyq12;nmdc:dgms-12-kxj3f773;nmdc:dgms-12-94q9f752;nmdc:dgms-12-hbmdpb32,6.84,2.923,1.6305,1.34,0.105,yes,from_supp_table1,Gp0566814,yes,4,ready,yes,yes,nmdc_bsm-11-pejvvs20
BESC-833-Co2_47_23,nmdc:bsm-11-bd18tk15,SRX21792390,nmdc:dgms-12-f4gqdd41;nmdc:dgms-12-wcvxy623;nmdc:dgms-12-7n4ksg78;nmdc:dgms-12-fp8kqp13,6.76,2.544,1.133,1.944,0.346,yes,from_supp_table1,Gp0566813,yes,4,ready,yes,yes,nmdc_bsm-11-bd18tk15
BESC-833-Co1_6_4,nmdc:bsm-11-j8ezj858,SRX21792392,nmdc:dgms-12-2b8brz45;nmdc:dgms-12-67512b85;nmdc:dgms-12-1r7x3e66;nmdc:dgms-12-a72vey55,6.63,2.4445,1.919,1.175,0.232,yes,from_supp_table1,Gp0566812,yes,4,ready,yes,yes,nmdc_bsm-11-j8ezj858
BESC-258-CL1_34_5,nmdc:bsm-11-yxxvqg27,SRX21792395,nmdc:dgms-12-n3mc8z94;nmdc:dgms-12-anfcgn54;nmdc:dgms-12-qrdq3954;nmdc:dgms-12-0kcrrm69,5.12,25.639,25.9235,9.345,0.688,yes,from_supp_table1,Gp0566775,yes,4,ready,yes,yes,nmdc_bsm-11-yxxvqg27
BESC-234-Co1_23_3,nmdc:bsm-11-v0hqhp22,SRX21792401,nmdc:dgms-12-p2c5rk96;nmdc:dgms-12-h9f1ar42;nmdc:dgms-12-5972kx49;nmdc:dgms-12-e8w47b03,6.85,3.014,0.2345,2.358,0.34,yes,from_supp_table1,Gp0566772,yes,4,ready,yes,yes,nmdc_bsm-11-v0hqhp22
BESC-331-CL2_55_18,nmdc:bsm-11-2g6d7w97,SRX21792405,nmdc:dgms-12-y1zhmy80;nmdc:dgms-12-n3qgr396;nmdc:dgms-12-nn1d5m67;nmdc:dgms-12-x7dsez17,4.96,14.06,13.3625,7.839,0.565,yes,from_supp_table1,Gp0566784,yes,4,ready,yes,yes,nmdc_bsm-11-2g6d7w97
BESC-331-Co1_12_7,nmdc:bsm-11-ga8cav80,SRX21792406,nmdc:dgms-12-g656fm18;nmdc:dgms-12-jzzcaq95;nmdc:dgms-12-eb683j28;nmdc:dgms-12-p70fqq53,6.62,3.5105,0.746,1.852,0.397,yes,from_supp_table1,Gp0566785,yes,4,ready,yes,yes,nmdc_bsm-11-ga8cav80
BESC-13-Co2_41_23,nmdc:bsm-11-nz6f9964,SRX21792412,nmdc:dgms-12-fy0r9619;nmdc:dgms-12-kxkx7k42;nmdc:dgms-12-xejjfe86;nmdc:dgms-12-vaqapr40,6.71,4.1705,<0.20,2.607,0.166,yes,from_supp_table1,Gp0566760,yes,4,ready,yes,yes,nmdc_bsm-11-nz6f9964
BESC-331-Co2_50_17,nmdc:bsm-11-wpsg6186,SRX21792776,nmdc:dgms-12-54sr1v57;nmdc:dgms-12-dxx6ms96;nmdc:dgms-12-9086km56;nmdc:dgms-12-891gwk36,6.92,2.0665,1.1235,1.342,0.335,yes,from_supp_table1,Gp0566786,yes,4,ready,yes,yes,nmdc_bsm-11-wpsg6186
BESC-331-Co3_15_40,nmdc:bsm-11-azfn2405,SRX21792778,nmdc:dgms-12-0et7je92;nmdc:dgms-12-xt3h1511;nmdc:dgms-12-m00hpt27;nmdc:dgms-12-cqrvqh45,6.95,2.6825,<0.20,1.964,0.131,yes,from_supp_table1,Gp0566787,yes,4,ready,yes,yes,nmdc_bsm-11-azfn2405
BESC-307-Co1_31_6,nmdc:bsm-11-6ntzv433,SRX21792780,nmdc:dgms-12-1tybq661;nmdc:dgms-12-ckta7492;nmdc:dgms-12-1hpd0x54;nmdc:dgms-12-5nz6j955,6.68,2.8415,0.6115,1.458,0.378,yes,from_supp_table1,Gp0566781,yes,4,ready,yes,yes,nmdc_bsm-11-6ntzv433
BESC-13-CL1_35_33,nmdc:bsm-11-vnkf4228,SRX21792795,nmdc:dgms-12-2n32jw86;nmdc:dgms-12-zdmtm042;nmdc:dgms-12-0s71b942;nmdc:dgms-12-qcsqes08,5.58,8.3295,27.324,4.836,0.337,yes,from_supp_table1,Gp0566756,yes,4,ready,yes,yes,nmdc_bsm-11-vnkf4228
