metabolite_key,assay,best_label,name,inchikey,kegg,chebi,n_samples_present,Confidence Score,Entropy Similarity,target_score
C18_positive|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,C18_positive,Sucrose,Sucrose,CZMRCDWAGMRECN-UGDNZRGBSA-N,C00089,17992.0,105,0.9962358568425224,0.85550976,133.47981473685044
C18_positive|IK:HSEMFIZWXHQJAE-UHFFFAOYSA-N,C18_positive,Hexadecanamide,Hexadecanamide,HSEMFIZWXHQJAE-UHFFFAOYSA-N,nan,74475.0,105,0.9974565903425004,0.7400722,132.34985380685
C18_positive|IK:FATBGEAMYMYZAF-KTKRTIGZSA-N,C18_positive,Oleamide,Oleamide,FATBGEAMYMYZAF-KTKRTIGZSA-N,nan,116314.0,105,0.988865897756423,0.7376113,132.15343095512847
HILICZ_negative|IK:WHUUTDBJXJRKMK-VKHMYHEASA-N,HILICZ_negative,(2S)-2-azaniumyl-5-hydroxy-5-oxopentanoate,(2S)-2-azaniumyl-5-hydroxy-5-oxopentanoate,WHUUTDBJXJRKMK-VKHMYHEASA-N,C00025,16015.0,104,0.9781522620751996,0.7714807,131.277852241504
C18_positive|IK:SLXKOJJOQWFEFD-UHFFFAOYSA-N,C18_positive,6-Ammoniohexanoate,6-Ammoniohexanoate,SLXKOJJOQWFEFD-UHFFFAOYSA-N,C02378,16586.0,105,0.986180698679166,0.58963484,130.61996237358332
C18_positive|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,C18_positive,4-Hydroxybenzaldehyde,4-Hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C00633,17597.0,104,0.9880825859844168,0.6741705,130.50335671968833
C18_positive|IK:UWHCKJMYHZGTIT-UHFFFAOYSA-N,C18_positive,Tetraethylene Glycol,Tetraethylene Glycol,UWHCKJMYHZGTIT-UHFFFAOYSA-N,nan,44920.0,105,0.9977089821763176,0.54936,130.44777964352633
C18_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,C18_positive,Maltol,Maltol,XPCTZQVDEJYUGT-UHFFFAOYSA-N,C11918,69438.0,104,0.9937920620090956,0.6522392,130.39823324018192
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,C18_negative,"beta-D-Glucopyranoside, 2-(hydroxymethyl)phenyl","beta-D-Glucopyranoside, 2-(hydroxymethyl)phenyl",NGFMICBWJRZIBI-UHFFFAOYSA-N,nan,,105,0.9990315580086422,0.51504374,130.13106856017285
HILICZ_negative|IK:HDTRYLNUVZCQOY-LIZSDCNHSA-N,HILICZ_negative,Trehalose,Trehalose,HDTRYLNUVZCQOY-LIZSDCNHSA-N,C01083,16551.0,103,0.9735979050922094,0.7614881,130.0868391018442
HILICZ_positive|IK:RGHMISIYKIHAJW-UHFFFAOYSA-N,HILICZ_positive,"3,4-Dihydroxymandelic acid","3,4-Dihydroxymandelic acid",RGHMISIYKIHAJW-UHFFFAOYSA-N,C05580,27637.0,104,0.9995449022867984,0.50437206,129.03461864573597
C18_positive|IK:LGRFSURHDFAFJT-UHFFFAOYSA-N,C18_positive,Phthalic anhydride,Phthalic anhydride,LGRFSURHDFAFJT-UHFFFAOYSA-N,nan,,102,0.9988516982037278,0.69356924,128.91272636407456
C18_positive|IK:UAUDZVJPLUQNMU-KTKRTIGZSA-N,C18_positive,Erucamide,Erucamide,UAUDZVJPLUQNMU-KTKRTIGZSA-N,nan,142245.0,105,0.7927098687689493,0.74954885,128.34968587537898
HILICZ_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,HILICZ_negative,Succinic Acid,Succinic Acid,KDYFGRWQOYBRFD-UHFFFAOYSA-N,C00042,15741.0,100,0.9526917058785884,0.8984661,128.03849511757176
C18_negative|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N,C18_negative,Salicortin,Salicortin,CZDNLUMNELLDDD-QZFWYPLZSA-N,nan,,101,0.9898972266438352,0.69677037,127.7656482328767
HILICZ_positive|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,HILICZ_positive,Sucrose,Sucrose,CZMRCDWAGMRECN-UGDNZRGBSA-N,C00089,17992.0,104,0.9989477942009368,0.37602532,127.73920908401874
