metabolite,baseline_mean_r2,baseline_std_r2,baseline_mean_rmse,tuned_mean_r2,tuned_mean_rmse,r2_improvement,best_n_estimators,best_max_features,best_min_samples_leaf,best_max_depth,best_bootstrap
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.6082143935640902,0.1727362913533101,3.8587474416202676,0.6335130100244888,3.75777857829483,0.02529861646039855,500,0.5,3,20.0,True
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.5533991031618218,0.1292963995578865,3.5495567068634974,0.5820829510881957,3.4055088883085354,0.028683847926373907,800,0.5,1,5.0,False
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.5128110452710172,0.17070711114355328,3.3638051021047857,0.5661954856051917,3.139799192266706,0.053384440334174554,800,0.2,1,5.0,False
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,0.44299986584770784,0.22038227978734953,4.355530040157019,0.48609268020703167,4.207452786834347,0.04309281435932383,500,log2,2,40.0,True
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.4156342754585731,0.2094632740142267,4.1714396473394775,0.4707240521945023,3.9683931167485844,0.055089776735929186,800,0.5,5,5.0,True
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.37685181757103337,0.24088023496325145,4.923460319498519,0.4326908900511076,4.683671216746367,0.05583907248007425,800,0.3,3,40.0,False
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.3932399896646638,0.15626086469024242,1.3262575620240526,0.41022635440543775,1.3115290627874294,0.016986364740773974,500,sqrt,5,,False
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.3587677549735976,0.13551463931460492,3.76508582602914,0.40732430973106626,3.6183007627140547,0.04855655475746867,500,0.5,5,5.0,False
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0.37654060722186067,0.14605212267215112,4.0655226360326795,0.3780539212299593,4.080907002012937,0.0015133140080986207,300,log2,2,10.0,False
C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.3247140442836841,0.1756190460008635,1.0852100293509155,0.35381022944527024,1.065235844357229,0.02909618516158613,500,sqrt,5,,False
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,0.28662532947231156,0.06185931556804726,3.603989215042053,0.3535386746403309,3.430042848612871,0.06691334516801933,500,0.5,5,5.0,False
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.2955626185088468,0.14117146913624373,4.796083045328028,0.34064495481714024,4.629009822144684,0.04508233630829345,800,0.5,5,20.0,True
C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,0.32338384145026017,0.10639651537238305,3.8812872785275623,0.3374804086683211,3.841866187866686,0.014096567218060907,500,sqrt,1,20.0,False
C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.3192859886682687,0.1612888319810161,5.159412330511152,0.32892780899247126,5.114775807663213,0.009641820324202577,800,sqrt,1,,False
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,0.3085923102475549,0.08255723482349955,4.057656933216251,0.3285200261911318,3.9899677290782556,0.019927715943576896,800,0.5,3,40.0,True
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.3230705780832711,0.15523430948412828,4.64153116531823,0.32613655758638477,4.643159325369244,0.0030659795031136583,800,0.5,5,20.0,True
HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,0.30891762568524417,0.3334612929991028,5.268248353546977,0.32305674661999706,5.2362207960238125,0.014139120934752891,800,log2,2,5.0,False
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,0.3191998926017733,0.16018194550428316,4.91278469120644,0.3191998926017733,4.91278469120644,0.0,500,sqrt,2,20.0,False
