metabolite,best_params
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,"{""n_estimators"": 900, ""min_samples_split"": 10, ""min_samples_leaf"": 3, ""max_features"": 0.3, ""max_depth"": null, ""bootstrap"": true}"
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,"{""n_estimators"": 900, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": 0.2, ""max_depth"": null, ""bootstrap"": true}"
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,"{""n_estimators"": 900, ""min_samples_split"": 5, ""min_samples_leaf"": 3, ""max_features"": 0.3, ""max_depth"": null, ""bootstrap"": false}"
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,"{""n_estimators"": 700, ""min_samples_split"": 10, ""min_samples_leaf"": 5, ""max_features"": 0.5, ""max_depth"": 40, ""bootstrap"": true}"
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,"{""n_estimators"": 700, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.2, ""max_depth"": null, ""bootstrap"": true}"
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,"{""n_estimators"": 700, ""min_samples_split"": 10, ""min_samples_leaf"": 5, ""max_features"": 0.5, ""max_depth"": 40, ""bootstrap"": true}"
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,"{""n_estimators"": 900, ""min_samples_split"": 10, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 10, ""bootstrap"": true}"
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,"{""n_estimators"": 300, ""min_samples_split"": 10, ""min_samples_leaf"": 2, ""max_features"": 0.2, ""max_depth"": null, ""bootstrap"": false}"
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,"{""n_estimators"": 900, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 10, ""bootstrap"": false}"
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,"{""n_estimators"": 900, ""min_samples_split"": 10, ""min_samples_leaf"": 3, ""max_features"": 0.3, ""max_depth"": null, ""bootstrap"": true}"
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,"{""n_estimators"": 900, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 10, ""bootstrap"": false}"
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,"{""n_estimators"": 700, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.2, ""max_depth"": 20, ""bootstrap"": false}"
C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 5, ""max_features"": ""log2"", ""max_depth"": null, ""bootstrap"": false}"
C18_positive|NAME:,"{""n_estimators"": 300, ""min_samples_split"": 5, ""min_samples_leaf"": 5, ""max_features"": 0.5, ""max_depth"": 20, ""bootstrap"": false}"
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,"{""n_estimators"": 700, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.2, ""max_depth"": null, ""bootstrap"": true}"
C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,"{""n_estimators"": 700, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.2, ""max_depth"": null, ""bootstrap"": true}"
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,"{""n_estimators"": 700, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.2, ""max_depth"": 20, ""bootstrap"": false}"
C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,"{""n_estimators"": 700, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.2, ""max_depth"": null, ""bootstrap"": true}"
HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,"{""n_estimators"": 500, ""min_samples_split"": 10, ""min_samples_leaf"": 3, ""max_features"": ""log2"", ""max_depth"": 5, ""bootstrap"": false}"
C18_positive|IK:OVASVJPBDPJABT-UHFFFAOYSA-N,"{""n_estimators"": 700, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.2, ""max_depth"": null, ""bootstrap"": true}"
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,"{""n_estimators"": 300, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": 0.2, ""max_depth"": 40, ""bootstrap"": true}"
C18_negative|NAME:,"{""n_estimators"": 300, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": 0.2, ""max_depth"": 40, ""bootstrap"": true}"
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,"{""n_estimators"": 700, ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": 20, ""bootstrap"": false}"
C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 5, ""max_features"": ""log2"", ""max_depth"": null, ""bootstrap"": false}"
C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""max_depth"": 10, ""bootstrap"": false}"
C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,"{""n_estimators"": 500, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": 0.2, ""max_depth"": 10, ""bootstrap"": false}"
C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,"{""n_estimators"": 700, ""min_samples_split"": 10, ""min_samples_leaf"": 5, ""max_features"": 0.5, ""max_depth"": 40, ""bootstrap"": true}"
C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 5, ""max_features"": ""log2"", ""max_depth"": null, ""bootstrap"": false}"
C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""max_depth"": 10, ""bootstrap"": false}"
C18_positive|IK:PRYIJAGAEJZDBO-ZEQHCUNVSA-N,"{""n_estimators"": 700, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.2, ""max_depth"": null, ""bootstrap"": true}"
HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,"{""n_estimators"": 700, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.2, ""max_depth"": null, ""bootstrap"": true}"
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,"{""n_estimators"": 700, ""min_samples_split"": 10, ""min_samples_leaf"": 5, ""max_features"": 0.5, ""max_depth"": 40, ""bootstrap"": true}"
C18_negative|IK:LJCWONGJFPCTTL-ZETCQYMHSA-N,"{""n_estimators"": 900, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": 0.2, ""max_depth"": 20, ""bootstrap"": false}"
HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,"{""n_estimators"": 900, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 10, ""bootstrap"": false}"
C18_positive|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,"{""n_estimators"": 900, ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": 10, ""bootstrap"": false}"
HILICZ_positive|IK:SIOXPEMLGUPBBT-UHFFFAOYSA-N,"{""n_estimators"": 900, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": 0.2, ""max_depth"": null, ""bootstrap"": true}"
C18_negative|IK:PVWALMCXZUMCBB-UHFFFAOYSA-N,"{""n_estimators"": 900, ""min_samples_split"": 10, ""min_samples_leaf"": 3, ""max_features"": 0.5, ""max_depth"": 10, ""bootstrap"": false}"
C18_positive|IK:RGHMISIYKIHAJW-UHFFFAOYSA-N,"{""n_estimators"": 900, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": 0.2, ""max_depth"": null, ""bootstrap"": true}"
C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,"{""n_estimators"": 700, ""min_samples_split"": 10, ""min_samples_leaf"": 5, ""max_features"": 0.5, ""max_depth"": 40, ""bootstrap"": true}"
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,"{""n_estimators"": 700, ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": 20, ""bootstrap"": false}"
C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,"{""n_estimators"": 700, ""min_samples_split"": 10, ""min_samples_leaf"": 5, ""max_features"": 0.5, ""max_depth"": 40, ""bootstrap"": true}"
HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,"{""n_estimators"": 900, ""min_samples_split"": 5, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""max_depth"": 10, ""bootstrap"": false}"
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,"{""n_estimators"": 900, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 10, ""bootstrap"": false}"
HILICZ_negative|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,"{""n_estimators"": 700, ""min_samples_split"": 10, ""min_samples_leaf"": 5, ""max_features"": 0.5, ""max_depth"": 20, ""bootstrap"": false}"
C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,"{""n_estimators"": 900, ""min_samples_split"": 5, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""max_depth"": 10, ""bootstrap"": false}"
C18_negative|IK:HMUJXQRRKBLVOO-UHFFFAOYSA-N,"{""n_estimators"": 900, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 10, ""bootstrap"": false}"
