metabolite,baseline_mean_r2,baseline_std_r2,baseline_mean_rmse,tuned_mean_r2,tuned_mean_rmse,r2_improvement,best_n_estimators,best_max_features,best_min_samples_leaf,best_min_samples_split,best_max_depth,best_bootstrap
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.6462431142372842,0.09800352294952873,3.7177449072111086,0.6466928701780337,3.7137242708050855,0.00044975594074947445,900,0.3,3,10,,True
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.5862722598677781,0.11087768817463507,3.434631115630302,0.6177462943539312,3.3324680685257677,0.03147403448615316,900,0.3,3,5,,False
HILICZ_negative|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,0.3018883994935736,0.13957816237986656,5.1937713268365195,0.5267660573045383,4.232243680762494,0.2248776578109647,700,0.5,5,10,20.0,False
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.5083886687281227,0.1274577346998458,3.407682007865831,0.5146727833893847,3.380863593868689,0.006284114661261997,900,0.2,2,2,,True
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.4668802785658433,0.21503857789593964,3.954895391817355,0.4812052308429454,3.9395604747589514,0.014324952277102121,900,sqrt,5,10,10.0,True
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,0.4660096236502498,0.19645847040975337,4.278407804939386,0.47230532026356425,4.2470159821061735,0.006295696613314472,700,0.2,5,2,,True
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.4328976705768106,0.22937705418325166,4.693182644677797,0.4350307938679755,4.68266215915222,0.0021331232911648845,900,0.3,3,10,,True
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.41282478881241735,0.1575309787628052,3.6026612213267475,0.43453859887035834,3.531260506280666,0.021713810057940985,700,0.5,5,10,40.0,True
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.3685272555830642,0.12534686326243807,1.3598834466932703,0.42369979893988835,1.2952240918214624,0.055172543356824144,900,sqrt,5,2,10.0,False
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0.3832795451718571,0.1507984918004046,4.02417878985033,0.41003710326878,3.924313758624332,0.02675755809692293,300,0.2,2,10,,False
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,0.359625904898765,0.10387897423817304,3.4195900474198986,0.3929312209765753,3.3382537958803837,0.03330531607781029,700,0.2,5,2,20.0,False
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.36316593452399215,0.12241647129001924,4.558084312248719,0.37673500203937194,4.5158502805216205,0.013569067515379785,900,sqrt,5,2,10.0,False
C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.2856814292331583,0.13528778409840797,1.1228315061804603,0.3608390445015792,1.0596196250645127,0.07515761526842091,500,log2,5,5,,False
C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,0.3167830755499299,0.19720142467039659,4.24092540864001,0.3578503427547289,4.094879405680756,0.041067267204798974,500,0.2,2,2,10.0,False
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.34966971354475546,0.12479599375676532,4.557225709655706,0.3577850307245721,4.52419014250194,0.008115317179816617,700,0.2,5,2,20.0,False
