metabolite,best_params
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,"{""subsample"": 0.8, ""reg_lambda"": 5.0, ""reg_alpha"": 0.5, ""n_estimators"": 300, ""min_child_weight"": 5, ""max_depth"": 4, ""learning_rate"": 0.01, ""gamma"": 0.0, ""colsample_bytree"": 0.8}"
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,"{""subsample"": 0.6, ""reg_lambda"": 2.0, ""reg_alpha"": 1.0, ""n_estimators"": 300, ""min_child_weight"": 10, ""max_depth"": 3, ""learning_rate"": 0.03, ""gamma"": 0.1, ""colsample_bytree"": 0.8}"
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,"{""subsample"": 1.0, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""n_estimators"": 300, ""min_child_weight"": 1, ""max_depth"": 5, ""learning_rate"": 0.05, ""gamma"": 0.01, ""colsample_bytree"": 1.0}"
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,"{""subsample"": 0.8, ""reg_lambda"": 5.0, ""reg_alpha"": 0.5, ""n_estimators"": 300, ""min_child_weight"": 5, ""max_depth"": 4, ""learning_rate"": 0.01, ""gamma"": 0.0, ""colsample_bytree"": 0.8}"
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,"{""subsample"": 0.6, ""reg_lambda"": 1.0, ""reg_alpha"": 0.0, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.01, ""gamma"": 0.01, ""colsample_bytree"": 0.8}"
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,"{""subsample"": 0.6, ""reg_lambda"": 0.5, ""reg_alpha"": 0.1, ""n_estimators"": 700, ""min_child_weight"": 1, ""max_depth"": 5, ""learning_rate"": 0.03, ""gamma"": 0.1, ""colsample_bytree"": 0.7}"
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,"{""subsample"": 0.6, ""reg_lambda"": 10.0, ""reg_alpha"": 0.0, ""n_estimators"": 700, ""min_child_weight"": 3, ""max_depth"": 4, ""learning_rate"": 0.01, ""gamma"": 0.5, ""colsample_bytree"": 0.7}"
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,"{""subsample"": 0.8, ""reg_lambda"": 10.0, ""reg_alpha"": 0.01, ""n_estimators"": 300, ""min_child_weight"": 5, ""max_depth"": 2, ""learning_rate"": 0.08, ""gamma"": 0.5, ""colsample_bytree"": 0.7}"
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,"{""subsample"": 0.6, ""reg_lambda"": 1.0, ""reg_alpha"": 0.5, ""n_estimators"": 500, ""min_child_weight"": 10, ""max_depth"": 2, ""learning_rate"": 0.05, ""gamma"": 0.0, ""colsample_bytree"": 0.7}"
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,"{""subsample"": 0.6, ""reg_lambda"": 10.0, ""reg_alpha"": 0.0, ""n_estimators"": 700, ""min_child_weight"": 3, ""max_depth"": 4, ""learning_rate"": 0.01, ""gamma"": 0.5, ""colsample_bytree"": 0.7}"
