metabolite,baseline_mean_r2,baseline_std_r2,baseline_mean_rmse,tuned_mean_r2,tuned_mean_rmse,r2_improvement,best_n_estimators,best_learning_rate,best_max_depth,best_min_child_weight,best_subsample,best_colsample_bytree,best_reg_lambda,best_reg_alpha,best_gamma
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.5881756698815168,0.1969567453751738,3.9400215656290456,0.6408263281420986,3.7449051526799453,0.052650658260581795,300,0.01,4,5,0.8,0.8,5.0,0.5,0.0
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.5608883260619475,0.17396335797750243,3.4653931538902234,0.630536037972228,3.1897928180325033,0.06964771191028052,300,0.05,5,1,1.0,1.0,2.0,0.1,0.01
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.4539230406959037,0.16665757172165027,3.5819003463287644,0.5101254072774765,3.387478485301467,0.05620236658157274,300,0.03,3,10,0.6,0.8,2.0,1.0,0.1
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.4400119204553855,0.19321434930959874,3.519584407207406,0.4723181412272977,3.4001774937158586,0.0323062207719122,300,0.01,4,5,0.8,0.8,5.0,0.5,0.0
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,0.41201399450799253,0.15255630539300613,4.526391493801346,0.45954663103552307,4.339782050336377,0.047532636527530536,200,0.01,4,1,0.6,0.8,1.0,0.0,0.01
HILICZ_negative|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,0.3415104722172692,0.17526953995853498,5.009929931945125,0.4514229462332862,4.620185495299364,0.109912474016017,500,0.01,5,10,1.0,0.7,10.0,0.01,0.1
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.3292022086747929,0.30197396699318285,4.383866961048673,0.447168765216955,3.9907155454832264,0.1179665565421621,700,0.01,4,3,0.6,0.7,10.0,0.0,0.5
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.3673441216522206,0.13402228438793856,4.544496622794959,0.4422310812494176,4.278340139161292,0.07488695959719704,500,0.05,2,10,0.6,0.7,1.0,0.5,0.0
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,0.334702067075931,0.1174267662315004,3.427687363972967,0.4382750010141011,3.225998358007724,0.10357293393817013,700,0.01,4,3,0.6,0.7,10.0,0.0,0.5
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.3907653947310122,0.22546082426340594,4.885513420160903,0.4278151031743046,4.688271444949588,0.03704970844329242,700,0.01,4,3,0.6,0.7,10.0,0.0,0.5
