metabolite,tuned_mean_r2,tuned_mean_rmse,model
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.6335130100244888,3.75777857829483,ExtraTrees_tuned
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.5820829510881957,3.405508888308536,ExtraTrees_tuned
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.5661954856051917,3.139799192266706,ExtraTrees_tuned
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,0.4860926802070316,4.207452786834347,ExtraTrees_tuned
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.4707240521945023,3.968393116748584,ExtraTrees_tuned
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.4326908900511076,4.683671216746367,ExtraTrees_tuned
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.4102263544054377,1.3115290627874294,ExtraTrees_tuned
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.4073243097310662,3.618300762714055,ExtraTrees_tuned
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0.3780539212299593,4.080907002012937,ExtraTrees_tuned
C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.3538102294452702,1.065235844357229,ExtraTrees_tuned
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,0.3535386746403309,3.430042848612871,ExtraTrees_tuned
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.3406449548171402,4.629009822144684,ExtraTrees_tuned
C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,0.3374804086683211,3.841866187866686,ExtraTrees_tuned
C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.3289278089924712,5.114775807663213,ExtraTrees_tuned
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,0.3285200261911318,3.989967729078256,ExtraTrees_tuned
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.3261365575863847,4.643159325369244,ExtraTrees_tuned
HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,0.323056746619997,5.2362207960238125,ExtraTrees_tuned
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,0.3191998926017733,4.91278469120644,ExtraTrees_tuned
C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,0.3173249854099185,4.677438784264085,ExtraTrees_tuned
