metabolite,tuned_mean_r2,tuned_mean_rmse,model
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.6466928701780337,3.7137242708050855,RandomForest_tuned
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.630536037972228,3.1897928180325037,XGBoost_tuned
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.5661954856051917,3.139799192266706,ExtraTrees_tuned
HILICZ_negative|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,0.5267660573045383,4.232243680762494,RandomForest_tuned
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,0.4860926802070316,4.207452786834347,ExtraTrees_tuned
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.4812052308429454,3.939560474758952,RandomForest_tuned
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.4723181412272977,3.400177493715858,XGBoost_tuned
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.4422310812494176,4.278340139161292,XGBoost_tuned
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,0.4382750010141011,3.225998358007724,XGBoost_tuned
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.4350307938679755,4.68266215915222,RandomForest_tuned
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.4236997989398883,1.2952240918214624,RandomForest_tuned
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0.41003710326878,3.924313758624332,RandomForest_tuned
C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.3608390445015792,1.059619625064513,RandomForest_tuned
C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,0.3578503427547289,4.094879405680756,RandomForest_tuned
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.3577850307245721,4.52419014250194,RandomForest_tuned
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.3572856703351229,5.232692730309569,RandomForest_tuned
C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.3529115910205164,4.983415905294477,XGBoost_tuned
C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,0.3510421854116415,5.106644537774517,RandomForest_tuned
C18_positive|NAME:,0.3469017775208219,0.52892090691232,XGBoost_tuned
C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,0.3444716419946625,3.7901948392678575,RandomForest_tuned
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,0.3408853244831786,4.829167796347375,XGBoost_tuned
HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,0.334287929662074,5.218880663925814,XGBoost_tuned
C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.3333957770928647,3.679167604513014,RandomForest_tuned
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,0.3285200261911318,3.989967729078256,ExtraTrees_tuned
C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,0.3280923466515905,4.835754752421738,RandomForest_tuned
C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.3235493207706096,4.701480454998311,XGBoost_tuned
C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,0.3173249854099185,4.677438784264085,ExtraTrees_tuned
C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,0.3162714915680377,4.61468250343722,XGBoost_tuned
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,0.3089796492068686,6.0800630860249845,ExtraTrees_tuned
HILICZ_positive|IK:SIOXPEMLGUPBBT-UHFFFAOYSA-N,0.3075096334876778,4.8151850125343305,ExtraTrees_tuned
C18_positive|IK:OVASVJPBDPJABT-UHFFFAOYSA-N,0.3066858489326763,4.441436340887249,RandomForest_tuned
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,0.3046342622384647,6.889974852660872,RandomForest_tuned
HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,0.2963603172435302,5.148350271540975,ExtraTrees_tuned
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,0.2955879226309976,4.592078253116698,RandomForest_tuned
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,0.2954357970388315,4.402974006132096,RandomForest_tuned
C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,0.2945069597226509,4.798710124267635,XGBoost_tuned
C18_negative|IK:LJCWONGJFPCTTL-ZETCQYMHSA-N,0.2937865410298621,5.228822315731197,XGBoost_tuned
HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,0.29011614931328,6.180251245530389,ExtraTrees_tuned
C18_negative|NAME:,0.2789907333866536,0.723370684638854,XGBoost_tuned
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,0.2718556179858636,5.814119694685766,RandomForest_tuned
C18_positive|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.2689790540162938,1.7997654320750602,ExtraTrees_tuned
HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,0.2629617358918462,5.580939027425607,RandomForest_tuned
C18_positive|IK:RGHMISIYKIHAJW-UHFFFAOYSA-N,0.254994808816989,5.644364123429179,RandomForest_tuned
C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.2401391647205584,5.16185126557943,RandomForest_tuned
C18_positive|IK:PRYIJAGAEJZDBO-ZEQHCUNVSA-N,0.2336578276270397,4.420692933195291,RandomForest_tuned
C18_negative|IK:PVWALMCXZUMCBB-UHFFFAOYSA-N,0.1862303043968535,3.9022563023012737,XGBoost_tuned
C18_negative|IK:HMUJXQRRKBLVOO-UHFFFAOYSA-N,0.153548041468893,5.036476875071564,RandomForest_tuned
