metabolite,best_model,cv_r2,cv_rmse,feature,feature_type,importance_rank,importance
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Streptomyces sp. SCSIO 03032,mg,1,0.06349544417772142
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Actinomadura amylolytica,mg,2,0.054575534027173515
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Thermomonospora curvata,mg,3,0.050812466048853026
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Allokutzneria albata,mg,4,0.05004761921773075
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Amycolatopsis keratiniphila,mg,5,0.037390199577861265
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Actinoalloteichus sp. GBA129-24,mg,6,0.03450328038928607
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Streptomyces sp. TLI_053,mg,7,0.03263519624568667
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Micromonospora auratinigra,mg,8,0.03260273461790531
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Kitasatospora setae,mg,9,0.031056963185970368
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Micromonospora narathiwatensis,mg,10,0.027114903550587356
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Streptosporangium roseum,mg,11,0.022851819055581393
