metabolite,best_model,cv_r2,cv_rmse,n_features,top10_importance_sum,top25_importance_sum
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,3059,0.41423434103877577,0.6478158656246237
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,XGBoost_tuned,0.630536037972228,3.1897928180325037,3059,0.7428410649299622,0.889969527721405
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,ExtraTrees_tuned,0.5661954856051917,3.139799192266706,3059,0.19589370067933876,0.3506871486273433
HILICZ_negative|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,RandomForest_tuned,0.5267660573045383,4.232243680762494,3059,0.7836372341438983,0.9021645408499191
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,ExtraTrees_tuned,0.4860926802070316,4.207452786834347,3059,0.03481710426003954,0.07593409987627117
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,RandomForest_tuned,0.4812052308429454,3.939560474758952,3059,0.11435226786182254,0.22237601795397707
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,XGBoost_tuned,0.4723181412272977,3.400177493715858,3059,0.20337150990962982,0.3528890013694763
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,XGBoost_tuned,0.4422310812494176,4.278340139161292,3059,0.3806587755680084,0.5576689839363098
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,XGBoost_tuned,0.4382750010141011,3.225998358007724,3059,0.12489183992147446,0.2353634238243103
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,RandomForest_tuned,0.4350307938679755,4.68266215915222,3059,0.47077457841321585,0.6861941491142781
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,RandomForest_tuned,0.4236997989398883,1.2952240918214624,3059,0.12001270915411678,0.23670020357615096
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,RandomForest_tuned,0.41003710326878,3.924313758624332,3059,0.5214067083690865,0.7011776295561777
C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,RandomForest_tuned,0.3608390445015792,1.059619625064513,3059,0.050087258806368024,0.10285348317656501
C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,RandomForest_tuned,0.3578503427547289,4.094879405680756,3059,0.5043449438290265,0.6410989909433249
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,RandomForest_tuned,0.3577850307245721,4.52419014250194,3059,0.5488545501032257,0.6764369116936402
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,RandomForest_tuned,0.3572856703351229,5.232692730309569,3059,0.4085046716317397,0.5249703300786921
C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,XGBoost_tuned,0.3529115910205164,4.983415905294477,3059,0.38390451669692993,0.5772603154182434
C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,RandomForest_tuned,0.3510421854116415,5.106644537774517,3059,0.30687341986419947,0.4345185447350984
C18_positive|NAME:,XGBoost_tuned,0.3469017775208219,0.52892090691232,3059,0.534016489982605,0.7506770491600037
C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,RandomForest_tuned,0.3444716419946625,3.7901948392678575,3059,0.0914461304654798,0.19763224673565014
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,XGBoost_tuned,0.3408853244831786,4.829167796347375,3059,0.2619612216949463,0.42931100726127625
HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,XGBoost_tuned,0.334287929662074,5.218880663925814,3059,0.2826341688632965,0.4334440231323242
C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,RandomForest_tuned,0.3333957770928647,3.679167604513014,3059,0.05459975296742246,0.11035199786372503
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,ExtraTrees_tuned,0.3285200261911318,3.989967729078256,3059,0.16351688900015024,0.2863010389469119
C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,RandomForest_tuned,0.3280923466515905,4.835754752421738,3059,0.04875798227006247,0.10230224968416217
C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,XGBoost_tuned,0.3235493207706096,4.701480454998311,3059,0.24272997677326202,0.4072739779949188
C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,ExtraTrees_tuned,0.3173249854099185,4.677438784264085,3059,0.1721554913469485,0.26287928968102847
C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,XGBoost_tuned,0.3162714915680377,4.61468250343722,3059,0.1803310662508011,0.2950616180896759
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,ExtraTrees_tuned,0.3089796492068686,6.0800630860249845,3059,0.044993754697988074,0.09133126457100976
HILICZ_positive|IK:SIOXPEMLGUPBBT-UHFFFAOYSA-N,ExtraTrees_tuned,0.3075096334876778,4.8151850125343305,3059,0.10792810262604906,0.18475740383208028
C18_positive|IK:OVASVJPBDPJABT-UHFFFAOYSA-N,RandomForest_tuned,0.3066858489326763,4.441436340887249,3059,0.2562800444168246,0.3605563120188099
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,RandomForest_tuned,0.3046342622384647,6.889974852660872,3059,0.37705185885583253,0.5623000544419138
HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,ExtraTrees_tuned,0.2963603172435302,5.148350271540975,3059,0.0475716612235545,0.09267857471422902
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,RandomForest_tuned,0.2955879226309976,4.592078253116698,3059,0.3838118617293836,0.6149012058498723
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,RandomForest_tuned,0.2954357970388315,4.402974006132096,3059,0.21437517159191902,0.3603994665059568
C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,XGBoost_tuned,0.2945069597226509,4.798710124267635,3059,0.2875133752822876,0.45530903339385986
C18_negative|IK:LJCWONGJFPCTTL-ZETCQYMHSA-N,XGBoost_tuned,0.2937865410298621,5.228822315731197,3059,0.4120648205280304,0.7124962210655212
HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,ExtraTrees_tuned,0.29011614931328,6.180251245530389,3059,0.2228936257949536,0.30631316625562505
C18_negative|NAME:,XGBoost_tuned,0.2789907333866536,0.723370684638854,3059,0.2486279010772705,0.3996392488479614
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,RandomForest_tuned,0.2718556179858636,5.814119694685766,3059,0.09445884072859217,0.1979157613453503
C18_positive|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,ExtraTrees_tuned,0.2689790540162938,1.7997654320750602,3059,0.18400839126035637,0.35183027540282164
HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,RandomForest_tuned,0.2629617358918462,5.580939027425607,3059,0.21554819943160355,0.32068521481677403
C18_positive|IK:RGHMISIYKIHAJW-UHFFFAOYSA-N,RandomForest_tuned,0.254994808816989,5.644364123429179,3059,0.2234627146304321,0.3284991196050464
C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,RandomForest_tuned,0.2401391647205584,5.16185126557943,3059,0.35125791946678464,0.49724189839067784
C18_positive|IK:PRYIJAGAEJZDBO-ZEQHCUNVSA-N,RandomForest_tuned,0.2336578276270397,4.420692933195291,3059,0.27905546073136533,0.3709457193373724
C18_negative|IK:PVWALMCXZUMCBB-UHFFFAOYSA-N,XGBoost_tuned,0.1862303043968535,3.9022563023012737,3059,0.20781132578849792,0.3950786888599396
C18_negative|IK:HMUJXQRRKBLVOO-UHFFFAOYSA-N,RandomForest_tuned,0.153548041468893,5.036476875071564,3059,0.09324335814051968,0.18950041692162073
