metabolite,best_model,cv_r2,cv_rmse,mg_feature,importance,spearman_corr,spearman_pvalue,abs_spearman_corr,direction,putative_role,confidence
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Streptomyces sp. SCSIO 03032,0.06349544417772142,0.7271458338306287,1.5925836593750394e-18,0.7271458338306287,positive,putative_production,high
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Actinomadura amylolytica,0.054575534027173515,0.7280186708791779,1.38432270638081e-18,0.7280186708791779,positive,putative_production,high
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Thermomonospora curvata,0.050812466048853026,0.7274082022519617,1.5269730608420258e-18,0.7274082022519617,positive,putative_production,high
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Allokutzneria albata,0.05004761921773075,0.7204513747945284,4.58402904177174e-18,0.7204513747945284,positive,putative_production,high
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Amycolatopsis keratiniphila,0.037390199577861265,0.7121885402521339,1.62148859306495e-17,0.7121885402521339,positive,putative_production,high
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Actinoalloteichus sp. GBA129-24,0.03450328038928607,0.6975067907246343,1.376588615427236e-16,0.6975067907246343,positive,putative_production,high
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Streptomyces sp. TLI_053,0.03263519624568667,0.7279372865117092,1.4025630450913692e-18,0.7279372865117092,positive,putative_production,high
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Micromonospora auratinigra,0.03260273461790531,0.7106455304497566,2.042892160769195e-17,0.7106455304497566,positive,putative_production,high
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Kitasatospora setae,0.031056963185970368,0.7345314087204223,4.781379733164715e-19,0.7345314087204223,positive,putative_production,high
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,Micromonospora narathiwatensis,0.027114903550587356,0.7109688130865385,1.9466093123678316e-17,0.7109688130865385,positive,putative_production,high
