mg_feature,n_metabolites,mean_importance,max_importance,mean_abs_corr
Kitasatospora aureofaciens,22,0.048825249126397206,0.24544413877032908,0.563182112987011
Streptomyces sp. TLI_053,21,0.030503382348959985,0.12871825549680646,0.5653597101409057
Kitasatospora sp. MMS16-BH015,19,0.026862639425798363,0.07028870907067583,0.5654361283921038
Streptacidiphilus sp. DSM 106435,17,0.030939919001255145,0.10335600565783741,0.5803995105554106
Kitasatospora setae,16,0.02527862779014126,0.05049094732420969,0.5708053982204607
Streptomyces sp. SCSIO 03032,14,0.019739952055614268,0.11762211317254219,0.5510825772258696
Catenulispora acidiphila,13,0.019988522215605688,0.06067182785790781,0.5850749629604177
Nocardiopsis dassonvillei,11,0.01012202436415174,0.031597800795760786,0.586445876332328
Actinomadura amylolytica,10,0.01864225242230334,0.054575534027173515,0.5780113699519782
Streptomyces xiamenensis,9,0.02457396591464785,0.10657915336850012,0.5271053576105726
Candidatus Solibacter usitatus,9,0.02915424632210932,0.0837646657810306,0.5532557070158305
Pseudomonas umsongensis,9,0.022693501358754187,0.06573806433798965,0.5474827548957129
Sulfurihydrogenibium sp. YO3AOP1,8,0.019569641310869718,0.07275077700614929,0.5685109971522053
Streptosporangium sp. 'caverna',8,0.016859520947151048,0.029766152030524996,0.5474212644885017
Streptosporangium roseum,8,0.011212760145004294,0.022851819055581393,0.5626059531854523
Saccharothrix espanaensis,8,0.006831352549072198,0.014773637239904745,0.5369609137035651
Halomonas sp. JS92-SW72,7,0.016789160129510476,0.07495763152837753,0.5241407440562582
Pseudomonas reinekei,7,0.016179944425579438,0.02797563560307026,0.513158697181157
Hymenobacter sp. DG25B,7,0.01515964410444343,0.026263952255249023,0.4683321525424577
Amycolatopsis orientalis,7,0.011254501734798894,0.02019267888069442,0.5441484477000867
Kutzneria albida,6,0.08576605710339429,0.4598795771598816,0.6334486557300917
Thermomonospora curvata,6,0.026913248231432884,0.050812466048853026,0.6234959353817533
Actinomyces sp. VUL4_3,6,0.024685813369060533,0.05058017679144093,0.6006516517109711
Thermobispora bispora,6,0.01121823345571618,0.03281369060277939,0.5824992749029235
Nakamurella panacisegetis,6,0.014855931569574134,0.03263096511363983,0.5497403231425553
Corynebacterium camporealensis,6,0.012473798294183736,0.0325644426047802,0.527127858189821
Nakamurella multipartita,6,0.010463711923075892,0.022729718962872583,0.5732802923091201
Bradyrhizobium erythrophlei,6,0.011659278752454256,0.019975912171520324,0.5476925867081134
Bordetella pertussis,5,0.03385812670268958,0.06622921928107886,0.3967012207979502
Allokutzneria albata,5,0.017525508876155737,0.05004761921773075,0.5959080001403828
Nonomuraea sp. ATCC 55076,5,0.014311513576708257,0.03938014432787895,0.6079946305737108
