metabolite,n_mg_features,n_relationships,mean_importance,max_importance,mean_abs_corr,max_abs_corr
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,25,25,0.02591263462498489,0.0634954441777214,0.7220829569885701,0.741386886367059
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,25,25,0.008895040718159036,0.0201926788806944,0.6434659582943162,0.675617896922931
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,25,25,0.007916630453813968,0.0117578940026442,0.48645462192484296,0.6184656919751287
C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,25,25,0.01180246448144312,0.0232246704399585,0.5151619611584164,0.5892337150242316
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,25,25,0.009468008143045997,0.0145983803223688,0.559447328988532,0.5802673826170359
C18_positive|IK:OVASVJPBDPJABT-UHFFFAOYSA-N,25,25,0.014258488724245209,0.0561269851785065,0.4625217366537799,0.5278801131100368
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,23,23,0.014759770888120902,0.0399806303662476,0.5179320946392356,0.5537962079529773
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,22,22,0.01791325380856336,0.0589511319994926,0.492979058901906,0.5965394906686651
HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,22,22,0.013821679797031704,0.0448980411210607,0.4866756541849927,0.5851409627158868
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,22,22,0.025633311558801056,0.0540977614435526,0.5095086413082291,0.5486165863507393
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,21,21,0.02233646030095413,0.0702887090706758,0.5294479755591046,0.6499811102509159
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,21,21,0.010869186452522847,0.0271504772224737,0.5672829892868939,0.6069882472643826
C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,21,21,0.019805757107124386,0.0482923984527587,0.49196754942590426,0.5634087395669706
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,20,20,0.03038923797088174,0.0626703711930642,0.6377779238712035,0.6777686780220712
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,20,20,0.03201533123599655,0.1287182554968064,0.49927214479140825,0.583786641576578
C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,20,20,0.018623428011465472,0.0837646657810306,0.4960129408818382,0.5558607336578973
C18_negative|IK:HMUJXQRRKBLVOO-UHFFFAOYSA-N,20,20,0.007676102094716775,0.0112585327818475,0.3986316530634249,0.4249661229606958
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,19,19,0.01351004955839567,0.0223171529511036,0.6277670637796885,0.6907530294508136
HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,19,19,0.019690400773757322,0.0491376966238021,0.4932559664769523,0.6337643950770072
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,19,19,0.025953227163929657,0.0552175417542457,0.5158389332171398,0.6055058404897168
C18_positive|IK:PRYIJAGAEJZDBO-ZEQHCUNVSA-N,19,19,0.017530581521121937,0.0657380643379896,0.5131207041092116,0.5848007503102436
C18_positive|NAME:,19,19,0.03253163573773279,0.1925697177648544,0.4306715025569319,0.5270138191051021
C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,18,18,0.01872262394883562,0.0378283038735389,0.49535495286343184,0.6192117042810521
C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,18,18,0.02442600593591724,0.1024499982595443,0.4741950127757216,0.5881887639993872
C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,18,18,0.012179522317676012,0.0505801767914409,0.5013890670925722,0.5876271266598326
C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,18,18,0.02952012693909163,0.1176221131725421,0.5391303587883738,0.5770848050632045
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,16,16,0.015682236058637444,0.0393801443278789,0.5038261650703345,0.632073224266371
C18_positive|IK:RGHMISIYKIHAJW-UHFFFAOYSA-N,16,16,0.01640199087848638,0.037750545746419,0.47933948518588493,0.5412213151026366
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,16,16,0.026404285174336788,0.0851090862591006,0.4322960480449552,0.4974361024471507
C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,16,16,0.012335947636098719,0.0295575972337207,0.38855853786535843,0.4901358795722452
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,15,15,0.046496322068075295,0.4598795771598816,0.5220127569224318,0.6965289669304864
HILICZ_positive|IK:SIOXPEMLGUPBBT-UHFFFAOYSA-N,15,15,0.008772966544373905,0.0203020829647874,0.48866131081050845,0.6050526935208931
HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,14,14,0.017699500284914307,0.0611041538759773,0.48157777391187145,0.563224111239632
C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,14,14,0.007750371178128622,0.0098969450739338,0.31966973661370973,0.3370108353162932
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,13,13,0.03640713397421434,0.1033560056578374,0.5294601993950968,0.5547413250475961
C18_negative|NAME:,13,13,0.02155008697165887,0.0367968790233135,0.41813399348995917,0.508654340437843
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,12,12,0.010209192211429225,0.0183712840080261,0.482793106007487,0.5805899009984352
HILICZ_negative|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,9,9,0.054709341432849,0.245444138770329,0.4356660489576889,0.4824769491401751
C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,7,7,0.0059008626622237,0.0073423085478412,0.56889765546207,0.6082714192309154
C18_negative|IK:LJCWONGJFPCTTL-ZETCQYMHSA-N,5,5,0.027876707166433277,0.0465680733323097,0.3855086737797098,0.4440805430393713
C18_negative|IK:PVWALMCXZUMCBB-UHFFFAOYSA-N,5,5,0.01496976148337122,0.02648183144629,0.32106374421475414,0.3364370959174844
HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,3,3,0.006545010380899466,0.0076470169595155,0.5537870600788491,0.5987072974000376
