mg_feature,n_metabolites,n_relationships,mean_importance,max_importance,mean_abs_corr,max_abs_corr
Kitasatospora aureofaciens,21,21,0.05092094056965783,0.245444138770329,0.5644116480150717,0.7327921417687202
Streptomyces sp. TLI_053,20,20,0.03179012061672394,0.1287182554968064,0.5666667155326185,0.7279372865117092
Kitasatospora sp. MMS16-BH015,19,19,0.026862639425798304,0.0702887090706758,0.5654361283921038,0.7295339687754037
Streptacidiphilus sp. DSM 106435,16,16,0.03256830250777895,0.1033560056578374,0.5838916814391036,0.741386886367059
Kitasatospora setae,16,16,0.0252786277901412,0.0504909473242096,0.5708053982204607,0.7345314087204223
Streptomyces sp. SCSIO 03032,12,12,0.022443339200420024,0.1176221131725421,0.55037122197027,0.7271458338306287
Catenulispora acidiphila,12,12,0.021335941336107073,0.0606718278579078,0.5837450519360449,0.7235190020862756
Candidatus Solibacter usitatus,9,9,0.029154246322109292,0.0837646657810306,0.5532557070158305,0.6555815768329019
Pseudomonas umsongensis,9,9,0.022693501358754156,0.0657380643379896,0.5474827548957129,0.5902390642918023
Streptosporangium sp. 'caverna',8,8,0.01685952094715099,0.0297661520305249,0.5474212644885017,0.7346673258610676
Actinomadura amylolytica,8,8,0.022195394338525,0.0545755340271735,0.5847392338731101,0.7280186708791779
Streptosporangium roseum,8,8,0.011212760145004263,0.0228518190555813,0.5626059531854523,0.7262002951166284
Streptomyces xiamenensis,8,8,0.02723813628223155,0.1065791533685001,0.5246234979372296,0.5666439219779451
Nocardiopsis dassonvillei,7,7,0.013833757095220185,0.0315978007957607,0.5930866539156899,0.7310381546789004
Amycolatopsis orientalis,7,7,0.011254501734798857,0.0201926788806944,0.5441484477000867,0.7119102316912831
Pseudomonas reinekei,7,7,0.016179944425579372,0.0279756356030702,0.513158697181157,0.5572995471524953
Kutzneria albida,6,6,0.08576605710339423,0.4598795771598816,0.6334486557300917,0.7382809924042412
Nakamurella panacisegetis,6,6,0.014855931569574066,0.0326309651136398,0.5497403231425553,0.7286433930009032
Thermomonospora curvata,6,6,0.026913248231432832,0.050812466048853,0.6234959353817533,0.7274082022519617
