source,target,edge_type,direction,importance,spearman_corr,abs_spearman_corr,weight,confidence
Streptomyces sp. SCSIO 03032,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0634954441777214,0.7271458338306287,0.7271458338306287,0.7271458338306287,high
Actinomadura amylolytica,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0545755340271735,0.7280186708791779,0.7280186708791779,0.7280186708791779,high
Thermomonospora curvata,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.050812466048853,0.7274082022519617,0.7274082022519617,0.7274082022519617,high
Allokutzneria albata,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0500476192177307,0.7204513747945284,0.7204513747945284,0.7204513747945284,high
Amycolatopsis keratiniphila,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0373901995778612,0.7121885402521339,0.7121885402521339,0.7121885402521339,high
Actinoalloteichus sp. GBA129-24,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.034503280389286,0.6975067907246343,0.6975067907246343,0.6975067907246343,high
Streptomyces sp. TLI_053,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0326351962456866,0.7279372865117092,0.7279372865117092,0.7279372865117092,high
Micromonospora auratinigra,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0326027346179053,0.7106455304497566,0.7106455304497566,0.7106455304497566,high
Kitasatospora setae,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0310569631859703,0.7345314087204223,0.7345314087204223,0.7345314087204223,high
Micromonospora narathiwatensis,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0271149035505873,0.7109688130865385,0.7109688130865385,0.7109688130865385,high
Streptosporangium roseum,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0228518190555813,0.7262002951166284,0.7262002951166284,0.7262002951166284,high
Nakamurella multipartita,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0227297189628725,0.7023623565789877,0.7023623565789877,0.7023623565789877,high
Amycolatopsis sp. BJA-103,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.022236426369139,0.691883230994234,0.691883230994234,0.691883230994234,high
Nocardiopsis gilva,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0206890853103071,0.7287448371897529,0.7287448371897529,0.7287448371897529,high
Amycolatopsis orientalis,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0185853466889053,0.7119102316912831,0.7119102316912831,0.7119102316912831,high
Streptacidiphilus sp. DSM 106435,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0163334841687524,0.741386886367059,0.741386886367059,0.741386886367059,high
Kitasatospora aureofaciens,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0154164806622363,0.7327921417687202,0.7327921417687202,0.7327921417687202,high
Nocardiopsis dassonvillei,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.014788180312456,0.7310381546789004,0.7310381546789004,0.7310381546789004,high
Streptosporangium sp. 'caverna',C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.014699505751013,0.7346673258610676,0.7346673258610676,0.7346673258610676,high
Nakamurella panacisegetis,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.014210797670105,0.7286433930009032,0.7286433930009032,0.7286433930009032,high
Kutzneria albida,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0119361004758908,0.7382809924042412,0.7382809924042412,0.7382809924042412,high
Kitasatospora sp. MMS16-BH015,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0108544413945152,0.7295339687754037,0.7295339687754037,0.7295339687754037,high
Catenulispora acidiphila,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0098105984860868,0.7235190020862756,0.7235190020862756,0.7235190020862756,medium
Pseudonocardia sp. AL041005-10,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0097382853891488,0.702906665413962,0.702906665413962,0.702906665413962,medium
Nonomuraea sp. ATCC 55076,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,putative_production,positive,0.0087012538888374,0.7314019912853409,0.7314019912853409,0.7314019912853409,medium
Kutzneria albida,C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,putative_production,positive,0.4598795771598816,0.6965289669304864,0.6965289669304864,0.6965289669304864,high
Pseudonocardia sp. AL041005-10,C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,putative_production,positive,0.0580140799283981,0.6800648883431994,0.6800648883431994,0.6800648883431994,high
