node,node_type,degree
Acidiferrobacter sp. SPIII_3,MG,2
Acidihalobacter ferrooxidans,MG,1
Acidisphaera sp. G45-3,MG,3
Acidobacteriaceae bacterium SBC82,MG,2
Acidobacterium capsulatum,MG,2
Acidothermus cellulolyticus,MG,1
Acinetobacter calcoaceticus,MG,1
Acinetobacter sp. WCHAc010034,MG,1
Actinoalloteichus sp. GBA129-24,MG,2
Actinomadura amylolytica,MG,8
Actinomyces sp. VUL4_3,MG,5
Actinomyces sp. oral taxon 414,MG,1
Actinomyces sp. oral taxon 897,MG,1
Actinoplanes derwentensis,MG,1
Actinoplanes friuliensis,MG,1
Actinoplanes sp. N902-109,MG,1
Actinoplanes teichomyceticus,MG,2
Actinopolymorpha singaporensis,MG,1
Advenella kashmirensis,MG,2
Aeromicrobium sp. 592,MG,1
Aeromonas media,MG,1
Agrobacterium fabrum,MG,1
Ahniella affigens,MG,1
Alcanivorax sp. N3-2A,MG,2
Allokutzneria albata,MG,5
Amycolatopsis japonica,MG,1
Amycolatopsis keratiniphila,MG,2
Amycolatopsis methanolica,MG,4
Amycolatopsis orientalis,MG,7
Amycolatopsis sp. AA4,MG,2
Amycolatopsis sp. BJA-103,MG,3
Aromatoleum aromaticum,MG,1
Arthrobacter alpinus,MG,1
Arthrobacter sp. DCT-5,MG,2
Arthrobacter sp. ERGS1:01,MG,2
Arthrobacter sp. FB24,MG,1
Arthrobacter sp. Rue61a,MG,1
Azoarcus sp. CIB,MG,1
Azoarcus sp. SY39,MG,1
Azospira oryzae,MG,4
Bacillus clausii,MG,2
Bacillus simplex,MG,1
Bdellovibrio bacteriovorus,MG,1
Bifidobacterium angulatum,MG,2
Bifidobacterium breve,MG,1
Bifidobacterium longum,MG,2
Bordetella pertussis,MG,5
Bordetella sp. H567,MG,1
Bosea sp. AS-1,MG,1
Brachybacterium saurashtrense,MG,1
Bradyrhizobium erythrophlei,MG,6
Bradyrhizobium icense,MG,2
Bradyrhizobium lablabi,MG,3
Bradyrhizobium oligotrophicum,MG,1
Bradyrhizobium sp. BTAi1,MG,1
Bradyrhizobium sp. CCGE-LA001,MG,1
