metabolite,best_model,cv_r2,cv_rmse,interpretation_mode,total_importance,soil_importance_sum,mg_importance_sum,soil_importance_fraction,mg_importance_fraction
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,7.17981369106932,0.18051491498508604,6.999298776084235,0.025142005454768447,0.9748579945452316
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,XGBoost_tuned,0.630536037972228,3.189792818032504,fallback_feature_importance,1.0000001192092896,0.007054509595036507,0.9929456114768982,0.007054508663713932,0.9929454922676086
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,ExtraTrees_tuned,0.5661954856051917,3.139799192266706,true_shap,6.169814850751897,0.2217535813743082,5.94806126937759,0.03594169140217939,0.9640583085978207
HILICZ_negative|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,RandomForest_tuned,0.5267660573045383,4.232243680762494,true_shap,8.089618158754778,0.043306004217635044,8.046312154537143,0.005353281621922816,0.9946467183780772
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,ExtraTrees_tuned,0.4860926802070316,4.207452786834347,true_shap,7.3980559790833045,0.08676712929145713,7.311288849791847,0.011728368849435022,0.9882716311505649
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,RandomForest_tuned,0.4812052308429454,3.939560474758952,true_shap,6.311839202631768,0.09974024356144506,6.212098959070323,0.01580208879843733,0.9841979112015626
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,XGBoost_tuned,0.4723181412272977,3.400177493715858,fallback_feature_importance,0.9999999403953552,0.043884191662073135,0.9561158418655396,0.043884195387363434,0.9561159014701843
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,XGBoost_tuned,0.4422310812494176,4.278340139161292,fallback_feature_importance,1.0,0.018421223387122154,0.9815788269042969,0.018421223387122154,0.9815788269042969
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,XGBoost_tuned,0.4382750010141011,3.225998358007724,fallback_feature_importance,1.0,0.05715090036392212,0.9428490996360779,0.05715090036392212,0.9428490996360779
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,RandomForest_tuned,0.4350307938679755,4.68266215915222,true_shap,6.903737869469784,0.4799382910762566,6.423799578393526,0.06951861443040515,0.9304813855695947
