feature,feature_type,n_metabolites,mean_importance,max_importance,mean_cv_r2
Streptacidiphilus sp. DSM 106435,mg,6,0.1373806020778455,0.528409794406066,0.514213058199523
Catenulispora acidiphila,mg,6,0.09747648117662065,0.3964011604145413,0.5001238955236695
Kitasatospora aureofaciens,mg,5,0.5326785772705593,2.2213076005508814,0.5311780875597369
Kutzneria albida,mg,5,0.14363689437580446,0.4598795771598816,0.5525809251225
Kitasatospora sp. MMS16-BH015,mg,5,0.13541309143130373,0.2830739949152074,0.5311780875597369
Kitasatospora setae,mg,4,0.13661065807605083,0.2636166086567036,0.5436713017389347
Streptomyces sp. TLI_053,mg,4,0.1638314439847355,0.2103377995761608,0.5224237380483732
Nonomuraea sp. ATCC 55076,mg,4,0.044506049857357316,0.05991809944842546,0.5416029319633672
Streptomyces sp. SCSIO 03032,mg,3,0.17411368403353966,0.40965219330494773,0.5515547194418392
Thermomonospora curvata,mg,3,0.1740645369484437,0.32466357966184417,0.5646978622087236
Allokutzneria albata,mg,3,0.13101149938056147,0.3234157538421468,0.5379969270760036
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),soil,3,0.09307199252784715,0.22482377837576015,0.4911814735668216
Streptosporangium roseum,mg,3,0.08263640081121136,0.15024255032832962,0.5646978622087236
Nocardiopsis dassonvillei,mg,3,0.07435707829478137,0.11258864064251849,0.5663270119967524
Kosakonia radicincitans,mg,3,0.040115052065312774,0.1070418008821008,0.4922628759488635
Mycobacterium shigaense,mg,3,0.030211314145919068,0.07450613069294805,0.5463208682756124
Mycobacterium marseillense,mg,3,0.028146124710804337,0.0479368892093483,0.4922628759488635
Bradyrhizobium erythrophlei,mg,3,0.020327751874075848,0.03622364916398083,0.4485413120364581
Actinoplanes friuliensis,mg,2,0.21259316400021974,0.3832378791338337,0.484498569276978
Acidobacteriaceae bacterium SBC82,mg,2,0.18621944209877844,0.35730579481163016,0.45367446754763663
Actinomadura amylolytica,mg,2,0.2335758050693535,0.35442985354509193,0.6064441778916128
Amycolatopsis keratiniphila,mg,2,0.13021944119412643,0.22716178362503775,0.5639490505104896
Terriglobus roseus,mg,2,0.11430263785465082,0.22224486918759387,0.4366528974410383
Micromonospora auratinigra,mg,2,0.12126260297005184,0.2035282558972381,0.5639490505104896
Micromonospora narathiwatensis,mg,2,0.10576959877394561,0.17030128831324434,0.5639490505104896
Nakamurella multipartita,mg,2,0.08723098718581473,0.13897715945940303,0.5639490505104896
Nocardiopsis gilva,mg,2,0.09861219558613601,0.12553245074611347,0.6064441778916128
Amycolatopsis orientalis,mg,2,0.11804453181353823,0.11996623844377861,0.5639490505104896
Nocardiopsis alba,mg,2,0.080177427158729,0.09247156080088886,0.5237003582240686
Nakamurella panacisegetis,mg,2,0.0718187892126351,0.09112052382972186,0.5639490505104896
Streptosporangium sp. 'caverna',mg,2,0.06977139772931142,0.08829158223096276,0.6064441778916128
Nostoc sp. PCC 7524,mg,2,0.04373049636619183,0.08251220115024631,0.5022352433096464
Mycobacterium colombiense,mg,2,0.044777450544084114,0.0783865617984434,0.5022352433096464
Thermobispora bispora,mg,2,0.046518653130909866,0.07432625837452732,0.5261440829061117
Jatrophihabitans sp. GAS493,mg,2,0.06188997145811219,0.0701152741732631,0.5639490505104896
Pseudonocardia sp. AL041005-10,mg,2,0.052034626349303,0.05801407992839813,0.6386144540751308
moist__Replicate 1 Mass Water / Mass Dry Soil %,soil,2,0.030510345591387964,0.05148306233094497,0.4366528974410383
soil_total_C,soil,2,0.027755124163898474,0.04975532348284651,0.5022352433096464
soil_NH4,soil,2,0.028193492405848494,0.04825631614920853,0.5424839355960673
soil_total_N,soil,2,0.02994392903790589,0.04675288867743246,0.5022352433096464
Janthinobacterium agaricidamnosum,mg,2,0.030029670758964188,0.044436936182621255,0.4617181560461815
