model_feature,mean_abs_importance,feature,feature_type,metabolite,best_model,cv_r2,cv_rmse,interpretation_mode,rank
Streptomyces sp. SCSIO 03032,0.40965219330494773,Streptomyces sp. SCSIO 03032,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,1
Actinomadura amylolytica,0.35442985354509193,Actinomadura amylolytica,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,2
Thermomonospora curvata,0.32466357966184417,Thermomonospora curvata,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,3
Allokutzneria albata,0.3234157538421468,Allokutzneria albata,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,4
Amycolatopsis keratiniphila,0.22716178362503775,Amycolatopsis keratiniphila,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,5
Actinoalloteichus sp. GBA129-24,0.22159988025546568,Actinoalloteichus sp. GBA129-24,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,6
Streptomyces sp. TLI_053,0.20361565376374582,Streptomyces sp. TLI_053,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,7
Micromonospora auratinigra,0.2035282558972381,Micromonospora auratinigra,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,8
Kitasatospora setae,0.20310867072286695,Kitasatospora setae,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,9
Micromonospora narathiwatensis,0.17030128831324434,Micromonospora narathiwatensis,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,10
Streptosporangium roseum,0.15024255032832962,Streptosporangium roseum,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,11
Amycolatopsis sp. BJA-103,0.14261039987888463,Amycolatopsis sp. BJA-103,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,12
Nakamurella multipartita,0.13897715945940303,Nakamurella multipartita,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,13
Nocardiopsis gilva,0.12553245074611347,Nocardiopsis gilva,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,14
Amycolatopsis orientalis,0.11996623844377861,Amycolatopsis orientalis,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,15
Kitasatospora aureofaciens,0.10399251743236806,Kitasatospora aureofaciens,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,16
Streptacidiphilus sp. DSM 106435,0.10096520353573207,Streptacidiphilus sp. DSM 106435,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,17
Nocardiopsis dassonvillei,0.09170985585061926,Nocardiopsis dassonvillei,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,18
Nakamurella panacisegetis,0.09112052382972186,Nakamurella panacisegetis,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,19
Streptosporangium sp. 'caverna',0.08829158223096276,Streptosporangium sp. 'caverna',mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,20
Kutzneria albida,0.07766991021339255,Kutzneria albida,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,21
Kitasatospora sp. MMS16-BH015,0.07148168928800823,Kitasatospora sp. MMS16-BH015,mg,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.6466928701780337,3.7137242708050855,true_shap,22
