,count,mean,std,min,25%,50%,75%,max
soil_pH,100.0,5.952099999999999,0.768059729106238,4.83,5.14,6.154999999999999,6.665,7.18
soil_NH4,100.0,8.19576,5.866872529308226,0.0,3.5153749999999997,7.276999999999999,12.1955,31.937
soil_total_C,100.0,3.9766500000000002,2.5425003337206653,0.575,1.83925,3.2215,6.1107499999999995,10.626
soil_total_N,100.0,0.35044999999999993,0.15869546307314525,0.05,0.253,0.332,0.455,0.752
metabolomics_run_count,105.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
chem__LBC (mg/kg CaCO3/pH dry weight),100.0,934.23,415.1262398963778,296.0,571.75,845.0,1326.0,1791.0
chem__LBCeq (mg/kg CaCO3/pH dry weight),100.0,2709.2670000000003,1203.8660956994959,858.4,1658.075,2450.5,3845.4,5193.9
chem__pH,100.0,5.952099999999999,0.768059729106238,4.83,5.14,6.154999999999999,6.665,7.18
chem__Ca (Mehlich 1 mg/kg dry weight),100.0,2246.4533,352.0336658259529,1287.48,2042.695,2280.855,2481.135,3105.88
chem__K (Mehlich 1 mg/kg dry weight),100.0,220.474649,93.69456204764337,60.3044,153.28750000000002,205.5365,268.31825000000003,499.004
chem__Mg (Mehlich 1 mg/kg dry weight),100.0,421.43114,79.10458046297083,195.602,372.77,435.5185,469.878,584.535
chem__Mn (Mehlich 1 mg/kg dry weight),100.0,31.851088,12.635112828021136,9.5918,22.862825,29.30955,39.051875,69.8454
chem__P (Mehlich 1 mg/kg dry weight),100.0,62.017262,40.17887665727051,7.862,24.701175,51.0567,104.592,127.807
chem__Zn (Mehlich 1 mg/kg dry weight),100.0,5.284444,2.825649042999866,1.1197,2.8605,4.83165,7.5706750000000005,13.4053
chem__NH4-N (mg/kg dry weight),100.0,8.19576,5.866872529308226,0.0,3.5153749999999997,7.276999999999999,12.1955,31.937
chem__C (%),100.0,3.9766500000000002,2.5425003337206653,0.575,1.83925,3.2215,6.1107499999999995,10.626
chem__N (%),100.0,0.35044999999999993,0.15869546307314525,0.05,0.253,0.332,0.455,0.752
denit__Technical Replicate,93.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
denit__Rate (microgN/kilogram dry weight soil/day),93.0,100.14872044012901,144.3156315941097,0.79429242,13.36388139,35.36854282,116.4714185,725.6165982
moist__Replicate 1 Mass Water / Mass Dry Soil %,100.0,20.08172452689,13.489097019025829,3.505154639,7.86232387825,14.793918829999999,31.8816224825,49.7005988
moist__Replicate 2 Mass Water / Mass Dry Soil %,100.0,19.791101432220003,13.2107459810294,3.080082136,8.157672062,15.60946271,31.1768878075,49.4011976
moist__Replicate 3 Mass Water / Mass Dry Soil %,100.0,19.88397824977,13.160195894159003,2.880658436,7.86637931025,16.046511629999998,31.845213425,49.25373134
nitrif__Technical Replicate,100.0,1.53,0.5016135580465919,1.0,1.0,2.0,2.0,2.0
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),100.0,3.44333140839,3.2968495920567444,-1.150544409,0.9710626365,2.1856351405,5.3200175537500005,15.06487556
psize__Soil Sand Content %,103.0,23.50425168898058,8.748350662193614,8.073303616,16.2961678,23.13843078,29.095846424999998,50.7174666
psize__Soil Clay Content %,103.0,32.97888441645632,22.297719358140085,3.568754679,12.000205285,33.5832084,50.49069419,78.78338279
psize__Soil Silt Content %,103.0,43.516863893660194,16.206984268064332,7.418397626,32.408679205,45.9057072,57.256946615000004,68.62989768
Acaryochloris marina,105.0,0.0005142857142857143,0.000502192992979594,0.0,0.0,0.001,0.001,0.001
Acetobacter aceti,105.0,0.004961904761904746,0.0025605130552736974,0.001,0.003,0.005,0.0069999999999999,0.012
Acetobacter ascendens,105.0,0.0008095238095238097,0.0005563486402641874,0.0,0.0,0.001,0.001,0.002
Acetobacter ghanensis,105.0,0.001647619047619048,0.0007963975667021369,0.0,0.001,0.002,0.002,0.004
Acetobacter oryzifermentans,105.0,0.0005047619047619048,0.0005023753102820169,0.0,0.0,0.001,0.001,0.001
Acetobacter pasteurianus,105.0,0.0035523809523809492,0.001980583404633746,0.001,0.002,0.003,0.005,0.01
Acetobacter persici,105.0,0.0021333333333333334,0.001038366567357178,0.0,0.001,0.002,0.003,0.005
Acetobacter pomorum,105.0,0.0007142857142857144,0.0006311510503450412,0.0,0.0,0.001,0.001,0.002
Acetobacter senegalensis,105.0,0.000885714285714286,0.0005246662989698542,0.0,0.001,0.001,0.001,0.002
Acetobacter tropicalis,105.0,0.0009714285714285715,0.0007132960176470976,0.0,0.0,0.001,0.001,0.003
Acetobacterium sp. KB-1,105.0,6.666666666666667e-05,0.0002506402059138014,0.0,0.0,0.0,0.0,0.001
Acetohalobium arabaticum,105.0,7.61904761904762e-05,0.00026657507584594445,0.0,0.0,0.0,0.0,0.001
Acetomicrobium mobile,105.0,0.00037142857142857143,0.0004855041562276122,0.0,0.0,0.0,0.001,0.001
Achromobacter denitrificans,105.0,0.02805714285714285,0.00847147767900819,0.01,0.022,0.027,0.032,0.062
Achromobacter insolitus,105.0,0.017971428571428555,0.005094222109517698,0.008,0.0139999999999999,0.017,0.02,0.037
Achromobacter ruhlandii,105.0,0.000742857142857143,0.0004809560076750066,0.0,0.0,0.001,0.001,0.002
Achromobacter sp. AONIH1,105.0,0.021104761904761904,0.005948373742725837,0.009,0.017,0.02,0.024,0.043
Achromobacter sp. B7,105.0,0.016123809523809506,0.004919926590476502,0.006,0.013,0.015,0.018,0.044
Achromobacter sp. MFA1 R4,105.0,0.019142857142857128,0.006050156659492029,0.008,0.015,0.018,0.022,0.043
Achromobacter spanius,105.0,0.05970476190476189,0.017470812918387743,0.023,0.048,0.058,0.067,0.125
Achromobacter xylosoxidans,105.0,0.07359999999999998,0.019749683541768464,0.031,0.06,0.071,0.086,0.148
Acidaminococcus fermentans,105.0,0.000904761904761905,0.0006725927091345492,0.0,0.0,0.001,0.001,0.002
Acidaminococcus intestini,105.0,0.0006190476190476191,0.0005072731092084489,0.0,0.0,0.001,0.001,0.002
Acidiferrobacter sp. SPIII_3,105.0,0.007238095238095227,0.003730136648156389,0.002,0.004,0.0069999999999999,0.01,0.017
Acidihalobacter ferrooxidans,105.0,0.008266666666666657,0.003861214104264921,0.002,0.005,0.008,0.01,0.018
Acidihalobacter prosperus,105.0,0.015447619047619036,0.007184359283542159,0.004,0.009,0.016,0.02,0.033
Acidimicrobium ferrooxidans,105.0,0.015095238095238085,0.008766768338802345,0.002,0.0069999999999999,0.015,0.021,0.036
Acidiphilium cryptum,105.0,0.015057142857142838,0.007974512972141757,0.004,0.008,0.0139999999999999,0.021,0.038
