,count,mean,std,min,25%,50%,75%,max
C18_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,105.0,80342.14499558936,358317.8400388819,0.0,0.0,0.0,0.0,3214838.955097021
C18_negative|IK:ABVDJKDAAWCYKH-PNJCVKMMSA-N,105.0,16482.401020143094,61996.16983066448,0.0,0.0,0.0,0.0,471583.40480957925
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,105.0,93033.87940020488,231360.65278200197,0.0,0.0,34574.58758426178,104396.8383652661,1822353.4804792404
C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,105.0,220329.10783694097,552297.0944698747,0.0,0.0,24957.199336951817,309593.64295469224,4914184.798034728
C18_negative|IK:AKEUNCKRJATALU-UHFFFAOYSA-N,105.0,215828.58632320422,829234.3269448045,0.0,0.0,0.0,0.0,5809295.308841012
C18_negative|IK:AQCKKGIVKOHRLM-HBFAXEOFSA-N,105.0,91187.94650581772,492357.37522005115,0.0,0.0,0.0,0.0,4159999.901194528
C18_negative|IK:AYAUOXWJIWVPSO-UHFFFAOYSA-N,105.0,7969.712567560588,38805.24498478202,0.0,0.0,0.0,0.0,290257.0896114111
C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,105.0,47477.81841793993,87212.72713241969,0.0,0.0,32485.658120767504,66772.35963597079,619338.135125868
C18_negative|IK:BDJRBEYXGGNYIS-UHFFFAOYSA-N,105.0,130705.21812068007,373255.96838972735,0.0,27533.215744625777,36135.47016228316,67261.99537572265,2919105.784782879
C18_negative|IK:BITYXLXUCSKTJS-UHFFFAOYSA-N,105.0,63449.422880358376,328518.9667025664,0.0,0.0,0.0,0.0,2435825.683553351
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,105.0,1796103.191950325,5764827.083072158,0.0,0.0,0.0,0.0,36161876.982156806
C18_negative|IK:BJEPYKJPYRNKOW-UWTATZPHSA-N,105.0,257594.89678849588,690891.5422413342,0.0,0.0,0.0,0.0,3944617.885407725
C18_negative|IK:BJHIKXHVCXFQLS-PQLUHFTBSA-N,105.0,323521.09113221255,963152.5403559153,0.0,0.0,0.0,0.0,7662290.55979421
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,105.0,245272.72237714558,478589.4351343531,0.0,0.0,30313.12657444738,251006.1482565459,2362958.4616278782
C18_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,105.0,1130589.9738311057,1579933.9436812405,0.0,109661.95658928972,462453.3473844986,1570924.3581782973,7943846.368109696
C18_negative|IK:BLUAFEHZUWYNDE-DCJAHCNHSA-N,105.0,12276.952636358506,28396.68915009622,0.0,0.0,0.0,0.0,114174.50151921436
C18_negative|IK:BPSJMBKZSUTYNF-GXCUHXBUSA-N,105.0,145113.64798364814,301826.7641244829,0.0,0.0,0.0,86126.35275525041,1490323.0930675268
C18_negative|IK:BTJIUGUIPKRLHP-UHFFFAOYSA-N,105.0,6652.0149250362465,28765.51076010318,0.0,0.0,0.0,0.0,205194.8794117905
C18_negative|IK:BUBVKRMIMSPLND-YTDPHAJHSA-N,105.0,6788.248293636168,31263.876594434256,0.0,0.0,0.0,0.0,236254.5657162704
C18_negative|IK:CBQJSKKFNMDLON-JTQLQIEISA-N,105.0,6493.742505320073,38239.64818509808,0.0,0.0,0.0,0.0,344086.10707125766
C18_negative|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,105.0,20909.961759157886,84124.7363584793,0.0,0.0,0.0,0.0,692060.8497042805
C18_negative|IK:CFJLERBDXYGARW-TVKJYDDYSA-N,105.0,21638.013546240356,73242.39384330083,0.0,0.0,0.0,0.0,439857.09069848806
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,105.0,31182.100434899505,64151.83478133273,0.0,0.0,0.0,53740.84463200718,489431.3783959001
C18_negative|IK:CQLRUIIRRZYHHS-UHFFFAOYSA-N,105.0,13557.589528899196,83796.5300763502,0.0,0.0,0.0,0.0,663389.110616684
C18_negative|IK:CQSLTKIXAJTQGA-FLIBITNWSA-N,105.0,27249.552941684567,96779.44567389133,0.0,0.0,0.0,0.0,687698.9105663467
C18_negative|IK:CSGSKMJWQQEEQK-NHCPJIJJSA-N,105.0,382271.3000033905,774235.6851654625,0.0,0.0,24252.2682414474,284120.30585055595,3926521.8367574215
C18_negative|IK:CUCUKLJLRRAKFN-UHFFFAOYSA-N,105.0,40987.038516892106,109841.81501597185,0.0,0.0,0.0,0.0,601568.3703482067
C18_negative|IK:CWVRJTMFETXNAD-UHFFFAOYSA-N,105.0,90065.37289380156,223895.51822107498,0.0,0.0,0.0,32209.64330339618,1270225.7334462404
C18_negative|IK:CXMXRPHRNRROMY-UHFFFAOYSA-N,105.0,5506.564593201427,29260.86472578402,0.0,0.0,0.0,0.0,237704.1227640584
C18_negative|IK:CXQWRCVTCMQVQX-UHFFFAOYSA-N,105.0,6893.27311221823,29488.388040440852,0.0,0.0,0.0,0.0,163834.54552598717
C18_negative|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N,105.0,31672346.939673837,36184668.62582761,0.0,4253381.091848273,14211813.854977012,44974402.10631019,139896560.28397882
C18_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,105.0,1604967.5711772498,4434956.308544039,0.0,0.0,0.0,0.0,24642009.406776484
C18_negative|IK:CZOXIGOPZRIBJM-TZWBTVLISA-N,105.0,22351.8089370968,66265.85053517565,0.0,0.0,0.0,0.0,374525.52498774976
C18_negative|IK:CZSKYBTXDJQXNC-ZFQONWCHSA-N,105.0,7290.109301210867,33811.822014021134,0.0,0.0,0.0,0.0,231254.4298807941
C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N,105.0,174695.65387336662,423155.3239847298,0.0,0.0,0.0,200702.0938523636,2686807.004703284
C18_negative|IK:DJOJDHGQRNZXQQ-UHFFFAOYSA-N,105.0,16516.851925714516,36586.930823128234,0.0,0.0,0.0,0.0,182671.5335157141
C18_negative|IK:DLIKSSGEMUFQOK-UHFFFAOYSA-N,105.0,66220.88209393728,266608.90515444434,0.0,0.0,0.0,25772.379033133388,2583200.1408581734
C18_negative|IK:DLRVVLDZNNYCBX-ABXHMFFYSA-N,105.0,747763.2420321221,2121564.3972151107,0.0,0.0,0.0,0.0,12351848.98343874
C18_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,105.0,236759.85017140012,274104.7100787475,0.0,64871.19952353461,128770.16232954276,326706.9145000392,1248462.49670496
C18_negative|IK:DRTQHJPVMGBUCF-XVFCMESISA-N,105.0,13226.96406981651,61493.60813993518,0.0,0.0,0.0,0.0,594518.2657146447
C18_negative|IK:DUBCCGAQYVUYEU-ZUGPOPFOSA-N,105.0,47523.23521203451,441320.8316613086,0.0,0.0,0.0,0.0,4514183.165833717
C18_negative|IK:DYHOLQACRGJEHX-UHFFFAOYSA-N,105.0,41879.46674246514,82707.40299855998,0.0,0.0,0.0,62263.87049432844,610179.4773889184
C18_negative|IK:FAQJJMHZNSSFSM-UHFFFAOYSA-N,105.0,46039.22942026987,308484.1874507945,0.0,0.0,0.0,0.0,3080757.3266828693
C18_negative|IK:FBPFZTCFMRRESA-GUCUJZIJSA-N,105.0,811841.79969967,2602697.6953338347,0.0,0.0,0.0,0.0,18652551.126361128
C18_negative|IK:FBPFZTCFMRRESA-KVTDHHQDSA-N,105.0,129169.86488432746,653243.1676018409,0.0,0.0,0.0,0.0,5856098.788350761
C18_negative|IK:FBPFZTCFMRRESA-UHFFFAOYSA-N,105.0,431206.10781024693,1665411.5480641457,0.0,0.0,0.0,0.0,12240667.825789908
C18_negative|IK:FEGXTMHRTZJSIG-MVXUSQBOSA-N,105.0,54142.05627338919,141847.87151161782,0.0,0.0,0.0,0.0,845274.8298119372
C18_negative|IK:FFDULTAFAQRACT-XKBSQSBASA-N,105.0,28785.07287089243,89479.13620495028,0.0,0.0,0.0,0.0,480557.79313026834
C18_negative|IK:FJKROLUGYXJWQN-UHFFFAOYSA-N,105.0,1401014.0411886608,7515113.996533763,0.0,0.0,0.0,0.0,71122052.7935996
C18_negative|IK:FNUPUYFWZXZMIE-LSDHHAIUSA-N,105.0,10202.825842156439,43315.21181856845,0.0,0.0,0.0,0.0,326954.4870484257
C18_negative|IK:FQFJIJMMCVBRBL-UHFFFAOYSA-N,105.0,113987.99117520242,353753.13241683826,0.0,0.0,0.0,0.0,2476746.9656670988
C18_negative|IK:FQWZGEBZILOCET-BJGSYIFTSA-N,105.0,36136.92543139474,71136.81178607677,0.0,0.0,0.0,40753.73353594355,278391.8343233643
C18_negative|IK:FTVWIRXFELQLPI-UHFFFAOYSA-N,105.0,97578.48983628934,125358.75944733298,0.0,0.0,62375.53581967205,134642.31050425302,700917.5990658104
C18_negative|IK:FTVWIRXFELQLPI-ZDUSSCGKSA-N,105.0,906378.297589339,198590.74078452075,0.0,871823.8704583915,926710.2946347818,990500.6050323276,1389121.9918461312
C18_negative|IK:FUQGIYDZGLORRC-UHFFFAOYSA-N,105.0,179897.41441968395,304501.44564337406,0.0,0.0,98987.078323178,218742.0401617568,2062868.7210816443
C18_negative|IK:FYKXUGIGKHKTDH-UHFFFAOYSA-N,105.0,8952.752908597571,38228.8474763513,0.0,0.0,0.0,0.0,309232.0328222644
C18_negative|IK:GAMYVSCDDLXAQW-UHFFFAOYSA-N,105.0,21631.986388203874,73286.40463230536,0.0,0.0,0.0,0.0,440515.6092935205
C18_negative|IK:GEYBMYRBIABFTA-UHFFFAOYSA-N,105.0,103677.66959386057,27095.971523444525,0.0,105690.2635658346,110674.7122775428,115786.19875228498,128625.92505673598
C18_negative|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,105.0,4078.716960071952,22988.745056785458,0.0,0.0,0.0,0.0,183621.6513670161
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,105.0,90780.66355788732,210752.72140938428,0.0,0.0,0.0,70473.79573668027,1277762.582090523
C18_negative|IK:GKAJCVFOJGXVIA-UHFFFAOYSA-N,105.0,659025.6627901528,1001367.1952124853,0.0,35553.37347901921,195611.6560419984,656382.1776117086,4047154.30907239
C18_negative|IK:GLDQAMYCGOIJDV-UHFFFAOYSA-N,105.0,23222.715893310593,74189.63148548425,0.0,0.0,0.0,0.0,504833.0454734676
C18_negative|IK:GUBGYTABKSRVRQ-QUYVBRFLSA-N,105.0,3652219.4689664748,4116623.083622398,0.0,0.0,2770198.823576369,5107745.237293694,16770322.09093396
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,105.0,19185.029331353195,42335.587581075386,0.0,0.0,0.0,28457.27413662116,292729.0126210116
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,105.0,21804.58152110502,49375.06459680087,0.0,0.0,0.0,0.0,354271.3831900656
C18_negative|IK:GYXGAEAOIFNGAE-UHFFFAOYSA-N,105.0,197185.4744209712,258758.28493608514,0.0,44405.91656009294,111532.17660824768,261825.4570826525,1718182.9521388598
C18_negative|IK:HCLCMXGQPIHMSN-CXXPSPARSA-N,105.0,6901.1869235676395,25257.471138653516,0.0,0.0,0.0,0.0,157730.9770338689
C18_negative|IK:HDTRYLNUVZCQOY-LIZSDCNHSA-N,105.0,618537.2882989405,815011.7502854144,0.0,179002.88730933878,274684.0112705174,784059.5998840249,3795650.930687904
C18_negative|IK:HFGSQOYIOKBQOW-RFMFWNHYSA-N,105.0,45185.06118259305,133765.86442341303,0.0,0.0,0.0,23196.020236730285,952134.2365300952
C18_negative|IK:HJBUYKZTEBZNSH-UHFFFAOYSA-N,105.0,21716.37715963167,64346.401455206,0.0,0.0,0.0,0.0,341680.42233668314
C18_negative|IK:HJBWJAPEBGSQPR-UHFFFAOYSA-N,105.0,28892.190431516738,200203.30443059132,0.0,0.0,0.0,0.0,1855307.558355216
C18_negative|IK:HMUJXQRRKBLVOO-AWEZNQCLSA-N,105.0,5650.6782657728045,29714.743804336897,0.0,0.0,0.0,0.0,279639.9846545272
C18_negative|IK:HMUJXQRRKBLVOO-UHFFFAOYSA-N,105.0,263583.57706871675,449954.6069468971,0.0,0.0,140925.00736302836,323981.5034524258,3163402.2530852854
C18_negative|IK:HPSWAEGGWLOOKT-OWOJBTEDSA-N,105.0,30906.198753167464,153026.80561916952,0.0,0.0,0.0,0.0,1469571.1260727942
C18_negative|IK:HUSISCNTLUEZCN-PDBXOOCHSA-N,105.0,7587.187971408869,25639.992670352247,0.0,0.0,0.0,0.0,134207.0315245334
C18_negative|IK:IBGBGRVKPALMCQ-UHFFFAOYSA-N,105.0,84560.21002719502,205312.05665805461,0.0,0.0,0.0,0.0,913921.8061096072
C18_negative|IK:IFIQVSCCFRXSJV-ZIZFEDMCSA-N,105.0,8830.36665336367,40422.65015901453,0.0,0.0,0.0,0.0,316823.60264631733
C18_negative|IK:IJFXRHURBJZNAO-UHFFFAOYSA-N,105.0,713167.8671901873,3987277.616166995,0.0,0.0,0.0,204320.2032971233,40265428.080384135
C18_negative|IK:ILEDWLMCKZNDJK-UHFFFAOYSA-N,105.0,19999.975987103317,143390.3895963572,0.0,0.0,0.0,0.0,1454706.7970238174
C18_negative|IK:IOUVKUPGCMBWBT-QNDFHXLGSA-N,105.0,238471.4603809297,998026.7967157911,0.0,0.0,0.0,0.0,5879064.428184912
C18_negative|IK:IOUVKUPGCMBWBT-UHFFFAOYSA-N,105.0,112515.15946418133,538935.889484539,0.0,0.0,0.0,0.0,4066062.48378472
C18_negative|IK:IPWPEUJWMOPJDG-MOPGFXCFSA-N,105.0,10831.255655735806,36121.19101213184,0.0,0.0,0.0,0.0,158686.5889335554
C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,105.0,123889.74851659437,151313.29033350883,0.0,40930.245965080205,94713.71720405958,155695.4525565636,1207479.51688166
C18_negative|IK:IRZVHDLBAYNPCT-UHFFFAOYSA-N,105.0,4253.981778326107,13779.744577064806,0.0,0.0,0.0,0.0,66618.08583199047
C18_negative|IK:IVKGLRZLTNXWKF-VAWYXSNFSA-N,105.0,21473.36955345155,48398.83227723465,0.0,0.0,0.0,29473.194783593528,384403.6480298042
C18_negative|IK:IVRQZYXJBVMHCW-OTCFHACESA-N,105.0,54194.67702589798,148596.2695112845,0.0,0.0,0.0,24110.064857752062,1139491.686800871
C18_negative|IK:IYRMWMYZSQPJKC-UHFFFAOYSA-N,105.0,10276.879620885631,55889.47530570324,0.0,0.0,0.0,0.0,428031.970380228
C18_negative|IK:JDNUVLAJLPVYNP-SWMGHYKJSA-N,105.0,4739.479367327283,19079.22145694306,0.0,0.0,0.0,0.0,134736.32866037876
C18_negative|IK:JHAXQRDTTACRKJ-FQDDALBOSA-N,105.0,62900.80370253887,361581.0893027563,0.0,0.0,0.0,0.0,2847571.255196929
C18_negative|IK:JIDXOGPQCVBGSC-BXUICYMCSA-N,105.0,106774.77335096676,327733.80112947983,0.0,0.0,0.0,27577.272542165563,1850182.329046964
C18_negative|IK:JLIDBLDQVAYHNE-UHFFFAOYSA-N,105.0,5638.017167422268,30612.00606016141,0.0,0.0,0.0,0.0,254373.0281678736
C18_negative|IK:JLIDBLDQVAYHNE-YKALOCIXSA-N,105.0,3260.481123413498,15157.40839490441,0.0,0.0,0.0,0.0,111783.91654605397
C18_negative|IK:JSPPDMSCDGJJOM-YDMRWXCBSA-N,105.0,19138.978426983962,99830.05876627307,0.0,0.0,0.0,0.0,650785.7545257658
C18_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,105.0,143370.43108142648,568100.1866919711,0.0,0.0,0.0,0.0,3691689.632719457
C18_negative|IK:JVTAAEKCZFNVCJ-UHFFFAOYSA-N,105.0,51395.85516671169,155070.62941516892,0.0,0.0,0.0,0.0,787599.8601282211
C18_negative|IK:JXSVIVRDWWRQRT-UHFFFAOYSA-N,105.0,3702.9128239936726,23248.572801178354,0.0,0.0,0.0,0.0,226632.464835614
C18_negative|IK:JXSVIVRDWWRQRT-UMCOSQRYSA-N,105.0,458244.5209296993,1571750.990575616,0.0,0.0,26494.519319041166,83516.45894668438,7784019.789249897
C18_negative|IK:KCDXJAYRVLXPFO-UHFFFAOYSA-N,105.0,5192.328310137863,27590.539427072694,0.0,0.0,0.0,0.0,197353.653630469
C18_negative|IK:KCOOTJRKKIDHTM-UHFFFAOYSA-N,105.0,74630.11203561048,275048.10892224143,0.0,0.0,0.0,0.0,2010587.409244072
C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,105.0,270750.3698231379,784164.5676624255,0.0,0.0,0.0,146066.4482341744,4429734.81132886
