metabolite,direct_model,zero_fraction,presence_fraction,direct_mean_r2,direct_mean_rmse,two_stage_mean_r2,two_stage_mean_rmse,r2_improvement,stage1_mean_auc,stage1_mean_f1,stage1_mean_accuracy,two_stage_better
C18_positive|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,ExtraTrees_tuned,0.009523809523809525,0.9904761904761905,0.26897905401629385,1.7997654320750602,0.29789453783138453,1.778906939767713,0.02891548381509068,,1.0,1.0,True
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,XGBoost_tuned,0.5523809523809524,0.44761904761904764,0.630536037972228,3.1897928180325033,0.5660154325629728,3.5138759458967677,-0.0645206054092552,0.9103496503496504,0.8802467532467532,0.9047619047619048,False
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RandomForest_tuned,0.41904761904761906,0.580952380952381,0.6466928701780337,3.7137242708050855,0.4677275597736511,4.305183408097603,-0.17896531040438257,0.9450505843362986,0.8686318763695076,0.8761904761904761,False
C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,RandomForest_tuned,0.5523809523809524,0.44761904761904764,0.24013916472055846,5.16185126557943,0.06084113905348905,5.749299180349928,-0.17929802566706943,0.7555967841682127,0.722121212121212,0.780952380952381,False
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,RandomForest_tuned,0.6857142857142857,0.3142857142857143,0.41003710326878007,3.924313758624332,0.2255347064469905,4.407029099877823,-0.18450239682178957,0.8209771181199752,0.6925199362041468,0.838095238095238,False
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,RandomForest_tuned,0.6285714285714286,0.37142857142857144,0.4350307938679755,4.68266215915222,0.24836875207288295,5.3183904514346585,-0.18666204179509255,0.8857575757575757,0.7718487394957982,0.8380952380952381,False
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,RandomForest_tuned,0.6190476190476191,0.38095238095238093,0.29543579703883155,4.402974006132096,0.05878956483025048,4.9949585852182485,-0.23664623220858105,0.8289481946624804,0.7,0.7904761904761906,False
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,ExtraTrees_tuned,0.7238095238095238,0.2761904761904762,0.5661954856051918,3.139799192266706,0.32765314753312647,3.795819549351404,-0.23854233807206537,0.9217399267399268,0.7843434343434343,0.8571428571428571,False
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,RandomForest_tuned,0.5523809523809524,0.44761904761904764,0.35728567033512304,5.232692730309568,0.11589393685791113,6.095952207216442,-0.2413917334772119,0.815472027972028,0.7121212121212122,0.7904761904761904,False
HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,XGBoost_tuned,0.6190476190476191,0.38095238095238093,0.34167586041310866,5.2021345931356375,0.07755961756890598,6.047898432961157,-0.26411624284420265,0.8579569636712494,0.7311990950226244,0.780952380952381,False
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,ExtraTrees_tuned,0.5714285714285714,0.42857142857142855,0.48609268020703167,4.207452786834347,0.20893911431503773,5.134848695200999,-0.2771535658919939,0.8736604136604138,0.7895555555555556,0.8,False
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,RandomForest_tuned,0.6666666666666666,0.3333333333333333,0.3577850307245719,4.52419014250194,0.0801013533099161,5.387110539294907,-0.2776836774146558,0.846600383743241,0.6733443027560675,0.7904761904761904,False
C18_negative|NAME:,XGBoost_tuned,0.0,1.0,0.2622414521544577,0.7305165856361008,-0.021952279418541963,0.8726909141555066,-0.28419373157299965,,,,False
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,RandomForest_tuned,0.4666666666666667,0.5333333333333333,0.4812052308429454,3.9395604747589514,0.18850609556001846,4.871323027317645,-0.29269913528292696,0.874273583559298,0.7862548679390785,0.8095238095238095,False
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,ExtraTrees_tuned,0.6095238095238096,0.3904761904761905,0.30897964920686866,6.080063086024984,-0.010431829116940872,7.22720908275303,-0.3194114783238095,0.8059151694865981,0.6806060606060607,0.7428571428571429,False
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,ExtraTrees_tuned,0.6857142857142857,0.3142857142857143,0.3285200261911319,3.9899677290782547,0.006618975157123419,4.783788404132783,-0.3219010510340085,0.8605195881771511,0.6492313242313242,0.8,False
C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,XGBoost_tuned,0.7047619047619048,0.29523809523809524,0.32354932077060966,4.701480454998311,-0.01569450276555171,5.687705858482361,-0.3392438235361614,0.8176870748299321,0.6442857142857144,0.7904761904761906,False
HILICZ_negative|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,RandomForest_tuned,0.7238095238095238,0.2761904761904762,0.5267660573045382,4.232243680762494,0.1837868578253074,5.026276791053381,-0.3429791994792308,0.8758333333333332,0.6579797979797981,0.8380952380952381,False
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,XGBoost_tuned,0.5047619047619047,0.49523809523809526,0.46197247439149525,4.191479603922414,0.11529445306902338,5.382403319726801,-0.3466780213224719,0.841523397237683,0.7652991452991452,0.7904761904761903,False
C18_positive|IK:RGHMISIYKIHAJW-UHFFFAOYSA-N,RandomForest_tuned,0.6952380952380952,0.3047619047619048,0.25499480881698905,5.644364123429179,-0.0961244265385544,6.853877262728089,-0.35111923535554346,0.7728135356706785,0.6255724667489374,0.7714285714285714,False
HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,ExtraTrees_tuned,0.38095238095238093,0.6190476190476191,0.2963603172435302,5.148350271540975,-0.05517120460111837,6.2666799798723245,-0.35153152184464853,0.8048113262398976,0.7939707801776767,0.7428571428571429,False
C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,XGBoost_tuned,0.7333333333333333,0.26666666666666666,0.2978958165309897,4.785079852463684,-0.05764956314622629,5.7889072248074935,-0.35554537967721594,0.8455272108843538,0.6364102564102564,0.8,False
C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,RandomForest_tuned,0.3238095238095238,0.6761904761904762,0.3510421854116415,5.106644537774517,-0.009334396163586955,6.284764455345886,-0.36037658157522845,0.8627158555729985,0.8304645373165951,0.780952380952381,False
C18_positive|NAME:,XGBoost_tuned,0.0,1.0,0.34690177752082196,0.52892090691232,-0.015272956410990135,0.6664943900162019,-0.3621747339318121,,,,False
HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,RandomForest_tuned,0.6857142857142857,0.3142857142857143,0.2629617358918462,5.580939027425607,-0.10179457899847419,6.710275294617139,-0.36475631489032034,0.7825693354264782,0.6124585218702866,0.7619047619047619,False
C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,RandomForest_tuned,0.0,1.0,0.3608390445015794,1.0596196250645122,-0.010716775259166544,1.346382380945676,-0.3715558197607459,,,,False
C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,RandomForest_tuned,0.20952380952380953,0.7904761904761904,0.34447164199466257,3.7901948392678575,-0.03240187352290804,4.4211634472384365,-0.3768735155175706,0.8501845182517451,0.8894346692733789,0.8285714285714285,False
C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,RandomForest_tuned,0.6666666666666666,0.3333333333333333,0.3280923466515905,4.835754752421738,-0.05402050373644283,6.000927416328851,-0.38211285038803333,0.8104971219256933,0.6496503496503496,0.7714285714285714,False
C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,XGBoost_tuned,0.5523809523809524,0.44761904761904764,0.3252594783668419,5.085327443137506,-0.060734908820418744,6.344089529393672,-0.38599438718726065,0.8350168350168351,0.689157832191888,0.7238095238095238,False
C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,ExtraTrees_tuned,0.6571428571428571,0.34285714285714286,0.31732498540991855,4.677438784264085,-0.0913248109068117,5.8748543626457765,-0.40864979631673026,0.8275579975579974,0.6462337662337662,0.7523809523809524,False
C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,XGBoost_tuned,0.7047619047619048,0.29523809523809524,0.3137374772619431,4.622709349492709,-0.10054727899829916,5.709564473360176,-0.4142847562602423,0.8019661197812458,0.5873626373626374,0.7809523809523811,False
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,XGBoost_tuned,0.7619047619047619,0.23809523809523808,0.4639582315558991,3.4236714033001254,0.03918343684976407,4.588998915782033,-0.42477479470613505,0.9071015072695745,0.6642557442557443,0.8190476190476191,False
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,XGBoost_tuned,0.42857142857142855,0.5714285714285714,0.34653901950235627,4.807077802339016,-0.08201756481166389,6.225052819669647,-0.42855658431402016,0.813728995871853,0.7322458770614692,0.7047619047619047,False
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,RandomForest_tuned,0.0,1.0,0.42369979893988835,1.2952240918214624,-0.009630530537761884,1.7353300060504782,-0.4333303294776502,,,,False
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,RandomForest_tuned,0.44761904761904764,0.5523809523809524,0.27185561798586366,5.814119694685766,-0.16189549335775746,7.2951635192482955,-0.4337511113436211,0.8140151515151516,0.7154285714285715,0.7047619047619048,False
HILICZ_positive|IK:SIOXPEMLGUPBBT-UHFFFAOYSA-N,ExtraTrees_tuned,0.7904761904761904,0.20952380952380953,0.3075096334876778,4.8151850125343305,-0.14185143604483236,6.0435242288432205,-0.44936106953251015,0.8620588235294117,0.4920634920634921,0.8095238095238095,False
C18_negative|IK:HMUJXQRRKBLVOO-UHFFFAOYSA-N,RandomForest_tuned,0.2857142857142857,0.7142857142857143,0.1535480414688931,5.036476875071564,-0.3147526606271461,6.192705404630319,-0.46830070209603913,0.7610959939531368,0.8187816240554577,0.7428571428571429,False
C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,RandomForest_tuned,0.6857142857142857,0.3142857142857143,0.3333957770928647,3.679167604513014,-0.14511429102439752,4.798503248932226,-0.47851006811726227,0.8892954757660639,0.6476107226107226,0.780952380952381,False
C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,RandomForest_tuned,0.34285714285714286,0.6571428571428571,0.3578503427547288,4.094879405680756,-0.15319933301025185,5.440030306668897,-0.5110496757649807,0.8246541950113379,0.7973142973967561,0.761904761904762,False
