feature_id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104
HILICZ_positive|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N	569428515.8203561	0.0	0.0	168193686.97327542	48155354.94436667	58508360.16923976	492506136.48552746	307730949.99767166	377211313.6651895	123852663.63422261	394867294.92596614	21854105.115288112	157333.46570360323	0.0	426020533.06776744	419088547.57270634	83329946.79412208	19635347.203057636	563088481.3734722	0.0	500526169.42387474	318520834.9817199	0.0	24567467.589066327	20915372.83475034	27646569.247493062	554978853.6282957	125639599.98450144	44871881.583997905	63837780.70105971	28172419.650425706	72760199.65796119	180395243.46262193	215185685.84936982	575316331.7209446	0.0	304670180.12460774	105357123.51017511	119476857.47526996	0.0	189276535.12666982	592356201.8934631	26253120.080607418	123916012.76132055	765039444.3269383	84489646.20146231	7584211.564013032	754908799.160074	7327474.402708468	308563.0297926662	309248295.06426936	581945410.4729056	115355082.01404865	0.0	135480114.52070472	198921057.8950543	0.0	522442556.62102133	0.0	461115770.8968754	636169361.1282178	347491910.0906564	130612785.29514574	126574041.83787173	96782118.11099741	4591282.4569605775	241215774.0695954	0.0	390747054.91846514	381790998.3095606	73769463.3644019	0.0	0.0	351781366.45466816	154866674.4190288	181021267.61940736	41088609.5398887	180563841.4430699	196978126.56450424	51042954.68632006	174940711.31619456	209229882.27305827	482830286.8534715	355214678.06855434	0.0	212451965.38643858	33925170.52999815	117093828.91448279	85357174.09970362	42288144.938216	160574509.48609436	186313798.4138696	219429017.2580007	626048192.7682369	150354575.8314008	272893750.22520196	133980271.8568858	22253941.180449463	348789358.9226734	42719453.39309043	0.0	11396747.249957683	67874402.30887951	413394946.2214501	7474404.201340295
HILICZ_positive|NAME:	132540209.41217852	588289101.8180962	153234286.6150144	73801158.72928894	260886560.45055744	328529293.08002824	374515325.4651493	325740074.7141901	322760912.5462141	243441072.1595918	174674247.03828725	70649682.71871041	7099027.350465772	358916713.10701793	294891505.84244555	250846034.0868652	307748658.96801937	238987298.43530056	349168819.45189464	236217424.07028943	179035378.74763963	382285715.4490194	243192512.78531492	164505195.1499579	344013280.0594262	308208888.6910861	222599065.340942	296082190.18113	212991802.820889	254058043.92151305	224962474.6789557	256595159.23626357	79125682.8919482	128631190.77616554	325809400.79271036	450895223.64062274	390757263.66068774	363785772.257832	274179704.2824503	1201327832.4343553	256675479.80700237	234534354.72915146	311002263.42631155	250768081.61447412	351908642.1120033	229846293.20637628	280204890.9671984	362322118.83246946	167593233.0824017	384076575.56215376	116249503.98274024	273847808.23362035	354831436.90582895	336242310.7350156	310161640.92524874	237557880.16454202	349914411.7040394	153423403.69965717	240174295.03414845	246982737.32578942	269955402.23143345	162399202.29924643	337081243.75799954	64726445.95805114	421125993.80987793	247293965.81382418	74543754.92179748	244619688.26314336	393911682.91886926	212884192.7625399	298775038.60620165	399456869.0090152	184653758.2757452	81602630.13942091	243385698.95196953	246916121.6475595	384818159.65348697	260779180.38464636	69666744.77877711	217813092.20637944	160372602.63839996	208893252.91399944	286745937.46216273	273671872.10544115	259646493.48245963	167218825.23225173	47785464.813850544	324529929.68065727	186048983.17532772	247767448.80824214	275952225.8869229	188203653.0093902	273445117.0566671	141945473.62416634	351381961.1641115	238912501.9403539	234429507.51377094	156364160.47782624	113845831.58716065	66031509.64670792	148752590.44901428	273437050.5237615	320501057.11719376	184809425.31793246	176248796.2596627
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N	35722085.270437285	732235134.823454	32672555.543140396	0.0	0.0	0.0	0.0	0.0	46448511.96348579	0.0	262380889.7640119	0.0	0.0	0.0	116144680.43208727	0.0	0.0	0.0	0.0	0.0	132933235.44066834	0.0	0.0	0.0	0.0	0.0	244730846.8114595	35045895.17442132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	670932115.7446604	0.0	159909782.41331953	0.0	0.0	108303034.10167679	0.0	0.0	141146246.5149044	0.0	466639069.2272536	0.0	67686019.58004756	0.0	111984314.65292746	0.0	0.0	200036694.14386392	45518713.830219254	0.0	22692710.96144488	55397770.85747814	46887575.99646659	0.0	108341661.56596196	0.0	0.0	0.0	0.0	0.0	58822879.53202624	0.0	0.0	144542151.7904656	81704901.81135157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142447035.735386	0.0	0.0	19882323.461021435	0.0	0.0	0.0	0.0	0.0	0.0	33123410.62636948	57233729.82686989	0.0	0.0	0.0	0.0	0.0	231511031.9947441	0.0	0.0	166448043.2455258	0.0
HILICZ_negative|IK:FBPFZTCFMRRESA-KVTDHHQDSA-N	32273395.496824536	459934997.7626598	57795374.016153015	0.0	0.0	13736684.616582083	0.0	0.0	21138864.04854999	9424894.20130712	0.0	0.0	0.0	278373876.9356641	17887773.11204431	0.0	0.0	0.0	194674812.17541426	0.0	136633027.98598498	0.0	0.0	0.0	12356719.871487485	0.0	201803495.14100623	37383428.13501431	1795581.8172129532	0.0	0.0	0.0	0.0	0.0	23581885.339524038	0.0	8634177.129524194	0.0	10225744.274574582	449924264.7371649	0.0	155117125.26815397	0.0	0.0	134098643.28149131	1406772.3169384138	0.0	0.0	0.0	286853911.3865431	10696466.632103533	71501514.78826094	0.0	243587470.52127114	0.0	3064385.3533367496	0.0	18535700.72684147	0.0	21070539.769917734	11552752.845402602	5330306.827901841	0.0	263987541.8112997	0.0	0.0	0.0	0.0	20845949.7978045	56132137.08603951	1770577.3017546053	7755793.524649924	261352409.62769562	107023550.77786975	0.0	430200503.5565922	0.0	0.0	0.0	0.0	22567085.39410623	866015.1122929079	92045076.09454867	133128350.67171867	143164661.7562854	0.0	0.0	14536784.497663813	0.0	0.0	0.0	0.0	0.0	19029782.514836326	0.0	0.0	0.0	0.0	11329768.868616123	0.0	260668674.40195504	0.0	0.0	127079696.57662305	0.0
HILICZ_negative|IK:FBPFZTCFMRRESA-GUCUJZIJSA-N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56492946.56666281	0.0	0.0	0.0	0.0	0.0	0.0	131185243.49038155	172175531.85037526	0.0	0.0	23123425.513362855	0.0	20904023.529747017	0.0	0.0	0.0	0.0	0.0	44668206.72617225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	369538784.4408869	11856368.857424513	48389308.541922875	0.0	0.0	0.0	0.0	0.0	12983356.80129303	0.0	13988751.947868358	0.0	0.0	463639473.56062126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	312221092.7842232	0.0	0.0	0.0	0.0	30860123.290582262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35603604.94111704	0.0	19981256.398077264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15719570.462522907	18931401.38133815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12387125.12006249	0.0
HILICZ_negative|IK:HDTRYLNUVZCQOY-LIZSDCNHSA-N	43706605.4595101	136320275.96097654	61859165.59115712	38579365.93834094	18054032.651410587	71277923.56709912	36525321.09154801	59905168.84963992	29998940.840427447	34728257.4611943	47461780.73316797	22543348.599975917	0.0	0.0	56750993.414258905	96054277.60702167	38409624.90261725	32058445.074665777	91686031.74659058	31368330.10889975	124572193.76112969	51637902.38173714	27038351.86069	39864974.14004719	41150124.42742705	29783588.20985891	35660306.8947248	53009081.252634585	55805613.937591605	22798069.88173563	28291114.515154112	19463088.589868885	9666312.650686907	28917940.402866747	260136260.19266486	34822659.91341048	19776897.783189557	39027156.39571494	36135852.82864593	315945049.47697365	35912931.33294954	43281436.824705124	52082970.86234474	29912966.186085843	193817346.16069376	20386538.969153736	17993070.477458622	192633251.16249958	27289070.445042633	182530149.824503	83208744.89315878	131999311.81531097	25294293.52104688	47508041.49379095	22875105.453865703	17215133.139454048	111965996.97702314	35605255.0303524	31020404.363898832	42752411.42895831	93843558.6180875	13599699.123514943	51001235.03152707	25099029.922799855	44952677.85605669	12115827.789283568	22716675.18417131	16489710.037889963	54548469.8709859	56096346.89468637	38027244.66669439	62019089.9420556	316199387.94813055	27761088.27648908	29167919.576223254	54811032.05950817	28404589.30015711	12153079.776885621	29875994.843294304	37797148.000974596	12962729.764094379	43634176.86994187	75790516.09340824	77185289.04367444	45310449.15455182	27879117.01723136	16061375.18362176	63771198.92194976	45331915.51893911	16638123.32656733	22430477.013996243	23204520.230066333	25764360.43810484	44492900.71217175	18344321.854350105	30284055.680633254	27003884.772963382	36638552.8636059	23838000.510039784	36673684.12833843	38055706.86788388	26879968.31336452	32226468.03420552	109588028.5988371	20111096.44359862
HILICZ_positive|IK:OIRDTQYFTABQOQ-KQYNXXCUSA-N	80848319.46729164	99816739.47262585	17732026.255583413	18545993.809130147	26408639.088298697	0.0	139796399.64294568	37578232.92455079	45109049.951770626	16709059.605453417	0.0	10449711.993472189	0.0	0.0	53700582.33956888	63603500.847698495	27114862.320471626	20870374.41184197	76749727.59139545	0.0	81119205.35158546	45268176.22806618	31595322.116004325	13541990.98958013	20252151.780879177	13438370.067518946	157300047.6089419	34252670.012230426	31943486.632179204	16457162.617278695	11078281.922655324	23510004.527165223	24391222.275096387	29056250.149871	234537469.04822332	36304108.259626456	45926209.74214153	38262338.489180796	20901153.893117283	0.0	12800047.019048423	156857591.42980558	35122769.64917827	30186470.87151235	113140668.37264852	22364744.853759132	6013485.347164387	230918579.04988253	8298408.110116459	0.0	0.0	106256589.55838883	26382109.605396807	232458212.77583805	16379415.847044107	25340278.23571252	83148163.34753588	42567842.35523679	24931517.848134518	43209512.10995226	79999654.31001875	43801841.23438835	37791889.86431737	38934450.79587196	45053456.03364734	10010487.90154945	27934521.89014919	26083189.60622175	36095458.00948555	46036441.83935152	22944883.743623443	40030177.74557372	269773023.80486333	63240389.07334048	26010826.978331093	250482902.41885254	14459833.00769657	17145138.911034063	16784699.17958286	10005592.800092546	0.0	0.0	74175314.02747501	56528877.46472759	95079316.7173368	12513582.283738514	4349777.944979345	0.0	0.0	21678782.999095168	30550949.860581025	20728455.95100784	23106136.375181593	93246174.2932695	22428026.70844531	21177306.280843053	26453153.881700635	12687846.095987396	29775123.649219926	18135080.49041574	38208403.90679275	9204165.600319525	21705971.654856823	86728887.8147963	5516812.870884619
HILICZ_negative|IK:IJFXRHURBJZNAO-UHFFFAOYSA-N	22612039.48519428	292328969.9801121	48436496.93190042	175744.44918213505	894666.1821307956	0.0	6582594.588836234	3027066.9634079947	41507394.335196085	2222326.9715730916	0.0	597938.0394593254	2475462.892051703	32148541.57305534	16329609.655493042	58868050.41608744	2942067.62352085	1707487.2859776025	97107325.53450418	1737589.0148382187	65318523.133747764	1685793.575283706	1035498.1178950964	988852.7479104953	2898491.3024640144	0.0	177718700.05588865	1865469.5394782987	1844834.271996494	1587974.2662911415	1522427.1178231237	1892800.2452342503	9137082.535094451	2714070.497303963	69869164.48125637	2743943.2682161327	50435583.09070199	1351704.8834524772	1914444.9675235744	0.0	2345151.5228500366	110263387.9162167	2892259.7377271676	1561612.8040595069	135808369.2600112	1572295.289482117	1627180.081350087	0.0	1692307.7862863531	105261597.44817208	4163103.782998629	31961861.781859618	2621373.5679302225	84863623.58484937	1775887.0120244059	9014525.42709597	53362631.52296064	3994870.633555024	10281863.061553277	24960280.196247593	32136792.328530636	1682266.8557906153	0.0	90972702.29997867	2795165.5006523174	1557297.5876371835	0.0	2735585.907748163	4273036.509367591	18794917.763032332	4009931.6810748586	11641456.658383003	8909170.326883603	58619718.391097225	813866.5727856173	1765996.6632409089	2814083.805346491	3118368.1499382285	17483572.15026838	1715953.7740860027	19735351.916970756	1827755.437410358	17671588.24867716	2769294.9698901107	54903364.38857262	4556770.726037808	4181843.2445830083	2454499.3582820892	1855514.8166310783	1516793.8387837408	1690078.0757479658	2878942.7954617157	0.0	41254981.729541406	2636567.6668152814	2595039.7844544863	0.0	1744048.4015181055	6106884.291966295	1681607.7282066334	367534813.80579424	1749323.1726601114	0.0	97034844.60366936	1764157.0199990286
HILICZ_positive|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N	32364837.305518493	124196177.59483711	57159882.43155047	21661606.095923573	5629884.844020902	22135645.455618843	13924803.24281045	17778919.568172224	9553761.920624968	11401926.971510546	51229593.00735002	7135058.554844218	0.0	109968222.1564575	39553881.87237836	71637700.31878896	11728311.480276497	17152711.479609754	70357865.78117043	17066603.121202007	91260017.12751248	15862032.39744241	13023692.841883516	12198274.629795616	11899932.339630745	9587795.820636274	77430444.56169592	16333687.456227649	30791630.06305288	11488791.011263164	15807165.448345372	9718092.56724983	4413232.519129402	7495780.488617458	182033122.66156128	9232821.594169902	9981693.080782916	12023578.597100358	19944040.789643742	219896785.43515056	12948135.27845778	94807841.98405989	14952152.472529445	15974019.22507045	139968530.51353908	10318701.01285478	8742762.226884449	141633191.92629346	17352798.671035588	125649358.28197113	47362421.85491482	98427425.83010039	6098118.5668848865	173002932.96595523	13122216.244803207	12503699.047879506	84986457.51677723	10887310.53584437	17249403.679156337	38749739.73818523	71651196.7984713	182424053.83042336	16963038.17946495	14897135.540984632	12499227.455937617	5551025.125378758	6233732.241889721	8180391.4808084965	15620102.089965947	40655143.13621907	11172901.441359527	18867126.102769163	208062951.75849074	19200595.95285395	10172430.148661405	51804702.28361712	7270633.0707315635	3099578.936292026	8880199.231901221	19930521.955339577	9108876.57476568	17814766.849171326	56144070.04779847	58493162.333154105	207791044.1284938	23604958.034571208	9980094.64016204	21056699.744731016	30076755.976940986	8400764.628468651	11368853.291247752	12340974.732096443	13973262.618284144	32902267.97445282	4110693.936178789	25515409.522274204	9023764.874344468	23774142.392194122	19074814.549158845	19803686.02025405	169440353.33560184	14044542.020109277	10758927.64417577	103575938.32944675	12627412.327644035
C18_positive|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N	67407121.94265695	126882791.9692311	62185936.83676125	14828590.733833365	104929940.16141824	5842554.781764061	59253808.1207111	28829153.836649127	45849987.23863346	8812069.334878182	99007794.47131927	980045.1070265924	139544819.52189445	105587756.86708653	52055587.73379738	56394632.14716093	7768013.096720849	940109.5281148424	109292632.922116	6452754.864086906	125064349.25715733	38025816.84157642	11228455.640578259	1418424.075813939	1078427.3660579496	1458332.8169412662	0.0	12242799.044328555	3905557.1992544015	3312043.165588315	2325057.0987721677	3720155.7503632796	18833289.51414331	18544196.125874743	0.0	13897172.626831044	33966819.716414645	7394819.135817249	10545315.862822553	0.0	15805210.956820846	174898609.22014996	1787161.1600894248	13522287.938122688	0.0	6744662.225997508	343357.38398060494	145527802.9825543	408268.9334641694	22233496.442123912	104183538.87422356	89687775.48869915	5576602.754659215	0.0	13321945.704211764	18666314.11532155	83985547.27101064	75461581.41583851	51202791.16382955	61037138.47996465	119203629.90670413	177235720.738105	10200187.487454537	20332272.345459722	5581310.145225315	151261.47637871155	22072074.122517377	17393979.58705548	38254408.5577125	52992575.99515728	6527922.433844782	15177015.916340493	0.0	45296087.88346302	13096908.893174062	18124395.594723932	2333762.6868235962	11621514.974831244	18321946.58958989	3848068.9318145784	23596630.33987859	22988765.676607043	79524191.73883942	57503335.72193296	142159793.30439696	26038783.285086945	2875069.745198759	11694090.519004902	11270821.27290868	3550238.6893957923	14022277.117787305	31213827.67599067	23421511.53258142	101656893.28940432	8422329.015278393	34232553.89140932	9497742.207540428	1715009.3105823165	47651821.59307427	3398640.1175406566	0.0	596114.9216872404	4062942.12442529	123551843.1918394	385980.5249642706
