mg_feature,metabolite
Streptomyces virus Caliburn,HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N
Kitasatospora aureofaciens,HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N
Kitasatospora sp. MMS16-BH015,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N
Thermobispora bispora,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N
Kitasatospora sp. MMS16-BH015,HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N
Allokutzneria albata,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N
Streptomyces virus R4,HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N
Kitasatospora sp. MMS16-BH015,HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N
Pseudomonas mendocina,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N
Amycolatopsis methanolica,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N
Pseudomonas sp. K2W31S-8,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N
Pseudomonas granadensis,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N
Streptomyces xiamenensis,HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N
Nocardiopsis dassonvillei,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N
Thermomonospora curvata,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N
Pseudomonas reinekei,C18_positive|NAME:
Streptosporangium roseum,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N
Kytococcus sedentarius,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N
Halomonas sp. JS92-SW72,HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N
Pseudomonas sp. B10,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N
Halomonas sp. JS92-SW72,C18_positive|NAME:
Actinomadura amylolytica,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N
Nocardiopsis gilva,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N
Candidatus Solibacter usitatus,HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N
Micromonospora purpureochromogenes,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N
Streptomyces sp. TLI_053,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N
Pseudomonas sp. DR 5-09,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N
Streptomyces sp. TLI_053,HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N
Streptacidiphilus sp. DSM 106435,HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N
Pseudomonas moraviensis,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N
Pseudomonas fragi,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N
Pseudomonas entomophila,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N
Pseudomonas sp. Z003-0.4C(8344-21),C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N
Pseudomonas kribbensis,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N
Kitasatospora setae,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N
Pseudomonas umsongensis,C18_negative|NAME:
Pseudomonas mucidolens,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N
Kitasatospora setae,HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N
Pseudomonas umsongensis,C18_positive|NAME:
Kitasatospora aureofaciens,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N
Kitasatospora aureofaciens,HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N
Pseudomonas thivervalensis,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N
Streptomyces sp. SCSIO 03032,HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N
Streptomyces katrae,HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N
