metabolite,mg_feature,spearman_corr,spearman_pvalue,abs_spearman_corr,direction
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,Streptomyces virus Amela,0.6207692869757595,1.6193508186437095e-12,0.6207692869757595,positive
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,Streptomyces virus Caliburn,0.6184656919751287,2.0630944153188396e-12,0.6184656919751287,positive
HILICZ_negative|IK:WJAOHEPEBANKEO-UHFFFAOYSA-N,Lentzea guizhouensis,0.6169394125151076,2.4195501851583884e-12,0.6169394125151076,positive
HILICZ_negative|IK:WJAOHEPEBANKEO-UHFFFAOYSA-N,Nakamurella panacisegetis,0.6049830690244999,8.189653759790392e-12,0.6049830690244999,positive
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,Pseudomonas umsongensis,0.6019522167902165,1.1066720744896196e-11,0.6019522167902165,positive
HILICZ_negative|IK:WJAOHEPEBANKEO-UHFFFAOYSA-N,Actinoplanes teichomyceticus,0.6007070196941143,1.2512393148934421e-11,0.6007070196941143,positive
HILICZ_negative|IK:WJAOHEPEBANKEO-UHFFFAOYSA-N,Micromonospora rifamycinica,0.6001993062227173,1.3152720847847227e-11,0.6001993062227173,positive
HILICZ_negative|IK:WJAOHEPEBANKEO-UHFFFAOYSA-N,Saccharothrix espanaensis,0.5952019522199247,2.139662908065114e-11,0.5952019522199247,positive
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,Streptomyces virus R4,0.5942676450973169,2.3412806091743255e-11,0.5942676450973169,positive
HILICZ_negative|IK:WJAOHEPEBANKEO-UHFFFAOYSA-N,Jiangella sp. DSM 45060,0.5940699402918622,2.3862331960999075e-11,0.5940699402918622,positive
HILICZ_negative|IK:WJAOHEPEBANKEO-UHFFFAOYSA-N,Micromonospora krabiensis,0.5939033990359499,2.424744829690719e-11,0.5939033990359499,positive
HILICZ_negative|IK:WJAOHEPEBANKEO-UHFFFAOYSA-N,Nakamurella multipartita,0.5938340467442265,2.4409582583521742e-11,0.5938340467442265,positive
HILICZ_negative|IK:WJAOHEPEBANKEO-UHFFFAOYSA-N,Micromonospora echinaurantiaca,0.5934230410121075,2.5392116522987656e-11,0.5934230410121075,positive
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,Catenulispora acidiphila,-0.5933753782442837,2.5508494653997828e-11,0.5933753782442837,negative
HILICZ_negative|IK:WJAOHEPEBANKEO-UHFFFAOYSA-N,Actinoplanes derwentensis,0.59180152303632,2.965373297074513e-11,0.59180152303632,positive
