experiment_id,rare_filter,feature_selection,fs_top_k,dim_reduction,n_components,integration,model,n_samples,n_features_after_filter,n_mg_features_after_filter,n_soil_features_after_filter,n_metabolites,mean_r2,median_r2,max_r2,std_r2,n_r2_gt_0,n_r2_gt_02,n_r2_gt_04,n_r2_gt_06,mean_spearman,runtime_sec
B15_late_mi500_rf,0.05,mutual_info,500.0,none,,late,rf,105,3059,3039,20,47,0.3362280415949507,0.3211262101471794,0.6983987094472053,0.110019387483049,47,43,11,2,0.5394238230041851,582.92
B14_late_rf,0.05,none,,none,,late,rf,105,3059,3039,20,47,0.3336676491095346,0.3181996940342237,0.68238430775696,0.1072976154151269,47,45,11,2,0.5395596934329906,215.41
B12_mbspca10_rf_intermediate,0.05,none,,minibatch_sparse_pca,10.0,intermediate,rf,105,3059,3039,20,47,0.312177350370592,0.2991038058624929,0.6191121385669618,0.0992420425904234,47,41,6,1,0.5265218451010419,429.88
B03_rare10_extratrees,0.1,none,,none,,early,extratrees,105,2922,2454,468,47,0.308030307271712,0.3047392344400876,0.6360205212746941,0.1147432912526701,46,42,8,1,0.5268536802004044,94.64
B02_rare5_extratrees,0.05,none,,none,,early,extratrees,105,3059,2568,491,47,0.3078964303664422,0.2970629982835653,0.6415008066246151,0.116273928787461,46,42,9,1,0.5264476135334739,96.1
B01_extratrees_baseline,0.0,none,,none,,early,extratrees,105,3059,2568,491,47,0.3078964303664422,0.2970629982835652,0.6415008066246151,0.116273928787461,46,42,9,1,0.5264476135334739,93.68
B04_xgboost_light,0.0,none,,none,,early,xgboost_light,105,3059,2568,491,47,0.2965170934676876,0.2870980243622624,0.6387440364781587,0.1215139651946491,46,42,9,2,0.5316558662821252,159.94
B05_rare5_xgboost_light,0.05,none,,none,,early,xgboost_light,105,3059,2568,491,47,0.2965170934676876,0.2870980243622624,0.6387440364781587,0.1215139651946491,46,42,9,2,0.5316558662821252,157.85
B13_pca20_rf_intermediate,0.05,none,,pca,20.0,intermediate,rf,105,3059,3039,20,47,0.2965124745977703,0.2808764369227536,0.6201421098650098,0.1015002963081371,47,40,5,1,0.5126482422323728,120.98
B16_borutaLight300_rf,0.05,boruta_light,300.0,none,,early,rf,105,3059,2568,491,47,0.2932532652370443,0.2772911063155738,0.6723129272135666,0.1378550686116522,45,37,10,2,0.5088228883360756,183.21
B06_rare5_mi500_xgboost_light,0.05,mutual_info,500.0,none,,early,xgboost_light,105,3059,2568,491,47,0.2845662182944914,0.2652699845507157,0.6182970410976716,0.1252192102896628,46,40,9,2,0.5224471762964878,462.97
B09_pls2,0.05,none,,none,,early,pls2,105,3059,2568,491,47,0.2134006397356748,0.2068266297607519,0.6184332736697271,0.1722321505507475,45,24,6,1,0.5000477965694018,14.6
B10_pls5,0.05,none,,none,,early,pls5,105,3059,2568,491,47,-0.7086067931364991,-0.4371113314094546,0.4487639338159596,1.176809920749071,13,7,2,0,0.4708963874532529,15.86
B11_pls10,0.05,none,,none,,early,pls10,105,3059,2568,491,47,-1.7922338314250037,-1.0862704485498655,0.3252564862280058,2.369307299352916,7,4,0,0,0.4706341858986688,19.01
