experiment_id,n_metabolites,mean_r2,median_r2,max_r2,std_r2,n_r2_gt_0,n_r2_gt_02,n_r2_gt_04,n_r2_gt_06,mean_spearman
E00_baseline_rf,47,0.32070651647388,0.3071402992727571,0.674954394510772,0.1142764506585564,46,43,8,2,
E01_rare5_rf,47,0.32070651647387993,0.3071402992727571,0.674954394510772,0.11427645065855643,46,43,8,2,
E02_rare10_rf,47,0.3174448625424972,0.3045910422496756,0.6686277070768273,0.11515334979343408,46,43,8,2,
E03_rare5_mi500_rf,47,0.31589326678008317,0.3020100068850394,0.679703946923765,0.11736756074053187,47,43,9,2,
E04_rare5_spearman500_rf,47,0.3156772220880209,0.2987064134360787,0.6849341733714494,0.11713804844071496,47,43,8,1,
E08_rare5_mi500_xgboost,47,0.2734689428779645,0.261038470451245,0.6187164680839266,0.120464089457447,46,34,6,1,
E11_rare5_pls,47,-0.7086067931364991,-0.4371113314094546,0.4487639338159596,1.1768099207490712,13,7,2,0,
E06_rare5_pca50_pls_intermediate,47,-9.6669952218092,-4.665548557913247,0.3079466487444359,10.94358092885156,5,1,0,0,
E10_rare5_elasticnet,47,-11.125671182283426,-0.3707979018982514,0.4221441066385113,26.314509516029094,12,5,1,0,
E05_rare5_lassoFS500_elasticnet,47,-15.690366813668174,-0.4329999909040836,0.3852363698006884,45.8568103985903,10,3,0,0,
E09_rare5_lasso,47,-17.480303376584555,-0.3905534110574533,0.2879214091317436,53.632576221408236,6,3,0,0,
