experiment_id,metabolite,r2,rmse,rare_threshold,mi_k,reduction,n_components,n_mg_features_after_filter,n_soil_features_after_filter
DR01_late_mi500_rf_none,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.7010882484044818,3.5846446026642096,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.6115286848616903,3.4949271672853124,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.5117676736032639,3.488336047890398,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,HILICZ_negative|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,0.2864129765253576,5.316376197109928,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,0.47536069777679746,4.341901986210403,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.48054062835492983,4.185435251777264,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.4062334235023133,3.709872355838774,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.3838580599097774,4.601677787879373,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,0.414531782854172,3.582508337897613,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.45030657281732367,4.852515015257225,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.4134177367754116,1.3302303208835302,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0.4254367728636417,4.069103202285955,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.3140128562168305,1.1154941625756603,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,0.3830498515017827,4.352202771595235,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.35633950440232065,4.5657281617907595,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.37722309802724774,5.397486510779708,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.3193549000787358,5.212231029069751,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,0.3288216462786969,5.256968522623108,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_positive|NAME:,0.3361016852567241,0.5422198605323995,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,0.32425323602634126,3.944761662861563,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,0.33143377023253795,4.961968268841774,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,0.31558789109609386,5.464479196397881,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.3972247337786561,3.834729816484202,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,0.3414329925019072,4.074651230983273,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,0.3302294005057427,4.892100486130395,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.33374138301670775,4.716856895009001,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,0.28842972513707044,4.854399343649127,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,0.327195542771639,4.652678880056535,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,0.31056197662315677,6.164778442758955,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,HILICZ_positive|IK:SIOXPEMLGUPBBT-UHFFFAOYSA-N,0.2458380847126942,5.058502253910516,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_positive|IK:OVASVJPBDPJABT-UHFFFAOYSA-N,0.3469106112298419,4.369194477082976,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,0.24525407542730793,7.307602619082052,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,0.2886289246335889,5.230618927542966,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,0.26838503207082276,4.764481960919391,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,0.31471109704749656,4.458582963585319,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,0.3040470006533724,4.8916530748709794,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|IK:LJCWONGJFPCTTL-ZETCQYMHSA-N,0.19409012066253495,5.677397318107138,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,0.22837692338220272,6.50253777593807,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,C18_negative|NAME:,0.2553826033611447,0.7527327843907307,0.0,500,none,,3039,20
DR01_late_mi500_rf_none,HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,0.29581337562851473,6.00660772167492,0.0,500,none,,3039,20
