experiment_id,metabolite,r2,rmse,rare_threshold,mi_k,reduction,n_components,n_mg_features_after_filter,n_soil_features_after_filter
DR08_late_mi500_svd10_rf,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.6496949488008058,3.8805904392911574,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.5916180219342342,3.5833723307652026,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.48804297622343795,3.572085152366588,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,HILICZ_negative|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,0.25173330820657347,5.444029122128547,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,0.48190983254312303,4.314716641027692,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.44807910187601774,4.314229600294712,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.3680180981635728,3.8273961387863196,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.38690932884163876,4.590269391373076,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,0.43290576932986824,3.5258445624644548,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.38414339235520745,5.136253126160746,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.3902346803960517,1.3562624549983482,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0.4795273972618286,3.87283262323979,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.3089888767586013,1.119571495711366,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,0.3115027012765881,4.597642566354394,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.30955890572184197,4.728734589496251,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.29834951191898895,5.729091165064625,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.3409954254660421,5.128702536344598,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,0.2865281643718466,5.420069092979301,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_positive|NAME:,0.27882105969128645,0.5651271286376949,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,0.1830762047951393,4.337300923407477,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,0.3039607432257324,5.0628916356843305,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,0.3445867356415532,5.347460038957582,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.32856160431826664,4.047251052936029,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,0.33531985213942517,4.093518997801982,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,0.35332501157732576,4.80701371507081,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.31243561433265343,4.791681768730891,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,0.2623435264952818,4.942579694288684,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,0.2637626825481736,4.867069665810719,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,0.29998955010450123,6.211866573973607,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,HILICZ_positive|IK:SIOXPEMLGUPBBT-UHFFFAOYSA-N,0.20786778933247096,5.184280436569217,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_positive|IK:OVASVJPBDPJABT-UHFFFAOYSA-N,0.3616059450370944,4.319758613227763,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,0.15596215698195592,7.727793241566826,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,0.2681361618825687,5.305424323625952,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,0.23977168317195519,4.856757472122182,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,0.29023867758338473,4.537495081354808,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,0.2681427428499785,5.016246675321315,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:LJCWONGJFPCTTL-ZETCQYMHSA-N,0.16506842597018556,5.778717857859431,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,0.22955567374368224,6.497569159469274,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|NAME:,0.2512749551990977,0.7548061370998334,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,0.2329960176868704,6.268796814892195,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_positive|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.12314403400816598,2.0762161693022994,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,0.21008067249160645,5.858897675054466,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_positive|IK:RGHMISIYKIHAJW-UHFFFAOYSA-N,0.29891153101056955,5.5938374205880175,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.2316896776977735,5.427736901977429,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_positive|IK:PRYIJAGAEJZDBO-ZEQHCUNVSA-N,0.2316958769551204,4.463222854417625,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:PVWALMCXZUMCBB-UHFFFAOYSA-N,-0.014138431673118346,4.558161073693512,0.0,500,svd,10,3039,20
DR08_late_mi500_svd10_rf,C18_negative|IK:HMUJXQRRKBLVOO-UHFFFAOYSA-N,0.13781444850297275,5.22717067581699,0.0,500,svd,10,3039,20
