experiment_id,metabolite,r2,rmse,mi_k,n_components,sparsepca_alpha,mg_weight,soil_weight,rf_name,n_estimators,max_features,min_samples_leaf,max_depth
T268_mi500_spca75_a10_w7_rf_c,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.6794882195091461,3.711902908280717,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.5947076303037844,3.569791618206093,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.5509173974568498,3.345554936817272,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,HILICZ_negative|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,0.29352398616486053,5.289820601162359,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,0.5005827845973916,4.23624782685295,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.4823785754824136,4.178024253280408,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.41335516952738804,3.6875567924904504,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.39011934803561255,4.578236757878872,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,0.43908642394696173,3.5065781611363636,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.47084583450315276,4.7609950014810085,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.41771939899934707,1.3253437675638582,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0.46941731910599627,3.9102662192850546,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.28538267722216426,1.1385342070287794,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,0.35376379508486033,4.454302703981615,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.36446543427977063,4.536816470435778,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.3733493212006449,5.414247123601143,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.3020563398740056,5.278049749834488,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,0.31714054796273905,5.302516986225937,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_positive|NAME:,0.3310215089601153,0.5442904509849085,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,0.26111441258704204,4.1249375627786415,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,0.3071422277103817,5.051307547982084,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,0.36060139571415273,5.281724893127254,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
T268_mi500_spca75_a10_w7_rf_c,C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.39848849087599203,3.8307078284937757,500,75,1.0,0.7,0.30000000000000004,rf_c,500,0.3,2,
