metabolite,r2,rmse
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.6878560954630335,3.6631275312123566
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.5873572103680045,3.602017198837009
C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.5024856137499716,3.483853468626524
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.49500182542733706,3.5477250499561026
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.49481019120034264,4.651937876302894
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,0.49090706622169,4.277087540328832
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.4753285835800405,4.20638032470082
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,0.4322829292643814,3.5277802501270665
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.4002064857955836,3.7286530672102676
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.3996884748066727,1.345707646129948
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.39396071533494104,4.563795842959137
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0.39224366274145916,4.184991104815808
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.3906399188182108,5.339029462973935
HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,0.360542556161791,5.281967908342675
C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,0.35183853057998193,4.566676573056549
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,0.3488365635334697,4.051683003578659
C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,0.3399089482310206,4.501798036104017
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,0.3376880673350292,4.938704647288784
C18_positive|NAME:,0.32588012717364123,0.5463779985522367
C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,0.320751020191146,5.288480449785278
C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.31740468365721,5.116018497002976
C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.3153232952700572,5.227644811097101
C18_positive|IK:OVASVJPBDPJABT-UHFFFAOYSA-N,0.312912541562394,4.481475979025195
C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,0.31274234147758917,4.8609985007702
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,0.30942378017641037,4.4757499164325525
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.30880558353160803,4.731313585434426
HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,0.3074968200281515,5.160786177795483
C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,0.29582208619650496,4.829117819823218
C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,0.29446426583867447,5.0210186752461885
C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.26955006479490384,4.938857643307666
