,count,mean,std,min,25%,50%,75%,max
soil_pH,100.0,5.952100000000001,0.7680597291062378,4.83,5.14,6.154999999999999,6.665,7.18
soil_NH4,100.0,8.19576,5.866872529308227,0.0,3.5153749999999997,7.276999999999999,12.1955,31.937
soil_NO3,96.0,9.874588541666666,9.294389489305898,0.2345,1.3855,8.98775,15.950875,33.2955
soil_total_C,100.0,3.97665,2.5425003337206658,0.575,1.83925,3.2215,6.1107499999999995,10.626
soil_total_N,100.0,0.35045000000000004,0.15869546307314525,0.05,0.253,0.332,0.455,0.752
chem__LBC (mg/kg CaCO3/pH dry weight),100.0,934.23,415.12623989637785,296.0,571.75,845.0,1326.0,1791.0
chem__LBCeq (mg/kg CaCO3/pH dry weight),100.0,2709.2669999999994,1203.8660956994959,858.4,1658.075,2450.5,3845.4,5193.9
chem__pH,100.0,5.952100000000001,0.7680597291062378,4.83,5.14,6.154999999999999,6.665,7.18
chem__Ca (Mehlich 1 mg/kg dry weight),100.0,2246.4533000000006,352.03366582595277,1287.48,2042.695,2280.855,2481.135,3105.88
chem__K (Mehlich 1 mg/kg dry weight),100.0,220.474649,93.69456204764339,60.3044,153.28750000000002,205.5365,268.31825000000003,499.004
chem__Mg (Mehlich 1 mg/kg dry weight),100.0,421.43114,79.10458046297083,195.602,372.77,435.5185,469.878,584.535
chem__Mn (Mehlich 1 mg/kg dry weight),100.0,31.851088000000004,12.635112828021136,9.5918,22.862825,29.30955,39.051875,69.8454
chem__P (Mehlich 1 mg/kg dry weight),100.0,62.017262,40.178876657270514,7.862,24.701175,51.0567,104.592,127.807
chem__Zn (Mehlich 1 mg/kg dry weight),100.0,5.284443999999999,2.825649042999866,1.1197,2.8605,4.83165,7.5706750000000005,13.4053
chem__NH4-N (mg/kg dry weight),100.0,8.19576,5.866872529308227,0.0,3.5153749999999997,7.276999999999999,12.1955,31.937
chem__NO3-N (mg/kg dry weight),96.0,9.874588541666666,9.294389489305898,0.2345,1.3855,8.98775,15.950875,33.2955
chem__C (%),100.0,3.97665,2.5425003337206658,0.575,1.83925,3.2215,6.1107499999999995,10.626
chem__N (%),100.0,0.35045000000000004,0.15869546307314525,0.05,0.253,0.332,0.455,0.752
denit__Rate (microgN/kilogram dry weight soil/day),93.0,100.14872044012904,144.3156315941097,0.79429242,13.36388139,35.36854282,116.4714185,725.6165982
moist__Replicate 1 Mass Water / Mass Dry Soil %,100.0,20.08172452689,13.48909701902583,3.505154639,7.86232387825,14.793918829999999,31.8816224825,49.7005988
moist__Replicate 2 Mass Water / Mass Dry Soil %,100.0,19.791101432220003,13.2107459810294,3.080082136,8.157672062,15.60946271,31.1768878075,49.4011976
moist__Replicate 3 Mass Water / Mass Dry Soil %,100.0,19.88397824977,13.160195894159006,2.880658436,7.86637931025,16.046511629999998,31.845213425,49.25373134
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),100.0,3.4433314083899997,3.2968495920567453,-1.150544409,0.9710626365,2.1856351405,5.3200175537500005,15.06487556
psize__Soil Sand Content %,103.0,23.504251688980585,8.748350662193614,8.073303616,16.2961678,23.13843078,29.095846424999998,50.7174666
psize__Soil Clay Content %,103.0,32.97888441645632,22.297719358140082,3.568754679,12.000205285,33.5832084,50.49069419,78.78338279
psize__Soil Silt Content %,103.0,43.516863893660194,16.206984268064335,7.418397626,32.408679205,45.9057072,57.256946615000004,68.62989768
Acidiphilium cryptum,105.0,0.015057142857142838,0.00797451297214176,0.004,0.008,0.0139999999999999,0.021,0.038
Acidiphilium multivorum,105.0,0.01988571428571427,0.011718914925579383,0.004,0.009,0.019,0.027,0.048
Acidisphaera sp. G45-3,105.0,0.02768571428571428,0.017314574944089896,0.005,0.012,0.026,0.039,0.076
Actinopolymorpha singaporensis,105.0,0.05752380952380952,0.037683677153504055,0.008,0.023,0.053,0.087,0.142
Aeromonas hydrophila,105.0,0.012361904761904744,0.004308140348233015,0.005,0.009,0.012,0.015,0.032
Agarilytica rhodophyticola,105.0,0.0005333333333333334,0.0007729397760730764,0.0,0.0,0.0,0.001,0.005
Aggregatibacter aphrophilus,105.0,0.0002476190476190476,0.00043369947901195137,0.0,0.0,0.0,0.0,0.001
Agrococcus carbonis,105.0,0.01981904761904761,0.009662358519594072,0.004,0.011,0.019,0.027,0.05
Akkermansia glycaniphila,105.0,0.003847619047619044,0.002384972796091229,0.0,0.002,0.004,0.006,0.011
Akkermansia muciniphila,105.0,0.0036666666666666636,0.0022645540682891857,0.001,0.002,0.004,0.005,0.013
Algoriphagus machipongonensis,105.0,0.0006571428571428572,0.0005340082725621723,0.0,0.0,0.001,0.001,0.002
Algoriphagus sp. M8-2,105.0,0.0005714285714285715,0.0005162204146326611,0.0,0.0,0.001,0.001,0.002
