chem__LBCeq (mg/kg CaCO3/pH dry weight),chem__LBC (mg/kg CaCO3/pH dry weight),chem__Ca (Mehlich 1 mg/kg dry weight),denit__Rate (microgN/kilogram dry weight soil/day),chem__K (Mehlich 1 mg/kg dry weight),chem__Mg (Mehlich 1 mg/kg dry weight),chem__P (Mehlich 1 mg/kg dry weight),psize__Soil Clay Content %,psize__Soil Silt Content %,moist__Replicate 1 Mass Water / Mass Dry Soil %,moist__Replicate 2 Mass Water / Mass Dry Soil %,moist__Replicate 3 Mass Water / Mass Dry Soil %,chem__Mn (Mehlich 1 mg/kg dry weight),chem__NO3-N (mg/kg dry weight),soil_NO3,psize__Soil Sand Content %,chem__NH4-N (mg/kg dry weight),soil_NH4,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),chem__Zn (Mehlich 1 mg/kg dry weight)
2349.0,810.0,2631.36,35.26643924,203.92,557.714,51.4213,33.5832084,43.27836082,13.8952164,14.38356164,14.38356164,30.7649,4.5255,4.5255,23.13843078,5.5805,5.5805,2.503510572,3.1255
1531.2,528.0,2044.05,19.8191739,184.092,398.928,122.088,62.79069767,28.45126175,3.512396694,3.080082136,3.305785124,18.3765,0.463,0.463,8.758040574,0.0,0.0,0.626051569,4.2708
1670.4,576.0,2267.67,13.13655709,491.482,456.284,77.6349,37.17980602,42.72569013,8.71459695,8.932461874,9.649122807,24.8096,2.2445,2.2445,20.09450385,3.866,3.866,1.091493065,3.1935
5193.9,1791.0,1828.16,31.86766518,136.782,313.425,14.61,14.73526474,56.19380619,36.31436314,40.33613445,37.53424658,30.5113,8.8145,8.8145,29.07092907,16.687,16.687,5.328337288,4.8124
896.1,309.0,1414.83,2.017894388,109.268,289.001,89.0418,74.69166256,12.7775037,4.821802935,3.519668737,2.886597938,9.5918,0.3755,0.3755,12.53083374,2.6065,2.6065,0.192892729,1.1197
3906.3,1347.0,2459.23,335.011698,223.981,476.143,29.3876,13.40561853,51.74963036,34.31635389,23.51485149,38.61111111,37.9868,28.0405,28.0405,34.84475111,17.49,17.49,15.06487556,13.3917
4210.8,1452.0,2568.36,,233.882,401.36,29.7246,9.108862009,62.94742039,28.46153846,22.05882353,25.0,53.8359,16.977,16.977,27.9437176,11.693,11.693,5.730905863,8.171
4930.0,1700.0,2120.86,213.6232477,125.15,401.422,14.7876,14.67133217,56.23594101,36.61202186,40.4494382,39.44444444,32.171,21.445,21.445,29.09272682,13.4125,13.4125,8.812693016,7.6781
3955.6,1364.0,2093.64,387.539706,69.5327,374.933,20.7205,19.81037924,57.38522954,34.31635389,38.99721448,36.78474114,37.4526,13.3625,13.3625,22.80439122,14.06,14.06,6.222055235,6.1641
3816.4,1316.0,1886.08,27.24841898,60.3044,364.595,7.862,12.15183633,56.69213705,27.80612245,35.50135501,30.05181347,40.0784,11.0665,11.0665,31.15602662,13.7945,13.7945,4.742789854,4.2092
1809.6,624.0,2397.08,21.48761446,300.262,460.744,109.603,14.40824489,62.38466116,8.932461874,9.150326797,10.13215859,29.5902,1.928,1.928,23.20709395,3.5615,3.5615,0.851174912,4.0
4103.5,1415.0,1963.54,41.60799106,181.069,399.987,13.0907,3.863298663,66.86478455,14.48275862,19.28571429,19.85645933,28.8914,18.1475,18.1475,29.27191679,10.677,10.677,4.454694801,5.5845
1093.3,377.0,1764.86,3.990596584,222.738,312.3,121.937,71.27263706,19.39965269,4.158004158,4.175365345,4.811715481,14.6228,0.836,0.836,9.327710246,2.1955,2.1955,0.342967221,3.4332
2273.6,784.0,2749.71,102.6126895,240.767,519.957,56.3999,45.6875308,33.26761952,12.58426966,12.38738739,13.37868481,36.5312,,,21.04484968,4.193,4.193,1.65965049,5.1577
1319.5,455.0,2015.2,6.000736054,165.924,400.552,104.324,55.11307768,20.10816126,4.831932773,4.175365345,3.519668737,16.7989,1.3215,1.3215,24.77876106,2.6175,2.6175,0.745021916,2.2483
1447.1,499.0,2331.84,26.70074928,251.476,397.536,119.226,74.03043692,12.27295042,7.510729614,6.595744681,6.609808102,23.085,1.403,1.403,13.69661267,8.3015,8.3015,0.300526475,6.7812
4950.3,1707.0,2380.02,250.8925103,73.1555,440.041,17.9504,11.84857424,58.65290069,49.7005988,41.64305949,49.25373134,50.4862,26.191,26.191,29.49852507,18.515,18.515,6.943009021,6.0461
2720.2,938.0,2495.69,,315.498,416.181,51.1113,6.992834198,66.71608599,16.78321678,16.04651163,20.48192771,47.2246,12.513,12.513,26.29107981,31.937,31.937,3.798491481,7.9155
858.4,296.0,1287.48,0.79429242,129.847,250.941,115.698,73.66849179,9.507217521,3.742203742,4.375,4.175365345,16.0294,0.542,0.542,16.82429069,3.8565,3.8565,0.126958517,1.265
1574.7,543.0,2232.42,0.845794251,220.794,458.483,111.376,50.89438863,34.30531732,4.393305439,4.60251046,5.473684211,20.2892,0.6115,0.6115,14.80029405,2.8415,2.8415,0.655436266,2.3346
1890.8,652.0,2449.89,9.968578683,255.944,450.242,102.823,53.72353674,28.19427148,6.837606838,8.008658009,6.808510638,26.1187,2.0535,2.0535,18.08219178,3.9165,3.9165,0.829540403,4.4023
3955.6,1364.0,2038.63,335.4903999,105.809,387.456,23.2147,12.42979243,53.38217338,45.0867052,48.21428571,46.90265487,39.464,23.581,23.581,34.18803419,13.491,13.491,12.77201764,6.2449
1893.7,653.0,2440.33,20.01263426,206.03,493.054,82.1159,34.19163159,47.04134687,10.35242291,10.13215859,10.35242291,26.9571,2.935,2.935,18.76702154,4.446,4.446,1.498015383,2.8401
1392.0,480.0,2127.44,358.4111856,210.536,436.017,110.758,62.79069767,22.26620485,43.71428571,41.35977337,30.62827225,33.3969,0.407,0.407,14.94309748,2.5755,2.5755,11.34820974,3.4735
