soil_variable,metabolite,correlation,abs_correlation
psize__Soil Clay Content %,HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,0.5769278475283973,0.5769278475283973
chem__P (Mehlich 1 mg/kg dry weight),HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,0.5446372004457715,0.5446372004457715
chem__LBC (mg/kg CaCO3/pH dry weight),HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,-0.526463034334096,0.526463034334096
chem__LBCeq (mg/kg CaCO3/pH dry weight),HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,-0.5264630343340959,0.5264630343340959
chem__NO3-N (mg/kg dry weight),HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,-0.5258376510063095,0.5258376510063095
soil_NO3,HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,-0.5258376510063095,0.5258376510063095
psize__Soil Clay Content %,HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,-0.5167013582046776,0.5167013582046776
psize__Soil Silt Content %,HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,-0.509898589939489,0.509898589939489
moist__Replicate 1 Mass Water / Mass Dry Soil %,HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,-0.5025825947593697,0.5025825947593697
chem__P (Mehlich 1 mg/kg dry weight),HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,-0.49376943341501023,0.49376943341501023
moist__Replicate 3 Mass Water / Mass Dry Soil %,HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,-0.4867149990812195,0.4867149990812195
moist__Replicate 2 Mass Water / Mass Dry Soil %,HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,-0.4718400743474964,0.4718400743474964
psize__Soil Clay Content %,HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,0.47038873395434866,0.47038873395434866
psize__Soil Clay Content %,HILICZ_negative|IK:KCOOTJRKKIDHTM-UHFFFAOYSA-N,0.4678898642277263,0.4678898642277263
psize__Soil Clay Content %,HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,0.4641641052104073,0.4641641052104073
psize__Soil Silt Content %,HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.45922424599792344,0.45922424599792344
chem__LBC (mg/kg CaCO3/pH dry weight),HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.4559829306645849,0.4559829306645849
chem__LBCeq (mg/kg CaCO3/pH dry weight),HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.4559829306645848,0.4559829306645848
chem__LBCeq (mg/kg CaCO3/pH dry weight),HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,-0.4488782872732823,0.4488782872732823
chem__LBC (mg/kg CaCO3/pH dry weight),HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,-0.44887828727328216,0.44887828727328216
soil_NO3,HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,-0.44434332294858886,0.44434332294858886
chem__NO3-N (mg/kg dry weight),HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,-0.44434332294858886,0.44434332294858886
chem__P (Mehlich 1 mg/kg dry weight),HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,0.43844500475708975,0.43844500475708975
psize__Soil Silt Content %,HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,-0.43253109761762737,0.43253109761762737
psize__Soil Silt Content %,HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,-0.41551000517561437,0.41551000517561437
moist__Replicate 3 Mass Water / Mass Dry Soil %,HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,-0.40916504697271516,0.40916504697271516
moist__Replicate 3 Mass Water / Mass Dry Soil %,HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.40907092051733845,0.40907092051733845
chem__Mn (Mehlich 1 mg/kg dry weight),HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,-0.4068366324169822,0.4068366324169822
chem__NO3-N (mg/kg dry weight),HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.4061329968957456,0.4061329968957456
soil_NO3,HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.4061329968957456,0.4061329968957456
