,variance
HILICZ_positive|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N,4.023749299336667e+16
HILICZ_positive|NAME:,1.8595545687576988e+16
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,1.3687308168466428e+16
HILICZ_negative|IK:FBPFZTCFMRRESA-KVTDHHQDSA-N,9879457386842168.0
HILICZ_negative|IK:FBPFZTCFMRRESA-GUCUJZIJSA-N,4585364336559402.0
HILICZ_negative|IK:HDTRYLNUVZCQOY-LIZSDCNHSA-N,3094407420311298.5
HILICZ_positive|IK:OIRDTQYFTABQOQ-KQYNXXCUSA-N,3068358353061167.0
HILICZ_negative|IK:IJFXRHURBJZNAO-UHFFFAOYSA-N,2927074870745850.0
HILICZ_positive|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,2674906500764221.5
C18_positive|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N,1925033090590622.5
HILICZ_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,1775871103863194.8
HILICZ_positive|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,1750300154525886.5
C18_negative|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N,1309330243560952.8
HILICZ_negative|NAME:,1277172039730595.2
HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,1269354936536338.5
HILICZ_negative|IK:KRKNYBCHXYNGOX-UHFFFAOYSA-N,1208880780839227.0
HILICZ_negative|IK:HEBKCHPVOIAQTA-IMJSIDKUSA-N,856940473016549.1
HILICZ_negative|IK:FGSBNBBHOZHUBO-UHFFFAOYSA-N,803820263322186.0
C18_positive|NAME:,695237245741948.6
HILICZ_positive|IK:YNBADRVTZLEFNH-UHFFFAOYSA-N,564038756153384.2
HILICZ_positive|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,527493243970161.06
C18_negative|NAME:,481861786512149.9
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,427613800215581.1
