,HILICZ_negative|IK:KRKNYBCHXYNGOX-UHFFFAOYSA-N,HILICZ_negative|IK:FBPFZTCFMRRESA-KVTDHHQDSA-N,HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,HILICZ_positive|IK:OLXZPDWKRNYJJZ-UHFFFAOYSA-N,C18_positive|IK:WQZGKKKJIJFFOK-PHYPRBDBSA-N,HILICZ_positive|IK:KDJVHSVOXOZBDR-UHFFFAOYSA-N,HILICZ_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,HILICZ_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,C18_negative|IK:GUBGYTABKSRVRQ-QUYVBRFLSA-N,HILICZ_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,HILICZ_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,C18_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,HILICZ_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,C18_negative|IK:NJRLDXGREKHXGV-IVABAYMNSA-N,HILICZ_positive|IK:JHAXQRDTTACRKJ-FQDDALBOSA-N,HILICZ_negative|IK:SMUMBCREXHTKFN-VZOUQOBNSA-N,HILICZ_negative|IK:KCOOTJRKKIDHTM-UHFFFAOYSA-N
HILICZ_negative|IK:KRKNYBCHXYNGOX-UHFFFAOYSA-N,1.0,-0.12359420772150198,-0.23343713571241476,0.08875346349100256,0.08136749465627852,0.12516463706734726,-0.008578459660955658,0.28353414136149396,-0.19067318761928048,-0.27290191621383475,-0.27654966974875067,0.1423060956314954,0.09514713771341862,-0.013680589865644485,-0.14160404079506786,-0.017952287532145887,-0.0385293573255089,-0.017752399162032046,-0.027760023519134827,-0.10359621973087578
HILICZ_negative|IK:FBPFZTCFMRRESA-KVTDHHQDSA-N,-0.12359420772150198,1.0,0.5405920112392216,0.20556042971926533,0.1316961219548754,0.0663221643823531,0.13047113395734034,-0.4626063254746864,0.6233025388716475,0.27773286126653685,0.5910595668760353,-0.1165439599515167,-0.2814174075081029,0.4889895979550316,0.18579018137758652,-0.10694338401287226,0.17814352422909158,-0.060433472798851626,0.43871430997651173,0.5388147618391631
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,-0.23343713571241476,0.5405920112392216,1.0,0.0774015979575784,0.08323444200460357,-0.012466153291717364,0.15421951141267637,-0.35427483793139136,0.7226853580381665,0.3070001970522057,0.6306208896788912,-0.0988738179673693,-0.3358155518444179,0.3745932453478094,0.2837851630747234,-0.3044485011725657,0.0868916284458619,-0.08594338893780047,0.3770307129188243,0.5599377337091777
HILICZ_positive|IK:OLXZPDWKRNYJJZ-UHFFFAOYSA-N,0.08875346349100256,0.20556042971926533,0.0774015979575784,1.0,0.34327125225261906,0.6226274538658415,0.31810138064856985,-0.019686232406494555,0.17157484475807733,-0.34703159423360525,0.02622811395044555,0.32339333959159006,-0.054900406180997056,-0.05400300001707068,0.4291384988121925,-0.014209086999368827,0.7381581658204813,0.09248537961535598,0.42053218672901577,0.2856963561966425
C18_positive|IK:WQZGKKKJIJFFOK-PHYPRBDBSA-N,0.08136749465627852,0.1316961219548754,0.08323444200460357,0.34327125225261906,1.0,0.3499281905390564,0.27946678355142857,0.002868840328865016,0.1734395726856973,-0.2833780566960538,0.056178411338202505,0.2505108168813211,-0.026681190484877635,-0.012405705560346734,0.37494134487588465,-0.10765391538489379,0.4565835625440613,0.012726988441454553,0.35022607004608297,0.26749588589242007
HILICZ_positive|IK:KDJVHSVOXOZBDR-UHFFFAOYSA-N,0.12516463706734726,0.0663221643823531,-0.012466153291717364,0.6226274538658415,0.3499281905390564,1.0,0.412615739677014,0.16367339838557807,0.13051002537061218,-0.41420822195229934,-0.0424326792936135,0.36289048533267765,0.10624778620217085,-0.11111422442433747,0.4246919401805735,-0.01999398463532847,0.7843612599918045,0.2916455333681957,0.4141373064626641,0.21313405380411277
HILICZ_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,-0.008578459660955658,0.13047113395734034,0.15421951141267637,0.31810138064856985,0.27946678355142857,0.412615739677014,1.0,-0.12119775930607736,0.34287376170656675,-0.11653616075742641,0.134154158717549,0.1764447337440571,-0.03094933921529409,0.03638293254819727,0.29711161766134686,-0.04285615213950431,0.3991735525600552,0.20529934629648794,0.306287808495372,0.27673330356575343
HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.28353414136149396,-0.4626063254746864,-0.35427483793139136,-0.019686232406494555,0.002868840328865016,0.16367339838557807,-0.12119775930607736,1.0,-0.4984069280930533,-0.26676612400337296,-0.5397701490792306,0.1715453774419426,0.3323316110677193,-0.1728791989853807,-0.13540209979711848,0.221100357150644,-0.07715833611822503,0.0847549057265593,-0.24424670578127522,-0.3119472349288265
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,-0.19067318761928048,0.6233025388716475,0.7226853580381665,0.17157484475807733,0.1734395726856973,0.13051002537061218,0.34287376170656675,-0.4984069280930533,1.0,0.36593356958328804,0.7728240632869641,-0.008497706960103933,-0.41784980731283505,0.48207051606632106,0.37605205326380436,-0.39502120881155856,0.23474403249948603,0.016329877005569943,0.5206023002110244,0.7590105497464676
HILICZ_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,-0.27290191621383475,0.27773286126653685,0.3070001970522057,-0.34703159423360525,-0.2833780566960538,-0.41420822195229934,-0.11653616075742641,-0.26676612400337296,0.36593356958328804,1.0,0.43445029407887326,-0.34809963933038235,-0.28410133646701613,0.35115028457158126,-0.009647810117468616,0.013360209178824925,-0.3914039730568897,-0.19233717262571678,0.04321767444608899,0.2874925745797331
