,count,mean,std,min,25%,50%,75%,max
HILICZ_negative|IK:KRKNYBCHXYNGOX-UHFFFAOYSA-N,105.0,10.448292582348497,8.918264317150884,0.0,0.0,17.75943498789708,18.04794381920705,18.43763558209279
HILICZ_negative|IK:FBPFZTCFMRRESA-KVTDHHQDSA-N,105.0,7.9605641209157145,8.78903309050222,0.0,0.0,0.0,16.866623849573944,19.94659573042494
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,105.0,5.434653721030436,8.451864276313337,0.0,0.0,0.0,17.372169079694647,20.4116122441468
HILICZ_positive|IK:OLXZPDWKRNYJJZ-UHFFFAOYSA-N,105.0,8.307670227689105,8.29410511939184,0.0,0.0,13.322179030524351,16.644566460517765,17.814179064722445
C18_positive|IK:WQZGKKKJIJFFOK-PHYPRBDBSA-N,105.0,6.91829065985444,7.896559931374897,0.0,0.0,0.0,15.857059290871314,17.49476934705181
HILICZ_positive|IK:KDJVHSVOXOZBDR-UHFFFAOYSA-N,105.0,7.687497532916593,7.662760865490263,0.0,0.0,13.697606153138018,15.22053190921347,16.312008834898926
HILICZ_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,105.0,5.052205639321433,7.503651671539461,0.0,0.0,0.0,15.535021582791291,16.898789458225707
HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,105.0,12.538702844293134,7.491033844217251,0.0,0.0,16.47731201420642,17.56880538466138,18.925649522005184
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,105.0,5.87116672374623,7.460154762342493,0.0,0.0,0.0,14.39838599321665,18.985354315524933
HILICZ_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,105.0,5.191472248964404,7.459229139006169,0.0,0.0,0.0,13.737033906214233,19.371366948736867
HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,105.0,5.9574672395474515,7.43803572652708,0.0,0.0,0.0,14.018570983769006,18.577415813791912
C18_negative|IK:GUBGYTABKSRVRQ-QUYVBRFLSA-N,105.0,9.939213723668596,7.383286583313301,0.0,0.0,14.83443001403689,15.44626881543568,16.6351213996206
HILICZ_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,105.0,7.523907811875133,7.377623375177713,0.0,0.0,12.509149940529468,14.812318662668762,16.215649837229698
HILICZ_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,105.0,6.819408733785331,7.366964355093444,0.0,0.0,0.0,14.699278463340644,16.70827322230645
C18_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,105.0,8.093303433868146,7.346189788661955,0.0,0.0,13.5459152571737,14.970954973957795,15.8774424741632
HILICZ_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,105.0,9.21868506755694,7.344501203941621,0.0,0.0,13.73869732856672,15.508032659454486,17.534737392971618
C18_negative|IK:NJRLDXGREKHXGV-IVABAYMNSA-N,105.0,8.068897821147095,7.343646733076293,0.0,0.0,12.98496862947012,14.794898738626634,16.383518637817605
HILICZ_positive|IK:JHAXQRDTTACRKJ-FQDDALBOSA-N,105.0,6.854720161586541,7.279591484210605,0.0,0.0,0.0,14.36932195664103,16.55337161805747
HILICZ_negative|IK:SMUMBCREXHTKFN-VZOUQOBNSA-N,105.0,8.453168284700233,7.251546580929919,0.0,0.0,13.577406501742034,14.738791159242597,16.3941399467853
HILICZ_negative|IK:KCOOTJRKKIDHTM-UHFFFAOYSA-N,105.0,7.066520209602944,7.251250457282057,0.0,0.0,0.0,14.158555617625392,17.9208030481694
