column,variance
HILICZ_negative|IK:KRKNYBCHXYNGOX-UHFFFAOYSA-N,79.53543843056671
HILICZ_negative|IK:FBPFZTCFMRRESA-KVTDHHQDSA-N,77.24710266594303
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,71.43400974522156
HILICZ_positive|IK:OLXZPDWKRNYJJZ-UHFFFAOYSA-N,68.79217973152193
C18_positive|IK:WQZGKKKJIJFFOK-PHYPRBDBSA-N,62.355658749795516
HILICZ_positive|IK:KDJVHSVOXOZBDR-UHFFFAOYSA-N,58.717904081689085
HILICZ_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,56.30478840779694
HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,56.11558805520828
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,55.653909078101385
HILICZ_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,55.64009934819871
HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,55.32437546909322
C18_negative|IK:GUBGYTABKSRVRQ-QUYVBRFLSA-N,54.5129207713342
HILICZ_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,54.42932666596859
HILICZ_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,54.27216380921736
C18_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,53.96650441104118
HILICZ_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,53.941697934699924
C18_negative|IK:NJRLDXGREKHXGV-IVABAYMNSA-N,53.9291473402221
HILICZ_positive|IK:JHAXQRDTTACRKJ-FQDDALBOSA-N,52.992452176991556
HILICZ_negative|IK:SMUMBCREXHTKFN-VZOUQOBNSA-N,52.58492781539639
HILICZ_negative|IK:KCOOTJRKKIDHTM-UHFFFAOYSA-N,52.58063319423325
HILICZ_positive|IK:UAUDZVJPLUQNMU-KTKRTIGZSA-N,51.7406911044249
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,51.72812398986038
HILICZ_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,51.71895404522882
C18_positive|IK:BJHIKXHVCXFQLS-PQLUHFTBSA-N,51.51471662718696
HILICZ_positive|IK:NJMQSVWMCODQIP-FQXXIRCGSA-N,51.30310588008542
C18_positive|IK:ZUUPZDSDPDQRJK-VXPJCVMDSA-N,50.97862522479023
HILICZ_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,50.54622337210303
HILICZ_negative|IK:AMKYESDOVDKZKV-UHFFFAOYSA-N,50.45079370724044
HILICZ_positive|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,50.25426687438722
HILICZ_positive|IK:YNBADRVTZLEFNH-UHFFFAOYSA-N,49.96635765369443
HILICZ_negative|IK:YCIMNLLNPGFGHC-UHFFFAOYSA-N,49.93067706913942
HILICZ_negative|IK:VRYALKFFQXWPIH-UHFFFAOYSA-N,49.74630029372151
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,49.52790143593036
HILICZ_negative|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,49.02196454114865
HILICZ_negative|IK:WHBMMWSBFZVSSR-GSVOUGTGSA-N,48.99001310948225
HILICZ_negative|IK:ZBCATMYQYDCTIZ-UHFFFAOYSA-N,48.70949073456544
HILICZ_negative|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,48.60672155520861
HILICZ_negative|IK:IHCCAYCGZOLTEU-UHFFFAOYSA-N,48.57641206723553
C18_negative|IK:WQZGKKKJIJFFOK-DVKNGEFBSA-N,48.57168784995816
HILICZ_negative|IK:DLIKSSGEMUFQOK-UHFFFAOYSA-N,48.49530878567694
C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,48.16778386628169
HILICZ_positive|IK:CKTSBUTUHBMZGZ-SHYZEUOFSA-N,48.02111178322655
HILICZ_positive|IK:FDGQSTZJBFJUBT-UHFFFAOYSA-N,48.016670715651756
HILICZ_positive|IK:OZFDJYNLTZUREV-UHFFFAOYSA-N,47.96812752933003
HILICZ_positive|IK:ZBUMLAXYOMYUCL-UHFFFAOYSA-N,47.704888101020074
HILICZ_positive|IK:XEAQIWGXBXCYFX-UHFFFAOYSA-N,47.48950142210686
HILICZ_positive|IK:LZFOPEXOUVTGJS-UHFFFAOYSA-N,47.395417671702674
HILICZ_negative|IK:ODHCTXKNWHHXJC-UHFFFAOYSA-N,47.34180137696398
HILICZ_positive|IK:LJVMNMMAZVWXPY-UHFFFAOYSA-N,47.24466724670726
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,47.22876555122874
