,chem__LBCeq (mg/kg CaCO3/pH dry weight),chem__LBC (mg/kg CaCO3/pH dry weight),chem__Ca (Mehlich 1 mg/kg dry weight),denit__Rate (microgN/kilogram dry weight soil/day),chem__K (Mehlich 1 mg/kg dry weight),chem__Mg (Mehlich 1 mg/kg dry weight),chem__P (Mehlich 1 mg/kg dry weight),psize__Soil Clay Content %,psize__Soil Silt Content %,moist__Replicate 1 Mass Water / Mass Dry Soil %,moist__Replicate 2 Mass Water / Mass Dry Soil %,moist__Replicate 3 Mass Water / Mass Dry Soil %,chem__Mn (Mehlich 1 mg/kg dry weight),chem__NO3-N (mg/kg dry weight),soil_NO3,psize__Soil Sand Content %,soil_NH4,chem__NH4-N (mg/kg dry weight),nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),chem__Zn (Mehlich 1 mg/kg dry weight),chem__C (%),soil_total_C,soil_pH,chem__pH,nitrif__Technical Replicate,soil_total_N,chem__N (%)
chem__LBCeq (mg/kg CaCO3/pH dry weight),1.0,1.0,0.02674523617658657,0.662924030873058,-0.2053268445712952,-0.10698662443901767,-0.8958937156035931,-0.7748740003088304,0.7037348738264957,0.7394398738603822,0.7352190181544659,0.7489108259478724,0.5952042341960696,0.7645841954416888,0.7645841954416888,0.8295488236291637,0.889484959369319,0.889484959369319,0.7380150858997087,0.6465582939834448,0.9485827786229418,0.9485827786229418,-0.8237429980967773,-0.8237429980967773,0.08225298044946046,0.7338164034082181,0.7338164034082181
chem__LBC (mg/kg CaCO3/pH dry weight),1.0,1.0,0.02674523617658657,0.662924030873058,-0.2053268445712952,-0.10698662443901767,-0.8958937156035931,-0.7748740003088304,0.7037348738264957,0.7394398738603822,0.7352190181544659,0.7489108259478724,0.5952042341960696,0.7645841954416888,0.7645841954416888,0.8295488236291637,0.889484959369319,0.889484959369319,0.7380150858997087,0.6465582939834448,0.9485827786229418,0.9485827786229418,-0.8237429980967773,-0.8237429980967773,0.08225298044946046,0.7338164034082181,0.7338164034082181
chem__Ca (Mehlich 1 mg/kg dry weight),0.02674523617658657,0.02674523617658657,1.0,0.17861365900000048,0.31428331403128734,0.8374522575863003,0.08918118566252459,-0.1943728960522289,0.25466612686894013,0.07819086857331255,0.07905775188983785,0.10178675915749788,0.5147810224476288,0.17957874246828187,0.17957874246828187,-0.0018170458023054168,-0.002952304087334282,-0.002952304087334282,0.1346358674949579,0.4300462947702967,0.07744420908616313,0.07744420908616313,0.30369954949469574,0.30369954949469574,-0.18567377377791391,-0.1403642473925912,-0.1403642473925912
denit__Rate (microgN/kilogram dry weight soil/day),0.662924030873058,0.662924030873058,0.17861365900000048,1.0,-0.11997597794829203,0.02564829458983617,-0.6484437945749157,-0.5434724616720162,0.5199554069119287,0.7873782539259117,0.7855056576180501,0.7927602628095017,0.5180537733878428,0.5972931562819204,0.5972931562819204,0.5165890929691088,0.6089194592820268,0.6089194592820268,0.8270418668496912,0.5703052728954672,0.6713119248648837,0.6713119248648837,-0.427289147000767,-0.427289147000767,0.0016044951178257494,0.4422618538442427,0.4422618538442427
chem__K (Mehlich 1 mg/kg dry weight),-0.2053268445712952,-0.2053268445712952,0.31428331403128734,-0.11997597794829203,1.0,0.263775168843578,0.3012730311235616,-0.026146332755278997,0.007574187830970881,-0.15073495224044803,-0.17577590560227183,-0.16953358249841124,0.05600976900645973,0.04743640611939281,0.04743640611939281,-0.09542359481791289,-0.2407988022777183,-0.2407988022777183,-0.05290744946753326,0.16882138860378595,-0.1956747415226014,-0.1956747415226014,0.3593022829413583,0.3593022829413583,-0.10758667265636133,-0.22723154016567274,-0.22723154016567274
chem__Mg (Mehlich 1 mg/kg dry weight),-0.10698662443901767,-0.10698662443901767,0.8374522575863003,0.02564829458983617,0.263775168843578,1.0,0.20999699969997,-0.06313098308272194,0.12234059509464516,-0.06915340490788496,-0.07349777524413233,-0.05380964101649119,0.33383738373837385,-0.004869777536625068,-0.004869777536625068,-0.09861745569819662,-0.1806060606060606,-0.1806060606060606,0.009768976897689768,0.21492949294929492,-0.07431165410070681,-0.07431165410070681,0.4326617849986553,0.4326617849986553,-0.19053195508098505,-0.2231743432229467,-0.2231743432229467
chem__P (Mehlich 1 mg/kg dry weight),-0.8958937156035931,-0.8958937156035931,0.08918118566252459,-0.6484437945749157,0.3012730311235616,0.20999699969997,1.0,0.7718594694919947,-0.7141199497605978,-0.7172595477633431,-0.7188296047288837,-0.7392509742904613,-0.5433783378337834,-0.7022653282691265,-0.7022653282691265,-0.7995486090121181,-0.8472367236723672,-0.8472367236723672,-0.731053105310531,-0.5112391239123912,-0.8538159430459762,-0.8538159430459762,0.8035216022619075,0.8035216022619075,-0.09613360939423107,-0.5638976152026975,-0.5638976152026975
psize__Soil Clay Content %,-0.7748740003088304,-0.7748740003088304,-0.1943728960522289,-0.5434724616720162,-0.026146332755278997,-0.06313098308272194,0.7718594694919947,1.0,-0.9444629015952373,-0.6151781389876427,-0.61251502318898,-0.6440878967989044,-0.7243550304948869,-0.7756412803622487,-0.7756412803622487,-0.8269001608979534,-0.722990656592675,-0.722990656592675,-0.7100099777847149,-0.6610646579376075,-0.7230630929307355,-0.7230630929307355,0.6614147161794881,0.6614147161794881,-0.08709535672553465,-0.4417127848214152,-0.4417127848214152
psize__Soil Silt Content %,0.7037348738264957,0.7037348738264957,0.25466612686894013,0.5199554069119287,0.007574187830970881,0.12234059509464516,-0.7141199497605978,-0.9444629015952373,1.0,0.576061003332519,0.5666713425133383,0.6115057002418657,0.7026439441756084,0.7244229310407109,0.7244229310407109,0.6548254152196388,0.6650026458568432,0.6650026458568432,0.665232165968543,0.625958724633246,0.6659483514380483,0.6659483514380483,-0.5760595838517,-0.5760595838517,0.06432748579671345,0.4058159516348817,0.4058159516348817
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.7394398738603822,0.7394398738603822,0.07819086857331255,0.7873782539259117,-0.15073495224044803,-0.06915340490788496,-0.7172595477633431,-0.6151781389876427,0.576061003332519,1.0,0.9776612247513832,0.9760677400753058,0.5717037520807974,0.6694159105818108,0.6694159105818108,0.645915687134641,0.6927942204629747,0.6927942204629747,0.8460910689337166,0.5035164785674082,0.7118069415525086,0.7118069415525086,-0.5808471843153382,-0.5808471843153382,-0.01492380520469437,0.5398149898652141,0.5398149898652141
moist__Replicate 2 Mass Water / Mass Dry Soil %,0.7352190181544659,0.7352190181544659,0.07905775188983785,0.7855056576180501,-0.17577590560227183,-0.07349777524413233,-0.7188296047288837,-0.61251502318898,0.5666713425133383,0.9776612247513832,1.0,0.9766259095737357,0.5671414301190554,0.6378428608657987,0.6378428608657987,0.6371574215133656,0.6697070714052009,0.6697070714052009,0.8477507513115862,0.48722880169595695,0.700457262502949,0.700457262502949,-0.5773045243690117,-0.5773045243690117,-0.007982476506811642,0.531826092184324,0.531826092184324
moist__Replicate 3 Mass Water / Mass Dry Soil %,0.7489108259478724,0.7489108259478724,0.10178675915749788,0.7927602628095017,-0.16953358249841124,-0.05380964101649119,-0.7392509742904613,-0.6440878967989044,0.6115057002418657,0.9760677400753058,0.9766259095737357,1.0,0.5937243093756706,0.6726513067751405,0.6726513067751405,0.6539384803464273,0.7046380592259891,0.7046380592259891,0.8449979904600394,0.519775808623332,0.7229728316104841,0.7229728316104841,-0.5916115539842328,-0.5916115539842328,-0.005900144441476938,0.5427467242574688,0.5427467242574688
chem__Mn (Mehlich 1 mg/kg dry weight),0.5952042341960696,0.5952042341960696,0.5147810224476288,0.5180537733878428,0.05600976900645973,0.33383738373837385,-0.5433783378337834,-0.7243550304948869,0.7026439441756084,0.5717037520807974,0.5671414301190554,0.5937243093756706,1.0,0.6505697232772654,0.6505697232772654,0.6039649725721402,0.5998799879987999,0.5998799879987999,0.6027722772277228,0.8081608160816082,0.6346373676517243,0.6346373676517243,-0.42985915158125065,-0.42985915158125065,0.00034705274149541903,0.3748856106092105,0.3748856106092105
chem__NO3-N (mg/kg dry weight),0.7645841954416888,0.7645841954416888,0.17957874246828187,0.5972931562819204,0.04743640611939281,-0.004869777536625068,-0.7022653282691265,-0.7756412803622487,0.7244229310407109,0.6694159105818108,0.6378428608657987,0.6726513067751405,0.6505697232772654,1.0,1.0,0.7441055669794132,0.7582609875203472,0.7582609875203472,0.7565246880086814,0.7315653825284861,0.7747313304823796,0.7747313304823796,-0.7108349615749138,-0.7108349615749138,-0.03470345983571185,0.5524973549877843,0.5524973549877843
soil_NO3,0.7645841954416888,0.7645841954416888,0.17957874246828187,0.5972931562819204,0.04743640611939281,-0.004869777536625068,-0.7022653282691265,-0.7756412803622487,0.7244229310407109,0.6694159105818108,0.6378428608657987,0.6726513067751405,0.6505697232772654,1.0,1.0,0.7441055669794132,0.7582609875203472,0.7582609875203472,0.7565246880086814,0.7315653825284861,0.7747313304823796,0.7747313304823796,-0.7108349615749138,-0.7108349615749138,-0.03470345983571185,0.5524973549877843,0.5524973549877843
psize__Soil Sand Content %,0.8295488236291637,0.8295488236291637,-0.0018170458023054168,0.5165890929691088,-0.09542359481791289,-0.09861745569819662,-0.7995486090121181,-0.8269001608979534,0.6548254152196388,0.645915687134641,0.6371574215133656,0.6539384803464273,0.6039649725721402,0.7441055669794132,0.7441055669794132,1.0,0.792739490659023,0.792739490659023,0.6941156593818442,0.5983225851728058,0.8075844129348159,0.8075844129348159,-0.7549488188656629,-0.7549488188656629,0.0686643891197161,0.6066537453198276,0.6066537453198276
soil_NH4,0.889484959369319,0.889484959369319,-0.002952304087334282,0.6089194592820268,-0.2407988022777183,-0.1806060606060606,-0.8472367236723672,-0.722990656592675,0.6650026458568432,0.6927942204629747,0.6697070714052009,0.7046380592259891,0.5998799879987999,0.7582609875203472,0.7582609875203472,0.792739490659023,1.0,1.0,0.6864446444644464,0.6485568556855685,0.9073354555560056,0.9073354555560056,-0.8145040843900672,-0.8145040843900672,0.06142833524468917,0.7108622797686728,0.7108622797686728
chem__NH4-N (mg/kg dry weight),0.889484959369319,0.889484959369319,-0.002952304087334282,0.6089194592820268,-0.2407988022777183,-0.1806060606060606,-0.8472367236723672,-0.722990656592675,0.6650026458568432,0.6927942204629747,0.6697070714052009,0.7046380592259891,0.5998799879987999,0.7582609875203472,0.7582609875203472,0.792739490659023,1.0,1.0,0.6864446444644464,0.6485568556855685,0.9073354555560056,0.9073354555560056,-0.8145040843900672,-0.8145040843900672,0.06142833524468917,0.7108622797686728,0.7108622797686728
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.7380150858997087,0.7380150858997087,0.1346358674949579,0.8270418668496912,-0.05290744946753326,0.009768976897689768,-0.731053105310531,-0.7100099777847149,0.665232165968543,0.8460910689337166,0.8477507513115862,0.8449979904600394,0.6027722772277228,0.7565246880086814,0.7565246880086814,0.6941156593818442,0.6864446444644464,0.6864446444644464,1.0,0.6126012601260126,0.7463388729072683,0.7463388729072683,-0.5826056735079821,-0.5826056735079821,0.03713464334000984,0.5504559081009954,0.5504559081009954
chem__Zn (Mehlich 1 mg/kg dry weight),0.6465582939834448,0.6465582939834448,0.4300462947702967,0.5703052728954672,0.16882138860378595,0.21492949294929492,-0.5112391239123912,-0.6610646579376075,0.625958724633246,0.5035164785674082,0.48722880169595695,0.519775808623332,0.8081608160816082,0.7315653825284861,0.7315653825284861,0.5983225851728058,0.6485568556855685,0.6485568556855685,0.6126012601260126,1.0,0.740602282038383,0.740602282038383,-0.4503537835307944,-0.4503537835307944,-0.06073422976169834,0.5291352003633404,0.5291352003633404
chem__C (%),0.9485827786229418,0.9485827786229418,0.07744420908616313,0.6713119248648837,-0.1956747415226014,-0.07431165410070681,-0.8538159430459762,-0.7230630929307355,0.6659483514380483,0.7118069415525086,0.700457262502949,0.7229728316104841,0.6346373676517243,0.7747313304823796,0.7747313304823796,0.8075844129348159,0.9073354555560056,0.9073354555560056,0.7463388729072683,0.740602282038383,1.0,1.0,-0.7895738183785079,-0.7895738183785079,0.054140390110943126,0.8029523840412057,0.8029523840412057
soil_total_C,0.9485827786229418,0.9485827786229418,0.07744420908616313,0.6713119248648837,-0.1956747415226014,-0.07431165410070681,-0.8538159430459762,-0.7230630929307355,0.6659483514380483,0.7118069415525086,0.700457262502949,0.7229728316104841,0.6346373676517243,0.7747313304823796,0.7747313304823796,0.8075844129348159,0.9073354555560056,0.9073354555560056,0.7463388729072683,0.740602282038383,1.0,1.0,-0.7895738183785079,-0.7895738183785079,0.054140390110943126,0.8029523840412057,0.8029523840412057
