var1,var2,correlation,abs_correlation
soil_NH4,chem__NH4-N (mg/kg dry weight),1.0,1.0
chem__NO3-N (mg/kg dry weight),soil_NO3,1.0,1.0
soil_total_N,chem__N (%),1.0,1.0
chem__LBCeq (mg/kg CaCO3/pH dry weight),chem__LBC (mg/kg CaCO3/pH dry weight),1.0,1.0
soil_pH,chem__pH,1.0,1.0
chem__C (%),soil_total_C,1.0,1.0
moist__Replicate 1 Mass Water / Mass Dry Soil %,moist__Replicate 2 Mass Water / Mass Dry Soil %,0.9776612247513832,0.9776612247513832
moist__Replicate 2 Mass Water / Mass Dry Soil %,moist__Replicate 3 Mass Water / Mass Dry Soil %,0.9766259095737357,0.9766259095737357
moist__Replicate 1 Mass Water / Mass Dry Soil %,moist__Replicate 3 Mass Water / Mass Dry Soil %,0.9760677400753058,0.9760677400753058
chem__LBC (mg/kg CaCO3/pH dry weight),chem__C (%),0.9485827786229418,0.9485827786229418
chem__LBCeq (mg/kg CaCO3/pH dry weight),soil_total_C,0.9485827786229418,0.9485827786229418
chem__LBC (mg/kg CaCO3/pH dry weight),soil_total_C,0.9485827786229418,0.9485827786229418
chem__LBCeq (mg/kg CaCO3/pH dry weight),chem__C (%),0.9485827786229418,0.9485827786229418
psize__Soil Clay Content %,psize__Soil Silt Content %,-0.9444629015952373,0.9444629015952373
chem__NH4-N (mg/kg dry weight),soil_total_C,0.9073354555560056,0.9073354555560056
soil_NH4,soil_total_C,0.9073354555560056,0.9073354555560056
chem__NH4-N (mg/kg dry weight),chem__C (%),0.9073354555560056,0.9073354555560056
soil_NH4,chem__C (%),0.9073354555560056,0.9073354555560056
chem__LBC (mg/kg CaCO3/pH dry weight),chem__P (Mehlich 1 mg/kg dry weight),-0.8958937156035931,0.8958937156035931
chem__LBCeq (mg/kg CaCO3/pH dry weight),chem__P (Mehlich 1 mg/kg dry weight),-0.8958937156035931,0.8958937156035931
chem__LBCeq (mg/kg CaCO3/pH dry weight),soil_NH4,0.889484959369319,0.889484959369319
chem__LBC (mg/kg CaCO3/pH dry weight),chem__NH4-N (mg/kg dry weight),0.889484959369319,0.889484959369319
chem__LBC (mg/kg CaCO3/pH dry weight),soil_NH4,0.889484959369319,0.889484959369319
chem__LBCeq (mg/kg CaCO3/pH dry weight),chem__NH4-N (mg/kg dry weight),0.889484959369319,0.889484959369319
chem__P (Mehlich 1 mg/kg dry weight),soil_total_C,-0.8538159430459762,0.8538159430459762
chem__P (Mehlich 1 mg/kg dry weight),chem__C (%),-0.8538159430459762,0.8538159430459762
moist__Replicate 2 Mass Water / Mass Dry Soil %,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.8477507513115862,0.8477507513115862
chem__P (Mehlich 1 mg/kg dry weight),chem__NH4-N (mg/kg dry weight),-0.8472367236723672,0.8472367236723672
chem__P (Mehlich 1 mg/kg dry weight),soil_NH4,-0.8472367236723672,0.8472367236723672
moist__Replicate 1 Mass Water / Mass Dry Soil %,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.8460910689337166,0.8460910689337166
moist__Replicate 3 Mass Water / Mass Dry Soil %,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.8449979904600394,0.8449979904600394
chem__Ca (Mehlich 1 mg/kg dry weight),chem__Mg (Mehlich 1 mg/kg dry weight),0.8374522575863003,0.8374522575863003
chem__LBC (mg/kg CaCO3/pH dry weight),psize__Soil Sand Content %,0.8295488236291637,0.8295488236291637
chem__LBCeq (mg/kg CaCO3/pH dry weight),psize__Soil Sand Content %,0.8295488236291637,0.8295488236291637
denit__Rate (microgN/kilogram dry weight soil/day),nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.8270418668496912,0.8270418668496912
psize__Soil Clay Content %,psize__Soil Sand Content %,-0.8269001608979534,0.8269001608979534
chem__LBCeq (mg/kg CaCO3/pH dry weight),soil_pH,-0.8237429980967773,0.8237429980967773
chem__LBC (mg/kg CaCO3/pH dry weight),soil_pH,-0.8237429980967773,0.8237429980967773
chem__LBC (mg/kg CaCO3/pH dry weight),chem__pH,-0.8237429980967773,0.8237429980967773
chem__LBCeq (mg/kg CaCO3/pH dry weight),chem__pH,-0.8237429980967773,0.8237429980967773
soil_NH4,soil_pH,-0.8145040843900672,0.8145040843900672
soil_NH4,chem__pH,-0.8145040843900672,0.8145040843900672
chem__NH4-N (mg/kg dry weight),soil_pH,-0.8145040843900672,0.8145040843900672
chem__NH4-N (mg/kg dry weight),chem__pH,-0.8145040843900672,0.8145040843900672
chem__Mn (Mehlich 1 mg/kg dry weight),chem__Zn (Mehlich 1 mg/kg dry weight),0.8081608160816082,0.8081608160816082
psize__Soil Sand Content %,soil_total_C,0.8075844129348159,0.8075844129348159
psize__Soil Sand Content %,chem__C (%),0.8075844129348159,0.8075844129348159
chem__P (Mehlich 1 mg/kg dry weight),chem__pH,0.8035216022619075,0.8035216022619075
chem__P (Mehlich 1 mg/kg dry weight),soil_pH,0.8035216022619075,0.8035216022619075
soil_total_C,chem__N (%),0.8029523840412057,0.8029523840412057
soil_total_C,soil_total_N,0.8029523840412057,0.8029523840412057
chem__C (%),soil_total_N,0.8029523840412057,0.8029523840412057
chem__C (%),chem__N (%),0.8029523840412057,0.8029523840412057
