soil_variable,metabolite,spearman,abs_spearman
psize__Soil Sand Content %,HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,-0.52610752462192,0.52610752462192
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,-0.5061193648978319,0.5061193648978319
psize__Soil Sand Content %,C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,-0.4984245782689147,0.4984245782689147
chem__LBC (mg/kg CaCO3/pH dry weight),HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,-0.4940977196681906,0.4940977196681906
chem__LBCeq (mg/kg CaCO3/pH dry weight),HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,-0.4940977196681906,0.4940977196681906
soil_total_C,HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,-0.4795369866978388,0.4795369866978388
chem__C (%),HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,-0.4795369866978388,0.4795369866978388
psize__Soil Clay Content %,HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,0.468326664200216,0.468326664200216
chem__NO3-N (mg/kg dry weight),HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,-0.45912501186999827,0.45912501186999827
soil_NO3,HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,-0.45912501186999827,0.45912501186999827
chem__P (Mehlich 1 mg/kg dry weight),HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,0.4508600143420347,0.4508600143420347
chem__LBC (mg/kg CaCO3/pH dry weight),C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,-0.44823595414092393,0.44823595414092393
chem__LBCeq (mg/kg CaCO3/pH dry weight),C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,-0.44823595414092393,0.44823595414092393
chem__NH4-N (mg/kg dry weight),C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,-0.44529643941960584,0.44529643941960584
soil_NH4,C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,-0.44529643941960584,0.44529643941960584
psize__Soil Clay Content %,C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,0.4434563337539765,0.4434563337539765
soil_total_C,C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,-0.4428651609863621,0.4428651609863621
chem__C (%),C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,-0.4428651609863621,0.4428651609863621
chem__pH,HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,0.439803986335925,0.439803986335925
soil_pH,HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,0.439803986335925,0.439803986335925
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),HILICZ_positive|IK:UAUDZVJPLUQNMU-KTKRTIGZSA-N,-0.4375684293845375,0.4375684293845375
chem__Zn (Mehlich 1 mg/kg dry weight),HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,-0.43316282384515625,0.43316282384515625
chem__P (Mehlich 1 mg/kg dry weight),C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,0.4168811243491821,0.4168811243491821
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,-0.4147626006421543,0.4147626006421543
moist__Replicate 1 Mass Water / Mass Dry Soil %,C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,-0.4106511914003164,0.4106511914003164
chem__NH4-N (mg/kg dry weight),HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,-0.4042083946941031,0.4042083946941031
soil_NH4,HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,-0.4042083946941031,0.4042083946941031
moist__Replicate 1 Mass Water / Mass Dry Soil %,HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,-0.4040454630595746,0.4040454630595746
psize__Soil Clay Content %,HILICZ_negative|IK:SMUMBCREXHTKFN-VZOUQOBNSA-N,0.40033822196251917,0.40033822196251917
psize__Soil Sand Content %,C18_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,-0.3961098815732899,0.3961098815732899
denit__Rate (microgN/kilogram dry weight soil/day),HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,-0.3958984171285059,0.3958984171285059
