,HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,C18_negative|IK:GUBGYTABKSRVRQ-QUYVBRFLSA-N,HILICZ_negative|IK:KRKNYBCHXYNGOX-UHFFFAOYSA-N,HILICZ_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,HILICZ_positive|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N,HILICZ_positive|IK:UAUDZVJPLUQNMU-KTKRTIGZSA-N,C18_positive|IK:ZUUPZDSDPDQRJK-VXPJCVMDSA-N,HILICZ_positive|IK:NJMQSVWMCODQIP-FQXXIRCGSA-N,HILICZ_negative|IK:SMUMBCREXHTKFN-VZOUQOBNSA-N,C18_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,HILICZ_negative|IK:AMKYESDOVDKZKV-UHFFFAOYSA-N,HILICZ_positive|IK:OPTASPLRGRRNAP-UHFFFAOYSA-N,C18_negative|IK:NJRLDXGREKHXGV-IVABAYMNSA-N,HILICZ_positive|IK:OLXZPDWKRNYJJZ-UHFFFAOYSA-N,C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,HILICZ_positive|IK:ODKSFYDXXFIFQN-BYPYZUCNSA-N,HILICZ_positive|IK:XEAQIWGXBXCYFX-UHFFFAOYSA-N,HILICZ_positive|IK:KDJVHSVOXOZBDR-UHFFFAOYSA-N,HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,HILICZ_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.26149547893112085,-0.12242427995287168,0.1490291030501485,0.12021606750062977,-0.09059501518553498,-0.3081827288897147,0.08549382423379827,-0.10026963419228163,-0.30057280156161187,-0.29412885177588155,0.050452507442199056,-0.05784210889384258,-0.22030586448167958,-0.055346618039741766,-0.44823595414092393,-0.22366943526330055,-0.04353586690284768,-0.08519293742712977,-0.4940977196681906,0.2261123009108877
chem__LBC (mg/kg CaCO3/pH dry weight),0.26149547893112085,-0.12242427995287168,0.1490291030501485,0.12021606750062977,-0.09059501518553498,-0.3081827288897147,0.08549382423379827,-0.10026963419228163,-0.30057280156161187,-0.29412885177588155,0.050452507442199056,-0.05784210889384258,-0.22030586448167958,-0.055346618039741766,-0.44823595414092393,-0.22366943526330055,-0.04353586690284768,-0.08519293742712977,-0.4940977196681906,0.2261123009108877
chem__Ca (Mehlich 1 mg/kg dry weight),0.08001356650303737,-0.17049882723104282,-0.009110731157952275,-0.06492925132843676,0.002482429669041887,-0.13365879440102382,0.006835954564598766,-0.17821741981884026,-0.125611003073839,-0.1413408604722992,-0.08122775371972478,-0.10417968730138065,-0.15994685409368167,-0.041177163874909585,-0.02053249776429936,0.06916474234698641,0.13332889227706135,-0.13442840360943906,-0.06197838390476998,0.056051835638155134
denit__Rate (microgN/kilogram dry weight soil/day),0.22349799709851925,-0.1956848027314522,0.10956925344034599,0.030147559709815225,-0.16532137531810043,-0.3189521811989571,0.17085524759388532,-0.14724713069279982,-0.2691526604630002,-0.2672626673078609,0.11196823592454716,0.13935761406264402,-0.2616099783404854,-0.02807411618789125,-0.2960207535623662,-0.24701905390685255,-0.10183345952013947,-0.08555383271306782,-0.3958984171285059,0.1668631415331011
chem__K (Mehlich 1 mg/kg dry weight),-0.019023824647330472,-0.14043348645791348,0.0034640733458196358,-0.18137450259639484,0.08855000940514546,0.07949752191346278,0.07352654193400422,-0.013149969277690625,-0.08139322814195084,-0.08179214828275419,0.004321948310764718,-0.22677111922298207,0.06300946181956822,-0.10561948921932285,0.021363897643777587,0.16719824671706282,-0.022184681358272652,-0.10907393399375342,-0.024428788256185673,0.11992544727738269
chem__Mg (Mehlich 1 mg/kg dry weight),-0.007099952606281914,-0.24620324105899488,-0.10025515767427692,-0.057840624001174706,-0.054084346596925265,-0.1892243120069859,-0.03895866561237555,-0.26747963334581226,-0.13834430649278087,-0.15200265137251534,-0.1056542179680942,-0.13071208575854718,-0.24661666875761448,-0.17616823118910335,0.012341632293265983,0.045319932353487614,0.1499623532756999,-0.19440613554998118,0.007137190723311277,0.046334692884019035
chem__P (Mehlich 1 mg/kg dry weight),-0.2851210559390048,0.12278939740203552,-0.1482531640572408,-0.21452515933314734,0.10210989997650215,0.3307285461162449,-0.06775580762999617,0.16186665554028812,0.23498518460880483,0.29392214549870477,-0.04177663545083325,-0.0935493210204439,0.3205075648305522,0.11872734588732595,0.4168811243491821,0.2921373869992644,0.09100782813516707,0.14494181458298108,0.4508600143420347,-0.18062290128905698
psize__Soil Clay Content %,-0.31652228008200667,0.17823775696947913,-0.049732964063388216,-0.1429857041090065,0.09860673226037883,0.3502579611853169,-0.18457363992619444,0.22590010769541347,0.40033822196251917,0.3654240937728235,0.14753941592110767,0.05330545434448467,0.32268832379339524,0.16897266735036723,0.4434563337539765,0.22730234519814355,0.023977884798486566,0.21438081298822376,0.468326664200216,-0.2711131678272126
psize__Soil Silt Content %,0.30104417399759203,-0.1467419545975828,0.1140758492780878,0.12125687463359072,-0.09216615997008104,-0.3412027369146349,0.1503147062841662,-0.22287164764014789,-0.357772888708505,-0.3058064715023798,-0.14804084419411914,-0.04896248991168585,-0.2847345322568628,-0.09256182830449798,-0.38158466855163475,-0.1910060648360485,0.0033613764900990687,-0.20047251674556463,-0.3923053841477919,0.2154698762683187
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.21492620158836676,-0.06025817213930245,0.23611666239241114,0.061698065860529255,-0.043212532461263026,-0.3613930557182658,0.20981530322784092,-0.095509394683072,-0.26894300945575733,-0.2840758039915106,-0.02244999763401201,0.1138862778513142,-0.2510015676575498,-0.0054874885509071485,-0.4106511914003164,-0.234961326063231,-0.06987454557669072,-0.07532819377876433,-0.4040454630595746,0.22701647601292094
